date,open,high,low,close,volume
2023-03-27,8000.0,8075.0,7975.0,8075.0,451100
2023-03-28,8075.0,8100.0,8000.0,8000.0,313800
2023-03-29,8000.0,8175.0,8000.0,8100.0,766900
2023-03-30,8125.0,8175.0,8075.0,8100.0,357900
2023-03-31,8100.0,8150.0,8075.0,8100.0,307800
2023-04-03,8000.0,8300.0,8000.0,8300.0,1268600
2023-04-04,8300.0,8350.0,8150.0,8275.0,1233900
2023-04-05,8250.0,8300.0,8175.0,8200.0,643400
2023-04-06,8250.0,8275.0,8200.0,8225.0,620100
2023-04-10,8225.0,8350.0,8225.0,8325.0,1096000
2023-04-11,8350.0,8425.0,8250.0,8275.0,1372500
2023-04-12,8275.0,8275.0,8175.0,8200.0,1393600
2023-04-13,7925.0,8000.0,7825.0,7825.0,3642400
2023-04-14,7850.0,7925.0,7825.0,7850.0,881300
2023-04-17,7850.0,7925.0,7825.0,7850.0,894200
2023-04-18,7875.0,7925.0,7850.0,7875.0,934500
2023-04-26,7850.0,7900.0,7650.0,7675.0,3340100
2023-04-27,7675.0,7775.0,7600.0,7650.0,2393400
2023-04-28,7650.0,7725.0,7650.0,7725.0,1384200
2023-05-02,7700.0,7750.0,7650.0,7700.0,847000
2023-05-03,7700.0,7725.0,7650.0,7675.0,746700
2023-05-04,7625.0,7700.0,7550.0,7550.0,1564000
2023-05-05,7550.0,7575.0,7400.0,7500.0,1709600
2023-05-08,7525.0,7650.0,7500.0,7600.0,995900
2023-05-09,7625.0,7675.0,7625.0,7625.0,699000
2023-05-10,7625.0,7700.0,7625.0,7675.0,637100
2023-05-11,7650.0,7700.0,7600.0,7625.0,454000
2023-05-12,7625.0,7650.0,7575.0,7600.0,543000
2023-05-15,7600.0,7625.0,7525.0,7600.0,666200
2023-05-16,7600.0,7600.0,7450.0,7475.0,1044600
2023-05-17,7500.0,7525.0,7375.0,7375.0,810700
2023-05-19,7375.0,7450.0,7350.0,7400.0,772000
2023-05-22,7425.0,7475.0,7400.0,7400.0,447500
2023-05-23,7425.0,7550.0,7400.0,7500.0,664200
2023-05-24,7500.0,7525.0,7450.0,7500.0,660800
2023-05-25,7500.0,7525.0,7450.0,7450.0,381700
2023-05-26,7450.0,7525.0,7350.0,7350.0,1080500
2023-05-29,7400.0,7450.0,7350.0,7350.0,452400
2023-05-30,7375.0,7425.0,7375.0,7375.0,307400
2023-05-31,7350.0,7400.0,7050.0,7050.0,2435500
2023-06-05,7175.0,7175.0,7050.0,7050.0,1596700
2023-06-06,7125.0,7125.0,7050.0,7075.0,1001200
2023-06-07,7100.0,7125.0,7050.0,7050.0,1181400
2023-06-08,7075.0,7300.0,7050.0,7250.0,1349500
2023-06-09,7275.0,7350.0,7250.0,7325.0,603800
2023-06-12,7325.0,7500.0,7300.0,7450.0,984000
2023-06-13,7475.0,7500.0,7350.0,7350.0,719400
2023-06-14,7400.0,7450.0,7350.0,7375.0,493200
2023-06-15,7375.0,7475.0,7375.0,7475.0,496800
2023-06-16,7350.0,7625.0,7350.0,7575.0,1535900
2023-06-19,7625.0,7675.0,7575.0,7600.0,1047300
2023-06-20,7650.0,7675.0,7500.0,7550.0,636600
2023-06-21,7550.0,7600.0,7500.0,7600.0,712500
2023-06-22,7600.0,7625.0,7575.0,7600.0,398700
2023-06-23,7575.0,7625.0,7550.0,7550.0,366900
2023-06-26,7550.0,7575.0,7475.0,7475.0,828700
2023-06-27,7475.0,7500.0,7450.0,7475.0,302600
2023-07-03,7475.0,7625.0,7475.0,7600.0,1059500
2023-07-04,7650.0,7725.0,7550.0,7600.0,1458600
2023-07-05,7600.0,7700.0,7600.0,7625.0,484500
2023-07-06,7700.0,7700.0,7625.0,7675.0,565000
2023-07-07,7700.0,7875.0,7650.0,7750.0,1854600
2023-07-10,7750.0,7850.0,7750.0,7850.0,841000
2023-07-11,7875.0,7975.0,7825.0,7925.0,1811400
2023-07-12,7950.0,8000.0,7925.0,7950.0,860700
2023-07-13,8000.0,8000.0,7900.0,7900.0,579300
2023-07-14,7900.0,7975.0,7825.0,7950.0,900600
2023-07-17,7950.0,7950.0,7850.0,7850.0,712400
2023-07-18,7850.0,7925.0,7825.0,7825.0,1032200
2023-07-20,7800.0,7850.0,7700.0,7825.0,992600
2023-07-21,7875.0,8075.0,7850.0,8000.0,3653400
2023-07-24,8000.0,8150.0,8000.0,8125.0,1829100
2023-07-25,8150.0,8200.0,8050.0,8150.0,2123800
2023-07-26,8125.0,8150.0,8000.0,8150.0,2427000
2023-07-27,8150.0,8150.0,8000.0,8000.0,641500
2023-07-28,7850.0,8000.0,7700.0,7700.0,2248600
2023-07-31,7700.0,7775.0,7575.0,7575.0,1996000
2023-08-01,7575.0,7650.0,7550.0,7550.0,858600
2023-08-02,7550.0,7750.0,7550.0,7700.0,876800
2023-08-03,7700.0,7775.0,7650.0,7700.0,1016400
2023-08-04,7750.0,7750.0,7650.0,7700.0,336500
2023-08-07,7775.0,7775.0,7675.0,7750.0,415100
2023-08-08,7725.0,7775.0,7650.0,7650.0,418200
2023-08-09,7650.0,7725.0,7600.0,7600.0,537200
2023-08-10,7600.0,7775.0,7600.0,7775.0,535000
2023-08-11,7775.0,7775.0,7650.0,7725.0,293100
2023-08-14,7775.0,7775.0,7625.0,7725.0,233700
2023-08-15,7750.0,7750.0,7675.0,7700.0,160700
2023-08-16,7725.0,7725.0,7650.0,7700.0,314200
2023-08-18,7750.0,7775.0,7650.0,7725.0,365200
2023-08-21,7725.0,7725.0,7600.0,7625.0,734500
2023-08-22,7675.0,7675.0,7600.0,7625.0,589600
2023-08-23,7575.0,7675.0,7575.0,7675.0,326700
2023-08-24,7675.0,7700.0,7625.0,7650.0,349500
2023-08-25,7600.0,7675.0,7600.0,7625.0,605800
2023-08-28,7625.0,7700.0,7600.0,7675.0,386600
2023-08-29,7750.0,7750.0,7600.0,7675.0,868000
2023-08-30,7675.0,7675.0,7600.0,7600.0,544700
2023-08-31,7625.0,7675.0,7600.0,7600.0,445300
2023-09-01,7600.0,7675.0,7600.0,7650.0,201900
2023-09-04,7650.0,7675.0,7625.0,7650.0,355900
2023-09-05,7650.0,7675.0,7625.0,7675.0,377500
2023-09-06,7650.0,7725.0,7600.0,7650.0,460700
2023-09-07,7600.0,7650.0,7525.0,7550.0,629400
2023-09-08,7550.0,7575.0,7425.0,7450.0,1333800
2023-09-11,7450.0,7500.0,7450.0,7475.0,323200
2023-09-12,7500.0,7500.0,7425.0,7425.0,445300
2023-09-13,7450.0,7500.0,7425.0,7450.0,330400
2023-09-14,7475.0,7500.0,7450.0,7475.0,322400
2023-09-15,7500.0,7575.0,7500.0,7575.0,676900
2023-09-18,7575.0,7600.0,7500.0,7525.0,581400
2023-09-19,7550.0,7550.0,7400.0,7425.0,580900
2023-09-20,7450.0,7475.0,7350.0,7400.0,568600
2023-09-21,7450.0,7450.0,7400.0,7400.0,555500
2023-09-22,7450.0,7600.0,7425.0,7550.0,1119000
2023-09-25,7575.0,7850.0,7525.0,7750.0,2487600
2023-09-26,7750.0,7850.0,7575.0,7575.0,1394800
2023-09-27,7575.0,7675.0,7525.0,7575.0,935600
2023-09-29,7575.0,7675.0,7500.0,7500.0,1192100
2023-10-02,7525.0,7550.0,7425.0,7500.0,692000
2023-10-03,7500.0,7500.0,7425.0,7450.0,364300
2023-10-04,7450.0,7475.0,7375.0,7375.0,830500
2023-10-05,7400.0,7425.0,7350.0,7350.0,1209800
2023-10-06,7375.0,7425.0,7350.0,7350.0,835100
2023-10-09,7325.0,7350.0,7250.0,7275.0,1232500
2023-10-10,7275.0,7400.0,7250.0,7375.0,554300
2023-10-11,7425.0,7425.0,7350.0,7350.0,233500
2023-10-12,7350.0,7350.0,7225.0,7250.0,1063500
2023-10-13,7250.0,7300.0,7250.0,7250.0,303700
2023-10-16,7250.0,7300.0,7175.0,7200.0,725200
2023-10-17,7200.0,7250.0,7175.0,7200.0,322000
2023-10-18,7200.0,7300.0,7000.0,7000.0,2826800
2023-10-19,7175.0,7175.0,7025.0,7100.0,1188600
2023-10-20,7100.0,7125.0,7025.0,7075.0,327700
2023-10-23,7025.0,7125.0,7000.0,7050.0,1001300
2023-10-24,7050.0,7100.0,7000.0,7100.0,227700
2023-10-25,7100.0,7150.0,7000.0,7025.0,801700
2023-10-26,7025.0,7100.0,7000.0,7050.0,687600
2023-10-27,7075.0,7100.0,7000.0,7075.0,396500
2023-10-30,7100.0,7100.0,7000.0,7000.0,383800
2023-10-31,7050.0,7075.0,6950.0,7050.0,803800
2023-11-01,7075.0,7075.0,6975.0,7000.0,361500
2023-11-02,7000.0,7100.0,7000.0,7050.0,482200
2023-11-03,7050.0,7125.0,7050.0,7075.0,227500
2023-11-06,7075.0,7100.0,7050.0,7075.0,324100
2023-11-07,7075.0,7075.0,7025.0,7025.0,249800
2023-11-08,7050.0,7075.0,6975.0,7000.0,366900
2023-11-09,7000.0,7050.0,7000.0,7025.0,165100
2023-11-10,7025.0,7025.0,6975.0,7000.0,170700
2023-11-13,7050.0,7075.0,6975.0,7000.0,156200
2023-11-14,6975.0,7050.0,6975.0,7025.0,613500
2023-11-15,7050.0,7075.0,7025.0,7025.0,333900
2023-11-16,7025.0,7075.0,7000.0,7025.0,263200
2023-11-17,7025.0,7075.0,7025.0,7025.0,329800
2023-11-20,7075.0,7075.0,7000.0,7025.0,277400
2023-11-21,7050.0,7050.0,7000.0,7025.0,249200
2023-11-22,7050.0,7050.0,7000.0,7000.0,316300
2023-11-23,6975.0,7050.0,6975.0,7025.0,388600
2023-11-24,7025.0,7050.0,7000.0,7025.0,348200
2023-11-27,7025.0,7150.0,7000.0,7125.0,750000
2023-11-28,7150.0,7300.0,7125.0,7225.0,993200
2023-11-29,7225.0,7250.0,7175.0,7175.0,340200
2023-11-30,7175.0,7600.0,7150.0,7600.0,3248500
2023-12-01,7600.0,7600.0,7275.0,7475.0,1326200
2023-12-04,7475.0,7475.0,7125.0,7125.0,1645800
2023-12-05,7125.0,7175.0,7075.0,7075.0,684400
2023-12-06,7100.0,7125.0,7050.0,7075.0,674900
2023-12-07,7075.0,7100.0,7025.0,7050.0,639700
2023-12-08,7100.0,7100.0,7050.0,7075.0,527900
2023-12-11,7075.0,7075.0,7025.0,7050.0,810400
2023-12-12,7050.0,7075.0,7025.0,7050.0,906800
2023-12-13,7050.0,7150.0,7025.0,7075.0,577400
2023-12-14,7125.0,7125.0,7025.0,7050.0,408500
2023-12-15,7075.0,7150.0,7025.0,7050.0,623800
2023-12-18,7050.0,7100.0,7025.0,7025.0,448700
2023-12-19,7025.0,7075.0,7025.0,7075.0,304200
2023-12-20,7075.0,7125.0,7050.0,7075.0,333200
2023-12-21,7075.0,7100.0,7000.0,7025.0,497300
2023-12-22,7075.0,7075.0,7000.0,7025.0,492200
2023-12-27,7075.0,7075.0,7000.0,7025.0,311100
2023-12-28,7000.0,7075.0,7000.0,7050.0,646200
2023-12-29,7075.0,7075.0,7025.0,7025.0,369900
2024-01-02,7050.0,7150.0,7025.0,7100.0,714000
2024-01-03,7125.0,7175.0,7075.0,7125.0,392100
2024-01-04,7150.0,7175.0,7125.0,7150.0,426200
2024-01-05,7150.0,7175.0,7100.0,7100.0,519500
2024-01-08,7150.0,7175.0,7100.0,7125.0,522700
2024-01-09,7200.0,7200.0,7100.0,7125.0,531500
2024-01-10,7150.0,7200.0,7125.0,7150.0,771400
2024-01-11,7200.0,7200.0,7150.0,7150.0,466800
2024-01-12,7100.0,7200.0,7100.0,7125.0,226500
2024-01-15,7150.0,7200.0,7125.0,7175.0,227800
2024-01-16,7200.0,7200.0,7125.0,7150.0,435200
2024-01-17,7175.0,7175.0,7075.0,7150.0,684900
2024-01-18,7150.0,7150.0,7050.0,7050.0,631000
2024-01-19,7050.0,7100.0,6975.0,7050.0,1219600
2024-01-22,7050.0,7100.0,7000.0,7025.0,375500
2024-01-23,7050.0,7050.0,6950.0,7000.0,1051900
2024-01-24,7025.0,7025.0,6950.0,6975.0,963600
2024-01-25,6975.0,7025.0,6975.0,6975.0,231700
2024-01-26,6975.0,7025.0,6950.0,7000.0,209000
2024-01-29,7025.0,7050.0,6925.0,6975.0,237600
2024-01-30,6975.0,7000.0,6875.0,6900.0,888400
2024-01-31,6900.0,6950.0,6875.0,6900.0,431700
2024-02-01,6875.0,6950.0,6875.0,6875.0,404700
2024-02-02,6875.0,6925.0,6850.0,6875.0,372300
2024-02-05,7075.0,7075.0,6875.0,6875.0,321800
2024-02-06,6875.0,6950.0,6875.0,6875.0,241400
2024-02-07,6875.0,6925.0,6875.0,6875.0,273900
2024-02-12,6675.0,6950.0,6675.0,6925.0,235600
2024-02-13,7125.0,7125.0,6850.0,6850.0,455200
2024-02-15,6700.0,6950.0,6700.0,6850.0,609600
2024-02-16,6900.0,6925.0,6825.0,6825.0,684400
2024-02-19,6825.0,6875.0,6800.0,6825.0,244200
2024-02-20,6825.0,6875.0,6825.0,6825.0,873600
2024-02-21,6900.0,6950.0,6825.0,6925.0,627300
2024-02-22,6925.0,6950.0,6850.0,6950.0,530800
2024-02-23,6950.0,6950.0,6750.0,6850.0,2265400
2024-02-26,6850.0,6850.0,6775.0,6800.0,398700
2024-02-27,6800.0,6875.0,6750.0,6750.0,441500
2024-02-28,6750.0,6800.0,6750.0,6750.0,328600
2024-02-29,6750.0,6800.0,6725.0,6725.0,1009200
2024-03-01,6750.0,6800.0,6700.0,6800.0,637800
2024-03-04,6775.0,6825.0,6700.0,6700.0,834800
2024-03-05,6725.0,6725.0,6600.0,6625.0,1008900
2024-03-06,6625.0,6650.0,6550.0,6575.0,1463200
2024-03-07,6575.0,6700.0,6575.0,6650.0,917900
2024-03-08,6650.0,6775.0,6650.0,6650.0,722600
2024-03-13,6675.0,6725.0,6650.0,6650.0,730900
2024-03-14,6675.0,6750.0,6650.0,6700.0,454700
2024-03-15,6725.0,6775.0,6700.0,6700.0,720400
2024-03-18,6725.0,6925.0,6700.0,6850.0,1256400
2024-03-19,6850.0,6950.0,6850.0,6925.0,555300
2024-03-20,6950.0,6950.0,6825.0,6875.0,436700
2024-03-21,6875.0,6925.0,6850.0,6850.0,616100
2024-03-22,6850.0,6875.0,6775.0,6850.0,699300
2024-03-25,6850.0,6850.0,6750.0,6800.0,503100
2024-03-26,6900.0,6900.0,6775.0,6875.0,735800
2024-03-27,6875.0,6925.0,6850.0,6900.0,297100
2024-03-28,6900.0,6900.0,6850.0,6900.0,811300
2024-04-01,6900.0,6925.0,6800.0,6925.0,610100
2024-04-02,6925.0,6925.0,6850.0,6900.0,444200
2024-04-03,6900.0,7025.0,6850.0,7000.0,1367500
2024-04-04,7075.0,7075.0,6925.0,6950.0,1285500
2024-04-05,6950.0,7025.0,6925.0,6975.0,346700
2024-04-16,6950.0,6950.0,6775.0,6800.0,1073000
2024-04-17,6800.0,6825.0,6750.0,6800.0,348300
2024-04-18,6825.0,6825.0,6675.0,6675.0,508300
2024-04-19,6675.0,6700.0,6550.0,6625.0,574100
2024-04-22,6525.0,6650.0,6525.0,6600.0,375900
2024-04-23,6600.0,6775.0,6575.0,6625.0,648900
2024-04-24,6600.0,6675.0,6550.0,6600.0,668900
2024-04-25,6600.0,6625.0,6550.0,6575.0,170900
2024-04-26,6575.0,6575.0,6375.0,6475.0,1016800
2024-04-29,6500.0,6500.0,6300.0,6375.0,1078500
2024-04-30,6350.0,6500.0,6350.0,6500.0,795900
2024-05-02,6525.0,6550.0,6400.0,6425.0,888800
2024-05-03,6300.0,6400.0,6250.0,6300.0,955100
2024-05-06,6300.0,6400.0,6250.0,6300.0,348000
2024-05-07,6300.0,6325.0,6250.0,6300.0,251100
2024-05-08,6300.0,6325.0,6200.0,6200.0,381300
2024-05-13,6200.0,6250.0,6050.0,6075.0,894300
2024-05-14,6075.0,6125.0,6000.0,6100.0,536800
2024-05-15,6100.0,6125.0,6050.0,6100.0,321400
2024-05-16,6100.0,6100.0,6050.0,6050.0,761900
2024-05-17,6050.0,6150.0,6050.0,6100.0,773800
2024-05-20,6125.0,6225.0,6125.0,6200.0,513700
2024-05-21,6200.0,6225.0,6100.0,6100.0,505200
2024-05-22,6150.0,6175.0,6075.0,6175.0,474100
2024-05-27,6150.0,6175.0,6050.0,6175.0,546000
2024-05-28,6125.0,6200.0,6075.0,6075.0,392900
2024-05-29,6075.0,6100.0,6025.0,6025.0,603300
2024-05-30,6025.0,6075.0,5825.0,5825.0,1141900
2024-05-31,5900.0,6000.0,5825.0,5875.0,2497100
2024-06-03,5925.0,6050.0,5875.0,6000.0,501900
2024-06-04,6000.0,6100.0,6000.0,6025.0,233600
2024-06-05,6050.0,6075.0,5850.0,5900.0,589700
2024-06-06,5925.0,5975.0,5825.0,5900.0,688700
2024-06-07,5900.0,5925.0,5850.0,5875.0,442300
2024-06-10,5900.0,5900.0,5800.0,5825.0,468600
2024-06-11,5800.0,5850.0,5800.0,5800.0,299700
2024-06-12,5825.0,5850.0,5675.0,5700.0,802200
2024-06-13,5750.0,5775.0,5600.0,5625.0,574300
2024-06-14,5675.0,5700.0,5500.0,5550.0,399900
2024-06-19,5550.0,5550.0,5450.0,5475.0,405200
2024-06-20,5475.0,5550.0,5400.0,5550.0,892900
2024-06-21,5550.0,5625.0,5475.0,5500.0,968600
2024-06-24,5575.0,5700.0,5475.0,5600.0,1601200
