date,open,high,low,close,volume
2021-03-26,860.0,860.0,800.0,805.0,35800
2021-03-29,855.0,855.0,790.0,795.0,66800
2021-03-30,795.0,795.0,770.0,790.0,145800
2021-03-31,790.0,790.0,760.0,775.0,99500
2021-04-01,775.0,790.0,765.0,790.0,34100
2021-04-05,795.0,795.0,765.0,790.0,49000
2021-04-06,790.0,790.0,780.0,780.0,3300
2021-04-07,780.0,780.0,740.0,780.0,22700
2021-04-08,780.0,805.0,770.0,790.0,66400
2021-04-09,785.0,810.0,785.0,805.0,27800
2021-04-12,805.0,805.0,770.0,790.0,52100
2021-04-13,790.0,790.0,765.0,770.0,39300
2021-04-14,820.0,820.0,775.0,790.0,70200
2021-04-15,790.0,790.0,760.0,785.0,36700
2021-04-16,785.0,785.0,780.0,780.0,31600
2021-04-19,780.0,790.0,770.0,780.0,38000
2021-04-20,785.0,785.0,760.0,785.0,40500
2021-04-21,785.0,785.0,770.0,785.0,88000
2021-04-22,785.0,785.0,765.0,785.0,31500
2021-04-23,765.0,785.0,760.0,770.0,63300
2021-04-26,765.0,770.0,750.0,770.0,6500
2021-04-27,770.0,780.0,750.0,750.0,139700
2021-04-28,780.0,780.0,750.0,750.0,29600
2021-04-29,800.0,800.0,750.0,765.0,21300
2021-04-30,780.0,780.0,750.0,755.0,72900
2021-05-03,775.0,775.0,750.0,770.0,79300
2021-05-04,770.0,770.0,750.0,770.0,39000
2021-05-05,770.0,770.0,755.0,770.0,22000
2021-05-06,770.0,780.0,755.0,780.0,43500
2021-05-07,780.0,780.0,760.0,780.0,26800
2021-05-10,780.0,790.0,780.0,780.0,56300
2021-05-11,780.0,795.0,780.0,795.0,159700
2021-05-17,795.0,825.0,795.0,825.0,232100
2021-05-18,850.0,950.0,830.0,850.0,928400
2021-05-19,850.0,900.0,815.0,835.0,129300
2021-05-20,885.0,885.0,800.0,815.0,102900
2021-05-21,815.0,820.0,770.0,795.0,190200
2021-05-24,795.0,830.0,775.0,830.0,116700
2021-05-25,830.0,845.0,800.0,820.0,72800
2021-05-27,820.0,825.0,780.0,785.0,175200
2021-05-28,785.0,820.0,785.0,790.0,40700
2021-05-31,840.0,840.0,795.0,825.0,63900
2021-06-02,825.0,925.0,825.0,855.0,1076400
2021-06-03,855.0,855.0,825.0,835.0,119100
2021-06-04,850.0,885.0,850.0,885.0,247500
2021-06-07,890.0,920.0,830.0,840.0,367400
2021-06-08,840.0,870.0,785.0,795.0,530600
2021-06-09,845.0,855.0,790.0,810.0,200200
2021-06-10,860.0,860.0,800.0,815.0,116900
2021-06-11,815.0,860.0,815.0,845.0,155700
2021-06-14,845.0,870.0,835.0,850.0,83600
2021-06-15,850.0,865.0,840.0,840.0,287600
2021-06-16,840.0,875.0,825.0,860.0,63400
2021-06-17,850.0,865.0,800.0,860.0,351700
2021-06-18,860.0,860.0,800.0,810.0,513800
2021-06-21,810.0,835.0,785.0,810.0,161100
2021-06-22,850.0,850.0,805.0,805.0,28900
2021-06-23,805.0,815.0,800.0,815.0,53600
2021-06-24,810.0,820.0,805.0,810.0,27100
2021-06-25,810.0,840.0,805.0,810.0,68800
2021-06-28,810.0,810.0,800.0,805.0,52700
2021-06-29,805.0,805.0,800.0,800.0,88300
2021-06-30,805.0,805.0,795.0,800.0,22300
2021-07-01,800.0,805.0,785.0,785.0,126700
2021-07-02,770.0,795.0,770.0,780.0,179300
2021-07-05,785.0,785.0,775.0,775.0,341200
2021-07-06,780.0,790.0,775.0,790.0,349500
2021-07-07,790.0,820.0,780.0,790.0,220100
2021-07-08,840.0,840.0,780.0,780.0,224100
2021-07-09,780.0,790.0,775.0,775.0,60700
2021-07-12,780.0,785.0,775.0,775.0,17200
2021-07-13,775.0,810.0,775.0,805.0,86000
2021-07-14,825.0,1005.0,825.0,1005.0,4162900
2021-07-15,1070.0,1255.0,1070.0,1255.0,4124400
2021-07-16,1305.0,1545.0,1255.0,1325.0,4435700
2021-07-19,1325.0,1350.0,1235.0,1265.0,847100
2021-07-21,1265.0,1265.0,1180.0,1180.0,724600
2021-07-22,1180.0,1295.0,1110.0,1250.0,1009200
2021-07-23,1255.0,1285.0,1210.0,1235.0,336300
2021-07-26,1235.0,1340.0,1235.0,1310.0,498500
2021-07-27,1315.0,1370.0,1265.0,1300.0,591900
2021-07-28,1300.0,1305.0,1265.0,1290.0,253000
2021-07-29,1290.0,1300.0,1265.0,1285.0,140400
2021-07-30,1295.0,1295.0,1220.0,1240.0,230200
2021-08-02,1250.0,1290.0,1230.0,1235.0,270100
2021-08-03,1235.0,1240.0,1200.0,1200.0,150300
2021-08-04,1250.0,1250.0,1120.0,1130.0,848700
2021-08-05,1180.0,1185.0,1135.0,1135.0,135400
2021-08-06,1135.0,1140.0,1110.0,1130.0,119000
2021-08-09,1130.0,1320.0,1120.0,1240.0,693500
2021-08-10,1240.0,1350.0,1240.0,1300.0,285900
2021-08-12,1305.0,1485.0,1300.0,1460.0,797800
2021-08-13,1460.0,1545.0,1400.0,1490.0,490700
2021-08-16,1510.0,1515.0,1390.0,1390.0,305600
2021-08-18,1380.0,1390.0,1295.0,1295.0,297700
2021-08-19,1345.0,1400.0,1250.0,1305.0,323900
2021-08-20,1300.0,1300.0,1250.0,1290.0,174800
2021-08-23,1290.0,1350.0,1290.0,1300.0,88800
2021-08-24,1305.0,1340.0,1300.0,1300.0,169800
2021-08-25,1310.0,1370.0,1300.0,1310.0,244300
2021-08-26,1310.0,1350.0,1310.0,1335.0,58600
