date,open,high,low,close,volume
2021-03-26,1215.0,1225.0,1200.0,1220.0,58260700
2021-03-29,1230.0,1235.0,1205.0,1205.0,51416200
2021-03-30,1205.0,1205.0,1170.0,1175.0,93116600
2021-03-31,1175.0,1185.0,1160.0,1175.0,80881500
2021-04-01,1175.0,1200.0,1170.0,1180.0,51622400
2021-04-05,1195.0,1205.0,1180.0,1185.0,45262300
2021-04-06,1200.0,1210.0,1180.0,1210.0,48401800
2021-04-07,1210.0,1225.0,1200.0,1220.0,39520700
2021-04-08,1220.0,1230.0,1205.0,1230.0,44812000
2021-04-09,1220.0,1230.0,1205.0,1205.0,38632200
2021-04-12,1210.0,1215.0,1175.0,1180.0,40274800
2021-04-13,1180.0,1185.0,1160.0,1160.0,61790200
2021-04-14,1175.0,1200.0,1165.0,1195.0,38916200
2021-04-15,1195.0,1200.0,1170.0,1190.0,38983700
2021-04-16,1190.0,1190.0,1175.0,1185.0,37678700
2021-04-19,1185.0,1205.0,1175.0,1185.0,81678100
2021-04-20,1190.0,1205.0,1180.0,1185.0,47902500
2021-04-21,1175.0,1190.0,1175.0,1180.0,27795700
2021-04-22,1185.0,1190.0,1170.0,1170.0,23846500
2021-04-23,1175.0,1205.0,1175.0,1200.0,43584100
2021-04-26,1200.0,1225.0,1185.0,1210.0,66246100
2021-04-27,1225.0,1230.0,1200.0,1210.0,50472900
2021-04-28,1215.0,1230.0,1210.0,1215.0,30395800
2021-04-29,1225.0,1260.0,1220.0,1255.0,78611100
2021-04-30,1255.0,1260.0,1235.0,1245.0,54932900
2021-05-03,1260.0,1260.0,1230.0,1240.0,73385300
2021-05-04,1240.0,1255.0,1235.0,1250.0,90623400
2021-05-05,1210.0,1210.0,1185.0,1195.0,80251300
2021-05-06,1195.0,1215.0,1185.0,1185.0,52912600
2021-05-07,1195.0,1210.0,1180.0,1185.0,63337000
2021-05-10,1195.0,1210.0,1190.0,1195.0,45753000
2021-05-11,1195.0,1220.0,1190.0,1195.0,78403200
2021-05-17,1210.0,1215.0,1180.0,1185.0,69060200
2021-05-18,1200.0,1200.0,1170.0,1200.0,31413900
2021-05-19,1195.0,1195.0,1175.0,1175.0,23994100
2021-05-20,1175.0,1185.0,1170.0,1170.0,29580300
2021-05-21,1190.0,1195.0,1160.0,1165.0,45227600
2021-05-24,1190.0,1190.0,1160.0,1160.0,50015000
2021-05-25,1175.0,1195.0,1165.0,1170.0,78866700
2021-05-27,1180.0,1190.0,1165.0,1165.0,84522000
2021-05-28,1165.0,1180.0,1160.0,1170.0,43862200
2021-05-31,1180.0,1190.0,1170.0,1190.0,59786600
2021-06-02,1195.0,1260.0,1195.0,1260.0,221123100
2021-06-03,1265.0,1265.0,1235.0,1250.0,58947200
2021-06-04,1245.0,1260.0,1210.0,1230.0,58632800
2021-06-07,1230.0,1230.0,1200.0,1205.0,36090000
2021-06-08,1220.0,1235.0,1205.0,1210.0,46908800
2021-06-09,1215.0,1225.0,1205.0,1215.0,40082700
2021-06-10,1230.0,1240.0,1210.0,1210.0,39268300
2021-06-11,1225.0,1350.0,1225.0,1315.0,386854000
2021-06-14,1320.0,1340.0,1295.0,1325.0,107804300
2021-06-15,1320.0,1320.0,1280.0,1310.0,109048500
2021-06-16,1300.0,1400.0,1290.0,1395.0,264328700
2021-06-17,1385.0,1405.0,1355.0,1355.0,81946100
2021-06-18,1355.0,1375.0,1285.0,1310.0,149122700
2021-06-21,1290.0,1305.0,1250.0,1285.0,84475900
2021-06-22,1295.0,1315.0,1275.0,1290.0,77750600
2021-06-23,1305.0,1315.0,1255.0,1260.0,73515700
2021-06-24,1260.0,1270.0,1225.0,1245.0,52732300
2021-06-25,1255.0,1295.0,1235.0,1285.0,106349300
2021-06-28,1300.0,1305.0,1230.0,1235.0,71317300
2021-06-29,1230.0,1245.0,1205.0,1215.0,46827300
2021-06-30,1215.0,1225.0,1190.0,1205.0,76460900
2021-07-01,1220.0,1240.0,1195.0,1205.0,53853700
2021-07-02,1220.0,1270.0,1205.0,1260.0,115326200
2021-07-05,1265.0,1265.0,1230.0,1235.0,50259700
2021-07-06,1260.0,1300.0,1255.0,1290.0,83567200
2021-07-07,1275.0,1275.0,1230.0,1250.0,72700000
2021-07-08,1250.0,1250.0,1210.0,1220.0,50605000
2021-07-09,1230.0,1255.0,1215.0,1250.0,46284000
2021-07-12,1270.0,1270.0,1235.0,1235.0,43425000
2021-07-13,1240.0,1245.0,1220.0,1230.0,30860600
2021-07-14,1230.0,1255.0,1215.0,1220.0,57171600
2021-07-15,1215.0,1240.0,1215.0,1225.0,45141600
2021-07-16,1240.0,1260.0,1225.0,1240.0,44257000
2021-07-19,1250.0,1265.0,1240.0,1250.0,47573900
2021-07-21,1260.0,1260.0,1235.0,1240.0,50329700
2021-07-22,1250.0,1340.0,1240.0,1335.0,178204200
2021-07-23,1335.0,1335.0,1295.0,1305.0,69244900
2021-07-26,1300.0,1310.0,1275.0,1280.0,55386900
2021-07-27,1290.0,1305.0,1260.0,1275.0,31381500
2021-07-28,1280.0,1285.0,1255.0,1270.0,46422700
2021-07-29,1285.0,1345.0,1275.0,1325.0,103637900
2021-07-30,1325.0,1365.0,1295.0,1335.0,116435600
2021-08-02,1345.0,1390.0,1340.0,1370.0,86145100
2021-08-03,1370.0,1370.0,1345.0,1350.0,61492100
2021-08-04,1350.0,1365.0,1345.0,1360.0,30115900
2021-08-05,1360.0,1370.0,1300.0,1300.0,99527400
2021-08-06,1310.0,1325.0,1285.0,1290.0,41862500
2021-08-09,1305.0,1340.0,1290.0,1300.0,56861800
2021-08-10,1320.0,1350.0,1300.0,1340.0,82237200
2021-08-12,1350.0,1415.0,1345.0,1410.0,185580600
2021-08-13,1420.0,1430.0,1370.0,1385.0,71600800
2021-08-16,1385.0,1400.0,1355.0,1365.0,47327100
2021-08-18,1360.0,1375.0,1325.0,1340.0,68965200
2021-08-19,1340.0,1355.0,1295.0,1295.0,61887100
2021-08-20,1290.0,1305.0,1260.0,1265.0,88174800
2021-08-23,1265.0,1320.0,1265.0,1315.0,61341500
2021-08-24,1340.0,1340.0,1250.0,1260.0,127792400
2021-08-25,1270.0,1280.0,1255.0,1255.0,65065500
2021-08-26,1270.0,1290.0,1250.0,1280.0,62480500
2021-08-27,1280.0,1280.0,1245.0,1245.0,70195900
2021-08-30,1260.0,1300.0,1260.0,1300.0,79496000
2021-08-31,1310.0,1310.0,1260.0,1260.0,82451800
2021-09-01,1280.0,1320.0,1275.0,1320.0,133083800
2021-09-02,1325.0,1345.0,1300.0,1320.0,82690300
2021-09-03,1335.0,1360.0,1325.0,1355.0,107931100
2021-09-06,1365.0,1380.0,1350.0,1365.0,61146600
2021-09-07,1365.0,1370.0,1340.0,1345.0,31543200
2021-09-08,1345.0,1360.0,1325.0,1330.0,68516800
2021-09-09,1340.0,1370.0,1330.0,1365.0,83497400
2021-09-10,1370.0,1375.0,1345.0,1350.0,61919000
2021-09-13,1350.0,1350.0,1330.0,1340.0,26391100
2021-09-14,1350.0,1395.0,1345.0,1385.0,98476700
2021-09-15,1375.0,1410.0,1365.0,1390.0,136898100
2021-09-16,1395.0,1410.0,1375.0,1390.0,50599200
2021-09-17,1370.0,1370.0,1315.0,1335.0,101975300
2021-09-20,1330.0,1345.0,1315.0,1320.0,50111200
2021-09-21,1320.0,1360.0,1305.0,1345.0,64966900
2021-09-22,1355.0,1410.0,1345.0,1400.0,133762600
2021-09-23,1410.0,1445.0,1390.0,1415.0,146626700
2021-09-24,1430.0,1515.0,1425.0,1500.0,303647800
2021-09-27,1515.0,1560.0,1505.0,1510.0,158865800
2021-09-28,1600.0,1785.0,1600.0,1740.0,503914800
2021-09-29,1740.0,1795.0,1705.0,1720.0,246864600
2021-09-30,1730.0,1805.0,1730.0,1760.0,267379500
2021-10-01,1775.0,1830.0,1740.0,1780.0,176722300
2021-10-04,1830.0,1900.0,1830.0,1860.0,235058800
2021-10-05,1920.0,1980.0,1800.0,1830.0,347837200
2021-10-06,1925.0,1945.0,1850.0,1865.0,274437500
2021-10-07,1785.0,1785.0,1735.0,1735.0,423593500
2021-10-08,1730.0,1815.0,1720.0,1815.0,247024500
2021-10-11,1820.0,1920.0,1815.0,1915.0,343765900
2021-10-12,1925.0,1940.0,1860.0,1885.0,263636400
2021-10-13,1885.0,1900.0,1840.0,1860.0,176095000
2021-10-14,1855.0,1885.0,1840.0,1855.0,129722500
2021-10-15,1860.0,1885.0,1835.0,1860.0,153446000
2021-10-18,1845.0,1895.0,1830.0,1875.0,124022900
2021-10-19,1850.0,1870.0,1835.0,1855.0,89410600
2021-10-21,1790.0,1800.0,1735.0,1755.0,250080900
2021-10-22,1660.0,1750.0,1645.0,1735.0,219166100
2021-10-25,1790.0,1800.0,1725.0,1745.0,140497900
2021-10-26,1775.0,1785.0,1740.0,1765.0,138384200
2021-10-27,1765.0,1765.0,1730.0,1730.0,95389000
2021-10-28,1710.0,1710.0,1625.0,1630.0,289795800
2021-10-29,1610.0,1695.0,1605.0,1680.0,100719500
2021-11-01,1655.0,1710.0,1635.0,1685.0,82111500
2021-11-02,1660.0,1680.0,1645.0,1645.0,44420500
2021-11-03,1645.0,1680.0,1645.0,1675.0,49009600
2021-11-04,1700.0,1730.0,1675.0,1675.0,90998600
2021-11-05,1650.0,1665.0,1635.0,1645.0,57505000
2021-11-08,1650.0,1710.0,1650.0,1695.0,58662000
2021-11-09,1720.0,1745.0,1700.0,1705.0,62964100
2021-11-10,1680.0,1710.0,1670.0,1690.0,36025600
2021-11-11,1675.0,1695.0,1660.0,1685.0,49884600
2021-11-12,1690.0,1700.0,1665.0,1685.0,35072500
2021-11-15,1680.0,1685.0,1595.0,1610.0,117468000
2021-11-16,1580.0,1630.0,1580.0,1615.0,46592500
2021-11-17,1620.0,1655.0,1600.0,1640.0,95085400
2021-11-18,1620.0,1645.0,1610.0,1625.0,48501400
2021-11-19,1635.0,1665.0,1625.0,1645.0,42127500
2021-11-22,1645.0,1660.0,1610.0,1640.0,36598500
2021-11-23,1665.0,1715.0,1640.0,1705.0,116464400
2021-11-24,1720.0,1730.0,1695.0,1695.0,100386500
2021-11-25,1710.0,1750.0,1690.0,1745.0,59282300
2021-11-26,1725.0,1730.0,1640.0,1655.0,83519800
2021-11-29,1640.0,1700.0,1610.0,1690.0,76424500
2021-11-30,1670.0,1730.0,1665.0,1700.0,161819600
2021-12-01,1730.0,1775.0,1700.0,1755.0,146798700
2021-12-02,1760.0,1820.0,1760.0,1810.0,147912000
2021-12-03,1805.0,1835.0,1790.0,1815.0,93276700
2021-12-06,1815.0,1920.0,1810.0,1910.0,251957100
2021-12-07,1910.0,1920.0,1870.0,1905.0,265246000
2021-12-08,1920.0,1935.0,1900.0,1925.0,356201700
2021-12-09,1930.0,1960.0,1925.0,1935.0,282019600
2021-12-10,1930.0,1940.0,1880.0,1920.0,254321600
2021-12-13,1930.0,1940.0,1905.0,1920.0,165209600
2021-12-14,1910.0,1930.0,1870.0,1920.0,205410600
2021-12-15,1920.0,2050.0,1910.0,2020.0,539995200
2021-12-16,2040.0,2080.0,1995.0,2040.0,205002000
2021-12-17,2050.0,2060.0,2030.0,2050.0,156302400
2021-12-20,2030.0,2050.0,2000.0,2050.0,100364400
2021-12-21,2050.0,2160.0,2040.0,2120.0,176897200
2021-12-22,2190.0,2190.0,2090.0,2150.0,191706000
2021-12-23,2170.0,2180.0,2120.0,2150.0,105060800
2021-12-24,2150.0,2240.0,2130.0,2220.0,251933600
2021-12-27,2230.0,2260.0,2180.0,2180.0,124062200
2021-12-28,2180.0,2310.0,2180.0,2300.0,295605000
2021-12-29,2300.0,2330.0,2260.0,2310.0,171340700
2021-12-30,2180.0,2270.0,2160.0,2250.0,235360400
2022-01-03,2170.0,2380.0,2170.0,2370.0,175091000
2022-01-04,2370.0,2380.0,2240.0,2300.0,241943400
2022-01-05,2330.0,2350.0,2230.0,2240.0,125371600
2022-01-06,2230.0,2310.0,2210.0,2300.0,245581000
2022-01-07,2320.0,2450.0,2290.0,2430.0,272389200
2022-01-10,2430.0,2430.0,2350.0,2400.0,123417100
2022-01-11,2440.0,2470.0,2330.0,2340.0,124218800
2022-01-12,2340.0,2370.0,2300.0,2310.0,122477500
2022-01-13,2330.0,2380.0,2280.0,2280.0,137848400
2022-01-14,2300.0,2330.0,2250.0,2270.0,173258000
2022-01-17,2300.0,2320.0,2210.0,2260.0,119048500
2022-01-18,2290.0,2310.0,2180.0,2220.0,180286700
2022-01-19,2220.0,2260.0,2200.0,2230.0,152019800
2022-01-20,2230.0,2360.0,2230.0,2310.0,213577600
2022-01-21,2310.0,2310.0,2260.0,2310.0,98844900
2022-01-24,2300.0,2350.0,2250.0,2270.0,94316300
2022-01-25,2260.0,2270.0,2160.0,2210.0,158258600
2022-01-26,2220.0,2240.0,2180.0,2210.0,97679400
2022-01-27,2200.0,2310.0,2190.0,2310.0,142280600
2022-01-28,2320.0,2320.0,2240.0,2280.0,104574100
2022-01-31,2300.0,2310.0,2210.0,2240.0,76748000
2022-02-02,2260.0,2290.0,2180.0,2210.0,100091000
2022-02-03,2210.0,2240.0,2170.0,2220.0,111391600
2022-02-04,2220.0,2240.0,2170.0,2180.0,96179700
2022-02-07,2200.0,2250.0,2180.0,2200.0,113939600
2022-02-08,2200.0,2220.0,2180.0,2200.0,111772600
2022-02-09,2220.0,2270.0,2180.0,2210.0,199270200
2022-02-10,2200.0,2230.0,2150.0,2160.0,114009500
2022-02-11,2160.0,2200.0,2110.0,2170.0,102593600
2022-02-14,2170.0,2270.0,2170.0,2230.0,127682400
2022-02-15,2250.0,2300.0,2210.0,2290.0,137023900
2022-02-16,2300.0,2300.0,2240.0,2240.0,70237000
2022-02-17,2230.0,2250.0,2180.0,2220.0,140157700
2022-02-18,2200.0,2280.0,2190.0,2240.0,84280000
2022-02-21,2260.0,2260.0,2200.0,2220.0,86719000
2022-02-22,2230.0,2260.0,2180.0,2230.0,91334200
2022-02-23,2270.0,2350.0,2240.0,2320.0,140574200
2022-02-24,2350.0,2480.0,2320.0,2480.0,286836000
2022-02-25,2520.0,2590.0,2450.0,2450.0,218034600
2022-03-01,2560.0,2720.0,2500.0,2580.0,357287400
2022-03-02,2690.0,2740.0,2550.0,2610.0,208447200
2022-03-04,2720.0,3050.0,2680.0,3040.0,408953900
2022-03-07,3150.0,3270.0,3080.0,3240.0,402645000
2022-03-08,3210.0,3210.0,3040.0,3120.0,257703500
2022-03-09,3120.0,3150.0,2960.0,3080.0,187471500
2022-03-10,2980.0,3070.0,2870.0,2980.0,236733800
2022-03-11,2880.0,3090.0,2880.0,3000.0,121344700
2022-03-14,2990.0,3020.0,2790.0,2790.0,168857700
2022-03-15,2660.0,2790.0,2650.0,2710.0,223378600
2022-03-16,2700.0,2830.0,2690.0,2820.0,126976100
