date,open,high,low,close,volume
2021-03-26,2230.0,2440.0,2200.0,2430.0,652293400
2021-03-29,2430.0,2430.0,2260.0,2260.0,454909500
2021-03-30,2270.0,2320.0,2160.0,2210.0,282270900
2021-03-31,2180.0,2250.0,2130.0,2250.0,268981300
2021-04-01,2290.0,2300.0,2200.0,2240.0,160897600
2021-04-05,2280.0,2280.0,2190.0,2200.0,107349400
2021-04-06,2250.0,2340.0,2210.0,2330.0,323980600
2021-04-07,2330.0,2370.0,2270.0,2360.0,237921000
2021-04-08,2360.0,2480.0,2340.0,2470.0,327839300
2021-04-09,2450.0,2490.0,2340.0,2340.0,264837100
2021-04-12,2310.0,2310.0,2210.0,2250.0,194738500
2021-04-13,2250.0,2300.0,2220.0,2270.0,111017700
2021-04-14,2280.0,2340.0,2280.0,2330.0,143891700
2021-04-15,2340.0,2350.0,2300.0,2320.0,109175800
2021-04-16,2340.0,2420.0,2310.0,2390.0,173387400
2021-04-19,2350.0,2370.0,2300.0,2340.0,91552300
2021-04-20,2330.0,2360.0,2300.0,2350.0,60372200
2021-04-21,2320.0,2400.0,2300.0,2370.0,112742900
2021-04-22,2380.0,2440.0,2350.0,2350.0,119644900
2021-04-23,2320.0,2340.0,2310.0,2320.0,41022800
2021-04-26,2350.0,2420.0,2340.0,2390.0,139616000
2021-04-27,2410.0,2430.0,2360.0,2390.0,96606300
2021-04-28,2380.0,2430.0,2350.0,2430.0,138325400
2021-04-29,2460.0,2540.0,2460.0,2510.0,325392600
2021-04-30,2490.0,2500.0,2440.0,2490.0,124672100
2021-05-03,2500.0,2560.0,2480.0,2520.0,171047200
2021-05-04,2540.0,2640.0,2500.0,2620.0,284137700
2021-05-05,2620.0,2640.0,2560.0,2630.0,180649900
2021-05-06,2610.0,2670.0,2580.0,2620.0,150793800
2021-05-07,2630.0,2650.0,2610.0,2620.0,133080200
2021-05-10,2640.0,2700.0,2620.0,2680.0,157887500
2021-05-11,2600.0,2690.0,2600.0,2670.0,164247600
2021-05-17,2670.0,2670.0,2500.0,2510.0,185205000
2021-05-18,2560.0,2640.0,2540.0,2600.0,179403400
2021-05-19,2580.0,2640.0,2530.0,2550.0,111892800
2021-05-20,2510.0,2520.0,2420.0,2420.0,214175900
2021-05-21,2420.0,2440.0,2310.0,2330.0,147528900
2021-05-24,2360.0,2390.0,2250.0,2270.0,128408600
2021-05-25,2310.0,2410.0,2310.0,2330.0,186483800
2021-05-27,2340.0,2390.0,2330.0,2390.0,148943500
2021-05-28,2470.0,2500.0,2430.0,2460.0,118544200
2021-05-31,2480.0,2480.0,2410.0,2450.0,57366900
2021-06-02,2460.0,2550.0,2440.0,2550.0,125654300
2021-06-03,2540.0,2600.0,2500.0,2520.0,131141700
2021-06-04,2480.0,2480.0,2410.0,2430.0,160479400
2021-06-07,2450.0,2450.0,2370.0,2380.0,62115900
2021-06-08,2390.0,2420.0,2350.0,2350.0,58838700
2021-06-09,2380.0,2480.0,2370.0,2460.0,117338500
2021-06-10,2440.0,2480.0,2420.0,2420.0,79751900
2021-06-11,2460.0,2500.0,2440.0,2480.0,94696000
2021-06-14,2470.0,2470.0,2400.0,2410.0,64557400
2021-06-15,2390.0,2390.0,2340.0,2360.0,84189100
2021-06-16,2330.0,2360.0,2300.0,2320.0,77248800
2021-06-17,2290.0,2350.0,2260.0,2330.0,74868000
2021-06-18,2300.0,2320.0,2210.0,2230.0,125507700
2021-06-21,2190.0,2250.0,2130.0,2200.0,100386700
2021-06-22,2250.0,2300.0,2220.0,2260.0,97671600
2021-06-23,2280.0,2310.0,2240.0,2250.0,64275900
2021-06-24,2280.0,2290.0,2240.0,2250.0,59257500
2021-06-25,2310.0,2340.0,2280.0,2300.0,90478300
