date,open,high,low,close,volume
2021-03-26,5525.0,5600.0,5475.0,5600.0,24880300
2021-03-29,5600.0,5650.0,5525.0,5525.0,25164100
2021-03-30,5475.0,5550.0,5400.0,5400.0,55842300
2021-03-31,5450.0,5450.0,5225.0,5275.0,89835200
2021-04-01,5350.0,5400.0,5325.0,5350.0,33323600
2021-04-05,5425.0,5450.0,5350.0,5350.0,29142200
2021-04-06,5375.0,5400.0,5300.0,5350.0,26040800
2021-04-07,5300.0,5350.0,5275.0,5325.0,33361900
2021-04-08,5375.0,5375.0,5300.0,5300.0,43680100
2021-04-09,5300.0,5400.0,5275.0,5275.0,59348800
2021-04-12,5250.0,5275.0,5050.0,5075.0,68211200
2021-04-13,5025.0,5175.0,5025.0,5075.0,53505400
2021-04-14,5150.0,5275.0,5100.0,5250.0,39277800
2021-04-15,5250.0,5275.0,5175.0,5250.0,34533700
2021-04-16,5300.0,5325.0,5200.0,5250.0,38151200
2021-04-19,5225.0,5250.0,5200.0,5200.0,30832600
2021-04-20,5150.0,5300.0,5150.0,5300.0,46601200
2021-04-21,5225.0,5275.0,5200.0,5225.0,47261000
2021-04-22,5225.0,5500.0,5225.0,5450.0,86785100
2021-04-23,5500.0,5650.0,5475.0,5625.0,95175600
2021-04-26,5625.0,5675.0,5600.0,5625.0,65428000
2021-04-27,5625.0,5650.0,5475.0,5525.0,41552600
2021-04-28,5400.0,5575.0,5325.0,5350.0,72011700
2021-04-29,5350.0,5475.0,5350.0,5425.0,43203100
2021-04-30,5450.0,5550.0,5375.0,5500.0,56668600
2021-05-03,5450.0,5500.0,5400.0,5425.0,29451000
2021-05-04,5500.0,5575.0,5425.0,5500.0,39860400
2021-05-05,5525.0,5600.0,5475.0,5525.0,27270000
2021-05-06,5600.0,5600.0,5400.0,5425.0,34361400
2021-05-07,5450.0,5475.0,5275.0,5325.0,30771700
2021-05-10,5350.0,5425.0,5350.0,5375.0,25429700
2021-05-11,5400.0,5425.0,5175.0,5225.0,49162600
2021-05-17,5300.0,5325.0,5125.0,5175.0,47623100
2021-05-18,5150.0,5200.0,5100.0,5150.0,45784300
2021-05-19,5100.0,5125.0,5025.0,5050.0,47008800
2021-05-20,5050.0,5200.0,5025.0,5175.0,49746900
2021-05-21,5175.0,5225.0,5050.0,5050.0,43416900
2021-05-24,5100.0,5150.0,5025.0,5100.0,33540000
2021-05-25,5100.0,5150.0,5050.0,5075.0,45393500
2021-05-27,5100.0,5225.0,5075.0,5150.0,99709500
2021-05-28,5175.0,5225.0,5125.0,5150.0,24346700
2021-05-31,5175.0,5300.0,5150.0,5250.0,41498000
2021-06-02,5350.0,5350.0,5275.0,5325.0,43217400
2021-06-03,5350.0,5350.0,5275.0,5350.0,49012700
2021-06-04,5325.0,5350.0,5200.0,5225.0,35211100
2021-06-07,5225.0,5300.0,5200.0,5250.0,31693200
2021-06-08,5300.0,5325.0,5200.0,5275.0,35402300
2021-06-09,5275.0,5350.0,5225.0,5325.0,24331300
2021-06-10,5400.0,5425.0,5325.0,5400.0,42924200
