date,open,high,low,close,volume
2021-03-26,1160.0,1195.0,1150.0,1185.0,2551300
2021-03-29,1190.0,1245.0,1190.0,1215.0,4648800
2021-03-30,1215.0,1225.0,1180.0,1190.0,2627900
2021-03-31,1190.0,1220.0,1155.0,1160.0,2742800
2021-04-01,1160.0,1195.0,1150.0,1170.0,1636900
2021-04-05,1175.0,1210.0,1170.0,1175.0,909900
2021-04-06,1175.0,1195.0,1160.0,1185.0,988700
2021-04-07,1180.0,1225.0,1150.0,1170.0,1442900
2021-04-08,1170.0,1180.0,1170.0,1170.0,987400
2021-04-09,1200.0,1200.0,1170.0,1180.0,1155300
2021-04-12,1185.0,1185.0,1150.0,1160.0,2328900
2021-04-13,1160.0,1160.0,1105.0,1155.0,2800500
2021-04-14,1155.0,1170.0,1145.0,1150.0,891200
2021-04-15,1160.0,1170.0,1145.0,1145.0,1342900
2021-04-16,1150.0,1200.0,1140.0,1170.0,1911400
2021-04-19,1175.0,1180.0,1155.0,1160.0,1289700
2021-04-20,1160.0,1170.0,1120.0,1150.0,1269100
2021-04-21,1145.0,1225.0,1145.0,1220.0,7335500
2021-04-22,1220.0,1240.0,1180.0,1185.0,3931300
2021-04-23,1185.0,1210.0,1160.0,1180.0,2024900
2021-04-26,1180.0,1195.0,1155.0,1175.0,1744700
2021-04-27,1175.0,1180.0,1160.0,1160.0,775600
2021-04-28,1160.0,1170.0,1155.0,1160.0,600300
2021-04-29,1160.0,1185.0,1160.0,1185.0,554500
2021-04-30,1185.0,1190.0,1165.0,1170.0,639600
2021-05-03,1190.0,1190.0,1170.0,1175.0,810900
2021-05-04,1175.0,1185.0,1160.0,1175.0,764900
2021-05-05,1175.0,1190.0,1160.0,1165.0,1154500
2021-05-06,1165.0,1175.0,1165.0,1165.0,511700
2021-05-07,1165.0,1165.0,1160.0,1160.0,576100
2021-05-10,1165.0,1180.0,1160.0,1180.0,700800
2021-05-11,1175.0,1185.0,1165.0,1165.0,432800
2021-05-17,1165.0,1180.0,1140.0,1150.0,1668700
2021-05-18,1150.0,1165.0,1130.0,1165.0,2010100
2021-05-19,1165.0,1165.0,1140.0,1140.0,754700
2021-05-20,1140.0,1140.0,1110.0,1135.0,1339300
2021-05-21,1145.0,1145.0,1120.0,1120.0,617800
2021-05-24,1120.0,1125.0,1105.0,1110.0,882000
2021-05-25,1115.0,1120.0,1105.0,1110.0,1105300
2021-05-27,1115.0,1140.0,1110.0,1130.0,715700
2021-05-28,1130.0,1150.0,1120.0,1140.0,737400
2021-05-31,1140.0,1160.0,1130.0,1150.0,746600
2021-06-02,1150.0,1175.0,1150.0,1175.0,1646100
2021-06-03,1175.0,1200.0,1160.0,1170.0,1490500
2021-06-04,1170.0,1175.0,1150.0,1175.0,1451800
2021-06-07,1175.0,1175.0,1150.0,1160.0,933400
2021-06-08,1160.0,1160.0,1135.0,1140.0,1391100
2021-06-09,1140.0,1155.0,1135.0,1140.0,486700
2021-06-10,1140.0,1150.0,1135.0,1150.0,306200
2021-06-11,1155.0,1165.0,1145.0,1160.0,1382900
2021-06-14,1160.0,1185.0,1160.0,1175.0,1674400
2021-06-15,1180.0,1195.0,1170.0,1170.0,838400
2021-06-16,1170.0,1170.0,1155.0,1165.0,424600
2021-06-17,1165.0,1165.0,1145.0,1145.0,493000
2021-06-18,1145.0,1170.0,1110.0,1120.0,2282300
2021-06-21,1125.0,1125.0,1075.0,1105.0,1364200
2021-06-22,1105.0,1125.0,1100.0,1115.0,612900
2021-06-23,1115.0,1125.0,1100.0,1115.0,427100
2021-06-24,1125.0,1125.0,1105.0,1105.0,552900
2021-06-25,1110.0,1115.0,1100.0,1110.0,245700
2021-06-28,1110.0,1125.0,1090.0,1095.0,935000
2021-06-29,1095.0,1115.0,1085.0,1090.0,814200
2021-06-30,1090.0,1100.0,1085.0,1085.0,848300
