date,open,high,low,close,volume
2021-03-26,6370.0,6445.0,6300.0,6415.0,134467500
2021-03-29,6410.0,6515.0,6360.0,6360.0,113370500
2021-03-30,6370.0,6455.0,6370.0,6395.0,83115500
2021-03-31,6390.0,6395.0,6145.0,6215.0,223390500
2021-04-01,6215.0,6270.0,6155.0,6225.0,112286000
2021-04-05,6250.0,6290.0,6155.0,6155.0,73311500
2021-04-06,6135.0,6170.0,6080.0,6165.0,80215000
2021-04-07,6155.0,6275.0,6135.0,6250.0,107908000
2021-04-08,6200.0,6215.0,6125.0,6135.0,123697500
2021-04-09,6315.0,6320.0,6145.0,6200.0,116961000
2021-04-12,6295.0,6295.0,6060.0,6065.0,110411500
2021-04-13,6050.0,6060.0,5980.0,6000.0,119211500
2021-04-14,6105.0,6305.0,6060.0,6305.0,135519500
2021-04-15,6305.0,6310.0,6180.0,6280.0,102686500
2021-04-16,6370.0,6370.0,6215.0,6275.0,79293500
2021-04-19,6275.0,6280.0,6230.0,6270.0,47095000
2021-04-20,6200.0,6250.0,6185.0,6235.0,72721000
2021-04-21,6200.0,6225.0,6165.0,6165.0,68397000
2021-04-22,6200.0,6275.0,6180.0,6215.0,63758000
2021-04-23,6280.0,6395.0,6225.0,6390.0,108498500
2021-04-26,6395.0,6400.0,6280.0,6285.0,108742000
2021-04-27,6370.0,6435.0,6355.0,6405.0,132650000
2021-04-28,6400.0,6405.0,6315.0,6320.0,87660000
2021-04-29,6460.0,6460.0,6360.0,6410.0,57355000
2021-04-30,6450.0,6450.0,6380.0,6405.0,65829500
2021-05-03,6480.0,6480.0,6345.0,6390.0,42065500
2021-05-04,6350.0,6430.0,6340.0,6400.0,50123500
2021-05-05,6420.0,6430.0,6400.0,6425.0,51685000
2021-05-06,6400.0,6450.0,6400.0,6425.0,38115500
2021-05-07,6460.0,6460.0,6385.0,6400.0,48864000
2021-05-10,6400.0,6420.0,6395.0,6420.0,68180500
2021-05-11,6400.0,6480.0,6305.0,6480.0,70680000
2021-05-17,6500.0,6500.0,6375.0,6500.0,129058500
2021-05-18,6400.0,6455.0,6365.0,6390.0,73563000
2021-05-19,6380.0,6400.0,6335.0,6345.0,64912500
2021-05-20,6390.0,6435.0,6350.0,6380.0,64950000
2021-05-21,6450.0,6450.0,6260.0,6360.0,92620000
2021-05-24,6355.0,6380.0,6290.0,6325.0,59210000
2021-05-25,6300.0,6440.0,6300.0,6355.0,87470000
2021-05-27,6440.0,6480.0,6270.0,6270.0,537971500
2021-05-28,6330.0,6370.0,6330.0,6340.0,102108500
2021-05-31,6360.0,6390.0,6325.0,6375.0,101442000
2021-06-02,6500.0,6515.0,6420.0,6465.0,141732500
2021-06-03,6495.0,6600.0,6430.0,6600.0,133810500
2021-06-04,6620.0,6620.0,6500.0,6580.0,62108500
2021-06-07,6560.0,6570.0,6430.0,6530.0,62576000
2021-06-08,6575.0,6575.0,6430.0,6430.0,64348000
2021-06-09,6360.0,6535.0,6360.0,6530.0,77198000
2021-06-10,6555.0,6620.0,6490.0,6620.0,73262500
2021-06-11,6570.0,6580.0,6460.0,6470.0,72780500
2021-06-14,6520.0,6520.0,6400.0,6410.0,61478500
2021-06-15,6445.0,6470.0,6405.0,6470.0,87799000
2021-06-16,6420.0,6435.0,6360.0,6385.0,48984000
2021-06-17,6390.0,6390.0,6275.0,6330.0,68448500
2021-06-18,6300.0,6345.0,6280.0,6325.0,118043000
2021-06-21,6300.0,6300.0,6210.0,6250.0,60823500
2021-06-22,6250.0,6390.0,6240.0,6340.0,65824000
2021-06-23,6295.0,6340.0,6230.0,6230.0,52451000
2021-06-24,6310.0,6310.0,6200.0,6210.0,56010000
2021-06-25,6230.0,6260.0,6190.0,6190.0,68939500
2021-06-28,6100.0,6150.0,6055.0,6055.0,84420500
2021-06-29,6050.0,6090.0,6040.0,6045.0,53704000
2021-06-30,6000.0,6070.0,6000.0,6025.0,65795000
2021-07-01,6060.0,6075.0,6000.0,6025.0,58153000
2021-07-02,6070.0,6140.0,6040.0,6100.0,67392500
2021-07-05,6100.0,6130.0,6070.0,6110.0,39710500
2021-07-06,6110.0,6110.0,6055.0,6055.0,34279500
2021-07-07,6180.0,6180.0,6030.0,6065.0,35595000
2021-07-08,6000.0,6040.0,5980.0,6015.0,47297000
2021-07-09,6010.0,6020.0,5990.0,6020.0,40707500
2021-07-12,6070.0,6180.0,6020.0,6170.0,65981500
2021-07-13,6170.0,6175.0,6015.0,6045.0,65946500
2021-07-14,6020.0,6030.0,5980.0,5990.0,59321000
2021-07-15,6000.0,6115.0,5995.0,6115.0,49724000
2021-07-16,6170.0,6170.0,6055.0,6110.0,47998500
2021-07-19,6110.0,6110.0,6005.0,6005.0,47119000
2021-07-21,6050.0,6120.0,6010.0,6010.0,55009500
2021-07-22,6115.0,6155.0,6050.0,6155.0,60792000
2021-07-23,6180.0,6190.0,6025.0,6035.0,79938000
2021-07-26,6040.0,6060.0,6005.0,6005.0,48171500
2021-07-27,6005.0,6060.0,6000.0,6005.0,53107500
2021-07-28,6005.0,6010.0,5970.0,5980.0,74133000
2021-07-29,6055.0,6085.0,5980.0,6040.0,84605000
2021-07-30,6040.0,6100.0,5960.0,5970.0,105685000
2021-08-02,6060.0,6065.0,5905.0,5960.0,119981500
2021-08-03,6025.0,6180.0,5985.0,6145.0,110071500
