date,open,high,low,close,volume
2023-03-27,1360.0,1360.0,1340.0,1350.0,4598300
2023-03-28,1355.0,1360.0,1340.0,1350.0,7397700
2023-03-29,1355.0,1375.0,1345.0,1375.0,8766100
2023-03-30,1370.0,1380.0,1365.0,1370.0,4923100
2023-03-31,1370.0,1375.0,1350.0,1360.0,9204000
2023-04-03,1360.0,1385.0,1355.0,1375.0,5959700
2023-04-04,1375.0,1395.0,1375.0,1380.0,11422300
2023-04-05,1380.0,1390.0,1375.0,1380.0,10062600
2023-04-06,1385.0,1390.0,1380.0,1385.0,9493200
2023-04-10,1385.0,1395.0,1380.0,1380.0,9233900
2023-04-11,1380.0,1385.0,1370.0,1370.0,11721700
2023-04-12,1375.0,1380.0,1365.0,1370.0,9971100
2023-04-13,1375.0,1380.0,1370.0,1380.0,22801300
2023-04-14,1285.0,1290.0,1285.0,1285.0,20667600
2023-04-17,1285.0,1285.0,1255.0,1255.0,13059400
2023-04-18,1270.0,1270.0,1255.0,1265.0,8790700
2023-04-26,1265.0,1280.0,1250.0,1255.0,10667100
2023-04-27,1260.0,1265.0,1250.0,1265.0,6712700
2023-04-28,1265.0,1265.0,1245.0,1255.0,6597800
2023-05-02,1250.0,1250.0,1210.0,1220.0,10970900
2023-05-03,1220.0,1220.0,1210.0,1210.0,3601400
2023-05-04,1215.0,1215.0,1200.0,1215.0,7099400
2023-05-05,1215.0,1220.0,1205.0,1205.0,2409400
2023-05-08,1220.0,1230.0,1205.0,1220.0,3737500
2023-05-09,1220.0,1220.0,1210.0,1210.0,3488200
2023-05-10,1220.0,1220.0,1210.0,1215.0,1941800
2023-05-11,1215.0,1220.0,1210.0,1210.0,2933400
2023-05-12,1220.0,1220.0,1210.0,1215.0,2160100
2023-05-15,1215.0,1220.0,1205.0,1210.0,3491100
2023-05-16,1210.0,1215.0,1200.0,1200.0,2854500
2023-05-17,1200.0,1215.0,1200.0,1205.0,2652000
2023-05-19,1210.0,1210.0,1165.0,1175.0,8092500
2023-05-22,1175.0,1180.0,1175.0,1180.0,1683000
2023-05-23,1195.0,1195.0,1170.0,1190.0,2424400
2023-05-24,1190.0,1195.0,1185.0,1190.0,1586300
2023-05-25,1190.0,1195.0,1180.0,1190.0,1708500
2023-05-26,1190.0,1195.0,1180.0,1180.0,2506400
2023-05-29,1190.0,1195.0,1170.0,1175.0,2041400
2023-05-30,1175.0,1185.0,1170.0,1175.0,983400
2023-05-31,1175.0,1215.0,1170.0,1215.0,6725300
2023-06-05,1215.0,1215.0,1175.0,1175.0,4323400
2023-06-06,1175.0,1190.0,1170.0,1190.0,1553200
2023-06-07,1190.0,1190.0,1180.0,1180.0,1102200
2023-06-08,1180.0,1190.0,1165.0,1180.0,2602800
2023-06-09,1185.0,1190.0,1180.0,1180.0,1021000
2023-06-12,1180.0,1190.0,1175.0,1180.0,1301800
