date,open,high,low,close,volume
2021-03-26,800.0,805.0,790.0,805.0,38071100
2021-03-29,810.0,810.0,790.0,795.0,17420500
2021-03-30,800.0,800.0,785.0,790.0,29819600
2021-03-31,790.0,790.0,775.0,785.0,24302200
2021-04-01,790.0,800.0,780.0,795.0,15276300
2021-04-05,800.0,810.0,790.0,810.0,18133100
2021-04-06,810.0,820.0,800.0,815.0,12194400
2021-04-07,815.0,820.0,805.0,815.0,9731600
2021-04-08,815.0,820.0,805.0,815.0,15015500
2021-04-09,815.0,825.0,785.0,785.0,54925200
2021-04-12,790.0,810.0,785.0,790.0,31708400
2021-04-13,795.0,800.0,785.0,800.0,18579600
2021-04-14,805.0,815.0,795.0,805.0,18752900
2021-04-15,810.0,815.0,790.0,800.0,24044700
2021-04-16,805.0,810.0,795.0,800.0,15669400
2021-04-19,800.0,805.0,800.0,800.0,6377300
2021-04-20,800.0,805.0,795.0,800.0,6897400
2021-04-21,800.0,800.0,790.0,790.0,8334700
2021-04-22,795.0,805.0,790.0,800.0,10277100
2021-04-23,800.0,805.0,795.0,800.0,7377200
2021-04-26,800.0,805.0,795.0,795.0,5165200
2021-04-27,800.0,800.0,795.0,795.0,5690200
2021-04-28,800.0,815.0,795.0,800.0,26046800
2021-04-29,805.0,810.0,800.0,800.0,24553900
2021-04-30,805.0,815.0,800.0,815.0,18735200
2021-05-03,815.0,820.0,805.0,805.0,17681200
2021-05-04,805.0,810.0,800.0,805.0,18407300
2021-05-05,805.0,815.0,805.0,810.0,22529700
2021-05-06,805.0,815.0,800.0,805.0,20070900
2021-05-07,805.0,815.0,805.0,805.0,18427500
2021-05-10,805.0,820.0,805.0,815.0,33357600
2021-05-11,805.0,820.0,800.0,815.0,68960800
2021-05-17,760.0,785.0,760.0,760.0,68261500
2021-05-18,765.0,770.0,750.0,755.0,19695000
2021-05-19,755.0,760.0,735.0,735.0,21484800
2021-05-20,735.0,740.0,730.0,730.0,13496600
2021-05-21,735.0,740.0,730.0,730.0,10640900
2021-05-24,740.0,740.0,730.0,730.0,6836800
2021-05-25,735.0,745.0,730.0,740.0,6782000
2021-05-27,745.0,755.0,735.0,745.0,11730400
2021-05-28,745.0,755.0,740.0,750.0,7177200
2021-05-31,745.0,755.0,740.0,755.0,11710600
2021-06-02,755.0,770.0,755.0,765.0,15359600
2021-06-03,765.0,775.0,760.0,775.0,10793400
