date,open,high,low,close,volume
2021-03-26,3225.0,3237.5,3175.0,3212.5,84478000
2021-03-29,3200.0,3250.0,3187.5,3187.5,79520400
2021-03-30,3200.0,3212.5,3137.5,3162.5,41180600
2021-03-31,3125.0,3162.5,3062.5,3075.0,159155800
2021-04-01,3125.0,3162.5,3075.0,3100.0,77715200
2021-04-05,3150.0,3150.0,3100.0,3112.5,39468400
2021-04-06,3112.5,3150.0,3075.0,3137.5,29650600
2021-04-07,3150.0,3162.5,3125.0,3162.5,46420200
2021-04-08,3125.0,3187.5,3100.0,3137.5,88449600
2021-04-09,3187.5,3275.0,3162.5,3237.5,126420200
2021-04-12,3212.5,3250.0,3137.5,3150.0,48429000
2021-04-13,3100.0,3175.0,3100.0,3150.0,76327000
2021-04-14,3175.0,3200.0,3125.0,3162.5,80914000
2021-04-15,3200.0,3200.0,3112.5,3150.0,68337400
2021-04-16,3175.0,3175.0,3125.0,3150.0,63194400
2021-04-19,3125.0,3137.5,3100.0,3112.5,43598600
2021-04-20,3100.0,3125.0,3087.5,3100.0,63882600
2021-04-21,3075.0,3087.5,3062.5,3062.5,65425600
2021-04-22,3087.5,3112.5,3050.0,3062.5,71452000
2021-04-23,3025.0,3075.0,3012.5,3075.0,104928400
2021-04-26,3050.0,3062.5,2975.0,2987.5,115305000
2021-04-27,2987.5,3037.5,2975.0,3025.0,96850800
2021-04-28,3050.0,3137.5,3050.0,3100.0,161162600
2021-04-29,3112.5,3137.5,3075.0,3112.5,82870600
2021-04-30,3112.5,3125.0,3062.5,3087.5,69941600
2021-05-03,3050.0,3075.0,3000.0,3025.0,65334000
2021-05-04,3025.0,3050.0,2987.5,3050.0,56355200
2021-05-05,3075.0,3075.0,3025.0,3025.0,45851800
2021-05-06,3062.5,3062.5,3012.5,3037.5,37091000
2021-05-07,3062.5,3062.5,2975.0,2975.0,65331800
2021-05-10,3012.5,3012.5,2975.0,2987.5,35481400
2021-05-11,3000.0,3000.0,2925.0,2950.0,69381800
2021-05-17,2987.5,3000.0,2937.5,2962.5,95099800
2021-05-18,2987.5,3000.0,2912.5,2950.0,73965200
2021-05-19,2900.0,2925.0,2812.5,2837.5,98436000
2021-05-20,2825.0,2875.0,2800.0,2825.0,69610000
2021-05-21,2862.5,2950.0,2837.5,2912.5,140453000
2021-05-24,2937.5,2937.5,2875.0,2875.0,54897600
2021-05-25,2887.5,2975.0,2887.5,2950.0,90594400
2021-05-27,3000.0,3000.0,2875.0,2875.0,353889800
2021-05-28,2912.5,2950.0,2887.5,2900.0,78305800
2021-05-31,2937.5,3050.0,2912.5,3000.0,96660000
2021-06-02,3075.0,3100.0,3037.5,3050.0,157335600
2021-06-03,3087.5,3137.5,3062.5,3125.0,86426400
2021-06-04,3125.0,3162.5,3062.5,3062.5,76307800
2021-06-07,3100.0,3100.0,3037.5,3062.5,42514400
2021-06-08,3075.0,3075.0,3000.0,3000.0,57084000
2021-06-09,3037.5,3087.5,3000.0,3075.0,47078600
2021-06-10,3087.5,3125.0,3062.5,3100.0,43543600
2021-06-11,3137.5,3150.0,3112.5,3137.5,77757800
2021-06-14,3150.0,3150.0,3112.5,3137.5,50043400
2021-06-15,3150.0,3162.5,3112.5,3162.5,107187800
2021-06-16,3162.5,3175.0,3100.0,3137.5,90051600
2021-06-17,3125.0,3137.5,3100.0,3100.0,146517200
2021-06-18,3087.5,3100.0,2975.0,3100.0,201335400
2021-06-21,3050.0,3050.0,2975.0,3012.5,138949200
2021-06-22,3037.5,3125.0,3012.5,3087.5,96680600
2021-06-23,3112.5,3112.5,3012.5,3012.5,66074200
2021-06-24,3050.0,3050.0,2987.5,2987.5,52248000
2021-06-25,3000.0,3012.5,2950.0,2950.0,61052000
2021-06-28,2912.5,2950.0,2837.5,2850.0,127109000
2021-06-29,2925.0,2925.0,2850.0,2887.5,96970800
2021-06-30,2925.0,2975.0,2900.0,2950.0,146560200
2021-07-01,2975.0,3000.0,2950.0,2987.5,87385400
2021-07-02,2987.5,3012.5,2962.5,2975.0,80422400
2021-07-05,2987.5,2987.5,2900.0,2925.0,29242400
2021-07-06,2950.0,2950.0,2875.0,2887.5,56066200
2021-07-07,2887.5,2912.5,2837.5,2875.0,96691000
2021-07-08,2925.0,2950.0,2875.0,2950.0,81459000
2021-07-09,2950.0,2950.0,2887.5,2887.5,50822400
2021-07-12,2937.5,2937.5,2887.5,2900.0,39692600
2021-07-13,2925.0,2950.0,2887.5,2887.5,65117000
2021-07-14,2900.0,2912.5,2825.0,2850.0,59225200
2021-07-15,2862.5,2950.0,2837.5,2937.5,94438400
2021-07-16,2937.5,2950.0,2912.5,2937.5,39567600
2021-07-19,2900.0,2925.0,2875.0,2875.0,31460200
2021-07-21,2912.5,2975.0,2900.0,2962.5,87100200
2021-07-22,2987.5,3050.0,2975.0,3025.0,55171400
2021-07-23,3000.0,3025.0,2975.0,2987.5,37457600
2021-07-26,2987.5,3000.0,2900.0,2900.0,77160200
2021-07-27,2925.0,2950.0,2875.0,2912.5,79279400
2021-07-28,2875.0,2950.0,2875.0,2950.0,41266000
2021-07-29,2950.0,2950.0,2875.0,2875.0,68168400
2021-07-30,2912.5,2912.5,2850.0,2850.0,92132400
2021-08-02,2887.5,2887.5,2812.5,2837.5,68571000
2021-08-03,2850.0,2900.0,2825.0,2887.5,70957400
2021-08-04,2912.5,2950.0,2887.5,2912.5,67410400
2021-08-05,2937.5,3037.5,2925.0,3025.0,140254000
2021-08-06,3037.5,3050.0,2975.0,2987.5,63682000
2021-08-09,3000.0,3012.5,2900.0,2900.0,50317400
2021-08-10,2900.0,2937.5,2887.5,2900.0,54893400
2021-08-12,2937.5,2975.0,2912.5,2962.5,51328800
2021-08-13,2987.5,3025.0,2950.0,3000.0,41771600
2021-08-16,3000.0,3025.0,2925.0,2987.5,53074000
2021-08-18,3000.0,3087.5,2962.5,3025.0,141229400
2021-08-19,3050.0,3050.0,2900.0,2925.0,101976800
2021-08-20,2950.0,2975.0,2900.0,2950.0,62841600
2021-08-23,2950.0,3000.0,2950.0,2987.5,46346200
2021-08-24,2975.0,2987.5,2900.0,2912.5,85217600
2021-08-25,2937.5,2987.5,2925.0,2975.0,60726800
2021-08-26,2925.0,2962.5,2912.5,2912.5,55050200
2021-08-27,2912.5,2937.5,2887.5,2900.0,35765000
2021-08-30,2925.0,2975.0,2912.5,2975.0,65062000
2021-08-31,3000.0,3050.0,2975.0,3050.0,135700400
2021-09-01,3050.0,3050.0,3000.0,3000.0,70082000
2021-09-02,3025.0,3050.0,2987.5,3025.0,51554400
2021-09-03,3050.0,3075.0,3000.0,3062.5,50760000
2021-09-06,3100.0,3162.5,3062.5,3100.0,51684400
2021-09-07,3125.0,3175.0,3112.5,3125.0,70448400
2021-09-08,3150.0,3150.0,3062.5,3125.0,84660600
