date,open,high,low,close,volume
2023-03-27,1225.0,1265.0,1225.0,1260.0,13873600
2023-03-28,1250.0,1280.0,1250.0,1255.0,9630700
2023-03-29,1255.0,1265.0,1250.0,1260.0,9604100
2023-03-30,1270.0,1280.0,1255.0,1275.0,7603200
2023-03-31,1275.0,1280.0,1265.0,1270.0,3323900
2023-04-03,1270.0,1305.0,1270.0,1300.0,10896000
2023-04-04,1300.0,1315.0,1290.0,1295.0,10965700
2023-04-05,1295.0,1310.0,1280.0,1290.0,9244500
2023-04-06,1290.0,1300.0,1290.0,1300.0,3311300
2023-04-10,1300.0,1320.0,1290.0,1295.0,16705800
2023-04-11,1295.0,1320.0,1295.0,1305.0,11618800
2023-04-12,1320.0,1320.0,1305.0,1310.0,18798200
2023-04-13,1315.0,1315.0,1300.0,1305.0,11658600
2023-04-14,1310.0,1310.0,1300.0,1300.0,15318800
2023-04-17,1300.0,1310.0,1300.0,1305.0,18382600
2023-04-18,1315.0,1335.0,1300.0,1330.0,26203500
2023-04-26,1240.0,1260.0,1240.0,1240.0,6537600
2023-04-27,1195.0,1255.0,1195.0,1255.0,34775500
2023-04-28,1260.0,1265.0,1230.0,1240.0,15578900
2023-05-02,1250.0,1250.0,1240.0,1245.0,9220400
2023-05-03,1250.0,1250.0,1230.0,1240.0,9944800
2023-05-04,1240.0,1265.0,1230.0,1265.0,11881100
2023-05-05,1270.0,1320.0,1265.0,1305.0,21721400
2023-05-08,1305.0,1390.0,1305.0,1375.0,30558500
2023-05-09,1375.0,1380.0,1345.0,1360.0,10566200
2023-05-10,1360.0,1370.0,1340.0,1350.0,8857700
2023-05-11,1355.0,1355.0,1320.0,1325.0,8580800
2023-05-12,1325.0,1405.0,1320.0,1405.0,15316600
2023-05-15,1405.0,1435.0,1385.0,1415.0,14876300
2023-05-16,1415.0,1485.0,1410.0,1460.0,26392700
2023-05-17,1460.0,1470.0,1415.0,1425.0,11907200
2023-05-19,1425.0,1445.0,1405.0,1445.0,6741200
2023-05-22,1455.0,1475.0,1430.0,1455.0,7850400
2023-05-23,1455.0,1460.0,1435.0,1455.0,6285700
2023-05-24,1455.0,1460.0,1415.0,1420.0,6176900
2023-05-25,1420.0,1430.0,1405.0,1410.0,4772100
2023-05-26,1410.0,1455.0,1405.0,1450.0,6340000
2023-05-29,1450.0,1465.0,1425.0,1455.0,7660500
2023-05-30,1455.0,1485.0,1440.0,1455.0,7002200
2023-05-31,1455.0,1465.0,1420.0,1440.0,9264000
2023-06-05,1440.0,1450.0,1425.0,1445.0,2268600
2023-06-06,1450.0,1475.0,1430.0,1460.0,9713900
2023-06-07,1460.0,1480.0,1450.0,1465.0,5764700
2023-06-08,1465.0,1475.0,1450.0,1465.0,3901600
2023-06-09,1465.0,1470.0,1450.0,1460.0,2190200
2023-06-12,1460.0,1540.0,1450.0,1540.0,17868600
2023-06-13,1545.0,1590.0,1530.0,1580.0,15054200
2023-06-14,1585.0,1585.0,1535.0,1540.0,7675400
2023-06-15,1540.0,1560.0,1530.0,1545.0,4221000
2023-06-16,1540.0,1545.0,1505.0,1515.0,7356700
2023-06-19,1515.0,1530.0,1500.0,1525.0,3534400
2023-06-20,1525.0,1560.0,1525.0,1540.0,3732600
2023-06-21,1500.0,1550.0,1500.0,1550.0,3526300
2023-06-22,1550.0,1570.0,1530.0,1560.0,4626900
2023-06-23,1560.0,1570.0,1550.0,1560.0,4386400
2023-06-26,1560.0,1585.0,1550.0,1570.0,5613200
2023-06-27,1575.0,1595.0,1565.0,1585.0,7586600
2023-07-03,1600.0,1635.0,1585.0,1620.0,13583100
2023-07-04,1620.0,1630.0,1610.0,1610.0,4429300
2023-07-05,1610.0,1625.0,1590.0,1605.0,8713000
2023-07-06,1605.0,1615.0,1595.0,1605.0,5123900
2023-07-07,1605.0,1640.0,1600.0,1630.0,10199300
2023-07-10,1630.0,1665.0,1590.0,1590.0,20021500
2023-07-11,1595.0,1600.0,1570.0,1590.0,6780500
2023-07-12,1595.0,1600.0,1580.0,1590.0,4603000
2023-07-13,1590.0,1600.0,1570.0,1580.0,7132900
2023-07-14,1580.0,1590.0,1575.0,1580.0,6431400
2023-07-17,1580.0,1605.0,1575.0,1595.0,7343300
2023-07-18,1595.0,1605.0,1575.0,1580.0,5980600
2023-07-20,1580.0,1595.0,1575.0,1585.0,4151100
2023-07-21,1585.0,1610.0,1585.0,1605.0,7695200
2023-07-24,1610.0,1620.0,1595.0,1610.0,8232700
2023-07-25,1610.0,1620.0,1600.0,1605.0,7270000
2023-07-26,1610.0,1610.0,1590.0,1595.0,4586000
2023-07-27,1600.0,1615.0,1595.0,1610.0,7665300
2023-07-28,1610.0,1615.0,1570.0,1610.0,9615800
2023-07-31,1615.0,1710.0,1600.0,1690.0,42279500
2023-08-01,1700.0,1715.0,1650.0,1670.0,15052700
2023-08-02,1715.0,1715.0,1665.0,1670.0,12625700
2023-08-03,1670.0,1685.0,1650.0,1670.0,6656300
2023-08-04,1670.0,1715.0,1665.0,1710.0,8940800
2023-08-07,1710.0,1780.0,1710.0,1780.0,13779300
2023-08-08,1785.0,1800.0,1770.0,1790.0,11968000
2023-08-09,1790.0,1795.0,1760.0,1775.0,6766900
2023-08-10,1775.0,1785.0,1755.0,1785.0,5034600
2023-08-11,1790.0,1815.0,1770.0,1775.0,6466100
2023-08-14,1775.0,1785.0,1735.0,1765.0,8761700
2023-08-15,1765.0,1790.0,1755.0,1765.0,4572100
2023-08-16,1765.0,1770.0,1725.0,1740.0,7275100
2023-08-18,1740.0,1755.0,1730.0,1740.0,3750500
2023-08-21,1740.0,1740.0,1700.0,1705.0,8955000
2023-08-22,1705.0,1705.0,1650.0,1690.0,17117100
2023-08-23,1690.0,1735.0,1685.0,1730.0,6370300
2023-08-24,1730.0,1750.0,1690.0,1700.0,6179100
2023-08-25,1700.0,1705.0,1670.0,1685.0,5261200
2023-08-28,1685.0,1700.0,1680.0,1680.0,2438700
2023-08-29,1680.0,1740.0,1680.0,1735.0,8685100
2023-08-30,1735.0,1760.0,1700.0,1715.0,6755700
