date,open,high,low,close,volume
2021-03-26,1115.0,1175.0,1085.0,1155.0,35459200
2021-03-29,1165.0,1200.0,1165.0,1185.0,30441000
2021-03-30,1170.0,1180.0,1105.0,1125.0,26714400
2021-03-31,1105.0,1120.0,1050.0,1095.0,43699800
2021-04-01,1105.0,1140.0,1075.0,1140.0,30117500
2021-04-05,1145.0,1145.0,1110.0,1135.0,11685900
2021-04-06,1120.0,1160.0,1120.0,1155.0,10107400
2021-04-07,1165.0,1165.0,1135.0,1150.0,14552500
2021-04-08,1150.0,1160.0,1145.0,1155.0,11185800
2021-04-09,1150.0,1175.0,1150.0,1150.0,30569400
2021-04-12,1145.0,1145.0,1070.0,1070.0,38318900
2021-04-13,1070.0,1090.0,1035.0,1070.0,23500400
2021-04-14,1085.0,1125.0,1070.0,1115.0,19764300
2021-04-15,1135.0,1160.0,1115.0,1150.0,24974400
2021-04-16,1160.0,1175.0,1150.0,1150.0,25790000
2021-04-19,1150.0,1155.0,1135.0,1140.0,5996200
2021-04-20,1150.0,1210.0,1140.0,1180.0,52848700
2021-04-21,1175.0,1210.0,1140.0,1145.0,48245000
2021-04-22,1150.0,1160.0,1105.0,1115.0,36462600
2021-04-23,1115.0,1125.0,1085.0,1120.0,25866100
2021-04-26,1125.0,1155.0,1115.0,1130.0,23231800
2021-04-27,1130.0,1170.0,1120.0,1155.0,25730000
2021-04-28,1140.0,1165.0,1140.0,1160.0,12103600
2021-04-29,1160.0,1165.0,1140.0,1145.0,13368500
2021-04-30,1155.0,1165.0,1140.0,1140.0,13558400
2021-05-03,1150.0,1160.0,1130.0,1150.0,16207300
2021-05-04,1150.0,1160.0,1145.0,1155.0,12126200
2021-05-05,1150.0,1160.0,1130.0,1135.0,8668500
2021-05-06,1145.0,1150.0,1115.0,1125.0,6552900
2021-05-07,1125.0,1135.0,1110.0,1110.0,7474000
2021-05-10,1125.0,1165.0,1120.0,1160.0,13728400
2021-05-11,1150.0,1190.0,1135.0,1165.0,24311700
2021-05-17,1175.0,1180.0,1100.0,1105.0,15330400
2021-05-18,1120.0,1135.0,1085.0,1125.0,10403000
2021-05-19,1120.0,1125.0,1100.0,1100.0,7713600
2021-05-20,1090.0,1100.0,1065.0,1095.0,15443500
2021-05-21,1100.0,1100.0,1060.0,1070.0,11696400
2021-05-24,1080.0,1090.0,1065.0,1065.0,3790200
2021-05-25,1075.0,1095.0,1065.0,1085.0,6545900
2021-05-27,1085.0,1110.0,1065.0,1070.0,21549400
