date,open,high,low,close,volume
2023-03-27,306.0,312.0,306.0,308.0,8580400
2023-03-28,312.0,318.0,310.0,310.0,14783900
2023-03-29,312.0,318.0,310.0,314.0,19228300
2023-03-30,316.0,318.0,312.0,312.0,14034100
2023-03-31,314.0,316.0,312.0,312.0,14097100
2023-04-03,322.0,328.0,318.0,320.0,50314800
2023-04-04,326.0,330.0,320.0,328.0,42938300
2023-04-05,328.0,334.0,314.0,314.0,68002500
2023-04-06,316.0,316.0,306.0,308.0,57727300
2023-04-10,310.0,312.0,306.0,308.0,33893800
2023-04-11,308.0,312.0,304.0,310.0,33193300
2023-04-12,310.0,314.0,308.0,310.0,16901300
2023-04-13,310.0,314.0,310.0,312.0,20899500
2023-04-14,312.0,320.0,310.0,316.0,24859400
2023-04-17,316.0,322.0,312.0,312.0,22625300
2023-04-18,310.0,316.0,308.0,314.0,15772700
2023-04-26,314.0,318.0,312.0,316.0,26425600
2023-04-27,316.0,316.0,312.0,314.0,23293400
2023-04-28,314.0,326.0,312.0,322.0,67623900
2023-05-02,326.0,336.0,322.0,324.0,70840900
2023-05-03,326.0,326.0,316.0,322.0,31425000
2023-05-04,320.0,322.0,316.0,318.0,39310000
2023-05-05,316.0,324.0,316.0,320.0,29209300
2023-05-08,316.0,326.0,316.0,322.0,25780200
2023-05-09,322.0,328.0,322.0,326.0,25327000
2023-05-10,326.0,334.0,326.0,328.0,38068600
2023-05-11,328.0,332.0,324.0,324.0,26700500
2023-05-12,324.0,330.0,322.0,322.0,28080700
2023-05-15,322.0,324.0,316.0,318.0,29908200
2023-05-16,318.0,324.0,318.0,318.0,11996100
2023-05-17,316.0,320.0,312.0,314.0,31745600
2023-05-19,314.0,318.0,314.0,316.0,14926500
2023-05-22,316.0,322.0,314.0,322.0,15653800
2023-05-23,322.0,328.0,322.0,324.0,17153400
2023-05-24,326.0,338.0,324.0,336.0,77782900
2023-05-25,338.0,338.0,332.0,332.0,28449900
2023-05-26,332.0,332.0,326.0,328.0,15701400
2023-05-29,328.0,334.0,326.0,330.0,21324500
2023-05-30,330.0,338.0,330.0,334.0,18382900
2023-05-31,336.0,336.0,326.0,330.0,18163500
2023-06-05,338.0,342.0,330.0,336.0,51799200
2023-06-06,338.0,346.0,336.0,336.0,109781700
2023-06-07,338.0,342.0,334.0,338.0,35043100
2023-06-08,338.0,346.0,338.0,344.0,46909500
2023-06-09,344.0,346.0,340.0,344.0,16194100
2023-06-12,346.0,346.0,340.0,344.0,36203800
2023-06-13,344.0,346.0,342.0,344.0,36139100
2023-06-14,348.0,348.0,340.0,344.0,65932100
2023-06-15,334.0,334.0,320.0,322.0,60520200
2023-06-16,326.0,326.0,322.0,322.0,25720600
2023-06-19,322.0,328.0,322.0,324.0,40789900
2023-06-20,326.0,328.0,322.0,326.0,11681000
2023-06-21,328.0,328.0,322.0,324.0,15840700
2023-06-22,326.0,332.0,324.0,330.0,29900200
2023-06-23,334.0,334.0,324.0,326.0,31033500
2023-06-26,328.0,336.0,326.0,336.0,33571300
2023-06-27,338.0,340.0,332.0,334.0,29420400
2023-07-03,334.0,340.0,334.0,338.0,15939300
2023-07-04,340.0,348.0,338.0,342.0,46994200
2023-07-05,344.0,348.0,340.0,344.0,36962400
2023-07-06,346.0,370.0,344.0,368.0,117999300
2023-07-07,370.0,380.0,362.0,372.0,75713600
2023-07-10,372.0,384.0,366.0,366.0,59966100
2023-07-11,366.0,374.0,364.0,372.0,39940900
2023-07-12,374.0,380.0,368.0,370.0,31907600
2023-07-13,370.0,376.0,366.0,374.0,30634700
2023-07-14,374.0,380.0,368.0,372.0,38083200
2023-07-17,372.0,376.0,370.0,376.0,16861500
2023-07-18,376.0,380.0,374.0,376.0,16320900
2023-07-20,378.0,380.0,372.0,372.0,31170300
2023-07-21,374.0,392.0,372.0,386.0,96883700
2023-07-24,390.0,392.0,382.0,388.0,40953300
2023-07-25,390.0,394.0,378.0,378.0,59317500
2023-07-26,380.0,386.0,376.0,382.0,35775600
2023-07-27,384.0,388.0,376.0,378.0,28231800
2023-07-28,378.0,382.0,370.0,374.0,66064600
2023-07-31,374.0,394.0,370.0,390.0,90163200
2023-08-01,390.0,396.0,382.0,382.0,41609500
2023-08-02,384.0,386.0,374.0,380.0,38969700
2023-08-03,380.0,382.0,376.0,382.0,12299100
2023-08-04,382.0,396.0,382.0,394.0,82367900
2023-08-07,396.0,416.0,394.0,406.0,123848100
2023-08-08,408.0,410.0,400.0,402.0,36535200
2023-08-09,402.0,408.0,400.0,408.0,32160700
2023-08-10,410.0,416.0,404.0,410.0,40814500
2023-08-11,410.0,416.0,408.0,410.0,40113500
2023-08-14,412.0,414.0,400.0,400.0,44077200
2023-08-15,402.0,410.0,398.0,402.0,41995100
2023-08-16,402.0,404.0,392.0,398.0,45732500
2023-08-18,398.0,398.0,384.0,390.0,79488300
2023-08-21,390.0,390.0,380.0,386.0,49259700
2023-08-22,386.0,400.0,386.0,390.0,17812700
2023-08-23,390.0,396.0,388.0,392.0,29244000
2023-08-24,392.0,394.0,388.0,394.0,30252400
2023-08-25,394.0,394.0,386.0,390.0,24612100
2023-08-28,390.0,392.0,386.0,392.0,14697700
2023-08-29,394.0,396.0,388.0,390.0,11808700
2023-08-30,390.0,394.0,388.0,388.0,15586900
2023-08-31,388.0,392.0,388.0,390.0,11502600
2023-09-01,392.0,424.0,392.0,410.0,265942500
2023-09-04,414.0,420.0,406.0,414.0,82597600
2023-09-05,416.0,418.0,406.0,408.0,40112100
2023-09-06,420.0,426.0,412.0,416.0,105155500
2023-09-07,414.0,424.0,412.0,412.0,29586200
2023-09-08,412.0,416.0,406.0,416.0,37607000
2023-09-11,420.0,420.0,410.0,416.0,21281900
2023-09-12,414.0,434.0,414.0,424.0,102838000
2023-09-13,428.0,438.0,426.0,432.0,70807300
2023-09-14,434.0,436.0,420.0,426.0,36271500
2023-09-15,424.0,438.0,424.0,430.0,31448900
2023-09-18,432.0,436.0,428.0,428.0,37210400
2023-09-19,430.0,436.0,428.0,432.0,24704400
2023-09-20,432.0,432.0,414.0,418.0,48909300
2023-09-21,420.0,420.0,410.0,416.0,33104900
2023-09-22,420.0,422.0,410.0,412.0,47416300
2023-09-25,412.0,420.0,412.0,418.0,27463400
2023-09-26,418.0,422.0,392.0,404.0,66261200
2023-09-27,404.0,414.0,404.0,410.0,39033700
2023-09-29,412.0,422.0,410.0,418.0,40624900
2023-10-02,418.0,420.0,410.0,414.0,25374700
2023-10-03,410.0,412.0,398.0,398.0,62744800
2023-10-04,400.0,406.0,394.0,394.0,43386400
2023-10-05,392.0,400.0,386.0,386.0,39849900
2023-10-06,386.0,396.0,382.0,390.0,35899600
2023-10-09,400.0,412.0,400.0,406.0,50285800
2023-10-10,410.0,414.0,402.0,404.0,31313600
2023-10-11,404.0,408.0,402.0,404.0,11073700
2023-10-12,404.0,408.0,396.0,406.0,25848400
2023-10-13,406.0,414.0,404.0,414.0,24015200
2023-10-16,418.0,426.0,414.0,420.0,69394100
2023-10-17,422.0,422.0,416.0,420.0,29663400
2023-10-18,420.0,428.0,420.0,422.0,34531100
2023-10-19,428.0,428.0,408.0,408.0,40456700
2023-10-20,408.0,420.0,408.0,414.0,19835300
2023-10-23,414.0,418.0,398.0,410.0,42809600
2023-10-24,410.0,412.0,404.0,408.0,14145500
2023-10-25,410.0,422.0,406.0,418.0,32929900
2023-10-26,418.0,422.0,408.0,412.0,20917100
2023-10-27,412.0,446.0,412.0,446.0,157768700
2023-10-30,450.0,460.0,424.0,424.0,114048600
2023-10-31,426.0,432.0,414.0,432.0,39041900
2023-11-01,434.0,434.0,410.0,412.0,60722200
2023-11-02,412.0,422.0,412.0,418.0,23573600
2023-11-03,420.0,432.0,420.0,424.0,26497500
2023-11-06,422.0,430.0,420.0,426.0,20547800
2023-11-07,426.0,430.0,418.0,418.0,19428800
2023-11-08,416.0,420.0,402.0,418.0,51275800
2023-11-09,416.0,420.0,410.0,414.0,19200900
2023-11-10,412.0,418.0,410.0,410.0,17921400
2023-11-13,412.0,418.0,410.0,410.0,13041000
2023-11-14,412.0,420.0,410.0,418.0,16790500
2023-11-15,418.0,428.0,418.0,422.0,28309200
2023-11-16,422.0,422.0,416.0,416.0,14428400
2023-11-17,418.0,418.0,406.0,410.0,28973200
2023-11-20,412.0,418.0,412.0,414.0,10037600
2023-11-21,418.0,420.0,410.0,410.0,10559100
2023-11-22,412.0,414.0,406.0,408.0,14653200
2023-11-23,408.0,414.0,402.0,410.0,19554900
2023-11-24,410.0,412.0,406.0,408.0,5711800
2023-11-27,410.0,416.0,408.0,408.0,12030400
2023-11-28,408.0,414.0,408.0,412.0,6830400
2023-11-29,416.0,420.0,410.0,414.0,12390500
2023-11-30,418.0,418.0,412.0,416.0,7935000
2023-12-01,416.0,416.0,408.0,410.0,7682800
2023-12-04,410.0,410.0,402.0,404.0,42423600
2023-12-05,404.0,408.0,400.0,404.0,21784300
2023-12-06,404.0,406.0,402.0,402.0,10435200
2023-12-07,400.0,402.0,390.0,392.0,41573000
2023-12-08,394.0,400.0,388.0,390.0,33871400
2023-12-11,392.0,396.0,386.0,388.0,28221900
2023-12-12,388.0,388.0,374.0,380.0,49740800
2023-12-13,378.0,378.0,370.0,372.0,44751000
2023-12-14,374.0,382.0,372.0,378.0,14446000
2023-12-15,382.0,386.0,378.0,378.0,15232300
2023-12-18,380.0,386.0,378.0,378.0,20046300
2023-12-19,380.0,386.0,380.0,384.0,11172600
2023-12-20,386.0,394.0,384.0,386.0,19713200
2023-12-21,390.0,390.0,382.0,388.0,11390100
2023-12-22,390.0,396.0,388.0,390.0,17320900
2023-12-27,390.0,404.0,390.0,400.0,34675200
2023-12-28,400.0,400.0,396.0,396.0,15803800
2023-12-29,398.0,398.0,386.0,388.0,21587200
2024-01-02,388.0,396.0,388.0,394.0,10666800
2024-01-03,394.0,398.0,392.0,394.0,11561100
2024-01-04,398.0,408.0,398.0,408.0,36494000
2024-01-05,408.0,410.0,400.0,402.0,17593500
2024-01-08,402.0,412.0,394.0,398.0,37966400
2024-01-09,398.0,398.0,388.0,388.0,30229500
2024-01-10,390.0,394.0,386.0,390.0,14878800
