date,open,high,low,close,volume
2021-03-26,2500.0,2500.0,2370.0,2420.0,12685500
2021-03-29,2420.0,2490.0,2400.0,2440.0,17316100
2021-03-30,2430.0,2480.0,2290.0,2310.0,15861000
2021-03-31,2310.0,2340.0,2190.0,2270.0,20919100
2021-04-01,2300.0,2460.0,2280.0,2450.0,35691100
2021-04-05,2500.0,2550.0,2350.0,2380.0,22175800
2021-04-06,2400.0,2480.0,2330.0,2430.0,18140300
2021-04-07,2460.0,2540.0,2430.0,2480.0,45156700
2021-04-08,2500.0,2540.0,2380.0,2400.0,29275900
2021-04-09,2400.0,2420.0,2340.0,2410.0,32121100
2021-04-12,2420.0,2420.0,2310.0,2330.0,14617500
2021-04-13,2330.0,2360.0,2280.0,2310.0,13855400
2021-04-14,2340.0,2400.0,2310.0,2380.0,14048100
2021-04-15,2420.0,2680.0,2400.0,2550.0,125730600
2021-04-16,2570.0,2640.0,2510.0,2550.0,57755100
2021-04-19,2560.0,2580.0,2400.0,2450.0,56648300
2021-04-20,2460.0,2490.0,2400.0,2440.0,20416200
2021-04-21,2430.0,2440.0,2370.0,2390.0,28701400
2021-04-22,2390.0,2410.0,2260.0,2390.0,49829700
2021-04-23,2350.0,2390.0,2300.0,2350.0,12722700
2021-04-26,2350.0,2410.0,2260.0,2300.0,22171100
2021-04-27,2300.0,2300.0,2160.0,2170.0,50697400
2021-04-28,2150.0,2250.0,2100.0,2230.0,36753800
2021-04-29,2290.0,2320.0,2200.0,2280.0,27545200
2021-04-30,2280.0,2290.0,2190.0,2240.0,20304600
2021-05-03,2270.0,2280.0,2210.0,2230.0,14374900
2021-05-04,2220.0,2250.0,2190.0,2220.0,7403600
2021-05-05,2220.0,2270.0,2200.0,2220.0,13922300
2021-05-06,2240.0,2270.0,2210.0,2270.0,25454800
2021-05-07,2290.0,2320.0,2240.0,2260.0,10275400
2021-05-10,2260.0,2280.0,2230.0,2260.0,18997300
2021-05-11,2250.0,2250.0,2160.0,2170.0,14950800
2021-05-17,2170.0,2170.0,2020.0,2030.0,34352900
2021-05-18,2020.0,2210.0,2020.0,2200.0,42628700
2021-05-19,2190.0,2320.0,2150.0,2270.0,61781800
2021-05-20,2270.0,2310.0,2250.0,2260.0,28157300
2021-05-21,2270.0,2280.0,2200.0,2250.0,21546700
2021-05-24,2220.0,2270.0,2190.0,2220.0,18042000
2021-05-25,2150.0,2300.0,2150.0,2280.0,39880500
2021-05-27,2280.0,2430.0,2200.0,2370.0,81487400
2021-05-28,2440.0,2440.0,2330.0,2360.0,29271800
2021-05-31,2380.0,2400.0,2330.0,2350.0,17052800
2021-06-02,2380.0,2420.0,2330.0,2340.0,16344300
2021-06-03,2340.0,2400.0,2310.0,2310.0,20478600
2021-06-04,2310.0,2350.0,2270.0,2270.0,21965100
2021-06-07,2270.0,2340.0,2270.0,2290.0,14421100
2021-06-08,2290.0,2310.0,2200.0,2200.0,24644800
2021-06-09,2250.0,2290.0,2170.0,2270.0,33497900
2021-06-10,2280.0,2320.0,2250.0,2270.0,22161500
2021-06-11,2270.0,2270.0,2220.0,2260.0,11754100
2021-06-14,2260.0,2260.0,2170.0,2180.0,14794000
2021-06-15,2180.0,2240.0,2150.0,2220.0,19100400
2021-06-16,2230.0,2230.0,2170.0,2170.0,13724000
2021-06-17,2190.0,2400.0,2170.0,2320.0,96479800
2021-06-18,2360.0,2380.0,2220.0,2320.0,74243400
2021-06-21,2320.0,2370.0,2230.0,2310.0,36260900
2021-06-22,2320.0,2500.0,2310.0,2450.0,129166600
2021-06-23,2500.0,2640.0,2490.0,2500.0,177999700
2021-06-24,2530.0,2640.0,2500.0,2540.0,102048300
2021-06-25,2570.0,2580.0,2470.0,2540.0,51221400
2021-06-28,2550.0,2650.0,2510.0,2540.0,78670000
2021-06-29,2550.0,2580.0,2410.0,2510.0,67384300
2021-06-30,2520.0,2530.0,2460.0,2500.0,39655200
2021-07-01,2500.0,2570.0,2470.0,2500.0,44985000
2021-07-02,2500.0,2540.0,2490.0,2490.0,27706600
2021-07-05,2490.0,2640.0,2470.0,2600.0,87717900
2021-07-06,2620.0,2870.0,2610.0,2800.0,179702700
2021-07-07,2810.0,2860.0,2770.0,2790.0,66100600
2021-07-08,2800.0,2870.0,2770.0,2800.0,98263800
2021-07-09,2810.0,2960.0,2750.0,2760.0,171956300
