date,open,high,low,close,volume
2023-03-27,1165.0,1185.0,1160.0,1180.0,27080200
2023-03-28,1180.0,1200.0,1170.0,1200.0,49261600
2023-03-29,1225.0,1235.0,1165.0,1220.0,86674100
2023-03-30,1220.0,1230.0,1205.0,1205.0,35557100
2023-03-31,1180.0,1180.0,1125.0,1125.0,18427900
2023-04-03,1090.0,1110.0,1050.0,1050.0,125642300
2023-04-04,1040.0,1075.0,1005.0,1030.0,156375600
2023-04-05,1050.0,1050.0,1015.0,1025.0,92612500
2023-04-06,1030.0,1065.0,1015.0,1035.0,97394400
2023-04-10,1035.0,1060.0,1030.0,1040.0,91372400
2023-04-11,1040.0,1050.0,1020.0,1035.0,37514100
2023-04-12,1050.0,1050.0,1010.0,1015.0,25533100
2023-04-13,1015.0,1025.0,995.0,1020.0,46815100
2023-04-14,1025.0,1030.0,990.0,1020.0,52671400
2023-04-17,1025.0,1030.0,1000.0,1000.0,16962000
2023-04-18,1005.0,1015.0,1000.0,1010.0,17359100
2023-04-26,1015.0,1030.0,1000.0,1015.0,20551100
2023-04-27,1015.0,1070.0,1015.0,1025.0,115855900
2023-04-28,1030.0,1040.0,1005.0,1015.0,167111600
2023-05-02,1020.0,1030.0,1010.0,1015.0,22929500
2023-05-03,1015.0,1050.0,1010.0,1020.0,59395100
2023-05-04,1020.0,1035.0,1015.0,1020.0,29401800
2023-05-05,1020.0,1025.0,1000.0,1000.0,35868800
2023-05-08,1000.0,1025.0,1000.0,1015.0,20352700
2023-05-09,1015.0,1020.0,1000.0,1005.0,24175500
2023-05-10,1015.0,1020.0,995.0,1000.0,55701100
2023-05-11,1000.0,1005.0,975.0,975.0,70569900
2023-05-12,975.0,990.0,960.0,960.0,55478700
2023-05-15,985.0,1005.0,960.0,995.0,23816200
2023-05-16,1010.0,1010.0,980.0,985.0,12637500
2023-05-17,985.0,995.0,970.0,985.0,12946300
2023-05-19,990.0,990.0,980.0,980.0,10370400
2023-05-22,980.0,1000.0,975.0,995.0,11009800
2023-05-23,995.0,1030.0,990.0,1005.0,43436100
2023-05-24,1025.0,1025.0,995.0,995.0,19537700
2023-05-25,1005.0,1005.0,985.0,995.0,18106100
2023-05-26,995.0,1005.0,990.0,995.0,16727100
2023-05-29,995.0,1000.0,980.0,985.0,11269600
2023-05-30,985.0,995.0,980.0,990.0,13640300
2023-05-31,1015.0,1015.0,975.0,980.0,30820100
2023-06-05,980.0,1000.0,970.0,995.0,27260700
2023-06-06,1000.0,1005.0,990.0,995.0,24361100
2023-06-07,1020.0,1020.0,975.0,985.0,30644900
2023-06-08,990.0,1000.0,980.0,995.0,20540300
2023-06-09,995.0,1030.0,990.0,1020.0,37614400
2023-06-12,1020.0,1030.0,1010.0,1015.0,17412100
2023-06-13,1015.0,1020.0,980.0,995.0,66212500
2023-06-14,995.0,1000.0,980.0,980.0,23263700
2023-06-15,980.0,1000.0,980.0,990.0,19594300
2023-06-16,990.0,995.0,985.0,985.0,24163200
2023-06-19,985.0,1000.0,985.0,995.0,46242200
2023-06-20,960.0,960.0,930.0,955.0,49285300
2023-06-21,955.0,960.0,935.0,950.0,51416300
2023-06-22,950.0,955.0,940.0,940.0,13430100
2023-06-23,945.0,950.0,935.0,935.0,16014800
2023-06-26,935.0,945.0,930.0,940.0,25513300
2023-06-27,940.0,950.0,935.0,945.0,15455400
2023-07-03,945.0,950.0,940.0,945.0,11208800
2023-07-04,945.0,970.0,940.0,955.0,26205400
2023-07-05,955.0,960.0,940.0,945.0,19536600
2023-07-06,945.0,955.0,940.0,945.0,13722100
2023-07-07,945.0,955.0,940.0,940.0,15602000
2023-07-10,945.0,950.0,940.0,945.0,8697300
2023-07-11,950.0,990.0,945.0,980.0,36883000
2023-07-12,980.0,990.0,965.0,970.0,20678000
2023-07-13,970.0,980.0,950.0,950.0,31653800
2023-07-14,950.0,960.0,945.0,955.0,8717300
2023-07-17,955.0,965.0,940.0,940.0,23437600
2023-07-18,945.0,950.0,930.0,940.0,29219100
2023-07-20,940.0,945.0,920.0,920.0,47980800
2023-07-21,895.0,975.0,895.0,975.0,63223600
2023-07-24,980.0,990.0,965.0,985.0,28553900
2023-07-25,980.0,995.0,965.0,970.0,15391900
2023-07-26,975.0,980.0,955.0,965.0,14963100
2023-07-27,965.0,970.0,915.0,920.0,91235000
2023-07-28,930.0,945.0,905.0,910.0,92384900
2023-07-31,910.0,925.0,905.0,910.0,37083000
2023-08-01,910.0,925.0,890.0,895.0,47366500
2023-08-02,895.0,910.0,885.0,890.0,37466400
2023-08-03,890.0,920.0,890.0,915.0,39259400
2023-08-04,920.0,925.0,910.0,910.0,14901800
2023-08-07,910.0,925.0,905.0,905.0,9717400
2023-08-08,910.0,915.0,900.0,900.0,14783700
2023-08-09,900.0,905.0,890.0,890.0,28574700
2023-08-10,890.0,900.0,880.0,880.0,37005000
2023-08-11,880.0,890.0,875.0,885.0,16908400
2023-08-14,890.0,900.0,880.0,890.0,20414300
2023-08-15,890.0,895.0,880.0,885.0,20168900
2023-08-16,910.0,910.0,880.0,900.0,33100900
2023-08-18,900.0,900.0,885.0,885.0,12779000
2023-08-21,895.0,895.0,880.0,880.0,11049600
2023-08-22,880.0,890.0,875.0,880.0,14824000
2023-08-23,905.0,905.0,875.0,880.0,15473000
2023-08-24,880.0,885.0,875.0,880.0,14493100
2023-08-25,880.0,885.0,875.0,875.0,13153300
2023-08-28,875.0,880.0,865.0,865.0,29871200
2023-08-29,875.0,885.0,865.0,880.0,12412200
2023-08-30,905.0,905.0,875.0,875.0,9997900
2023-08-31,880.0,885.0,870.0,880.0,8829400
2023-09-01,880.0,880.0,870.0,875.0,9353300
2023-09-04,875.0,880.0,865.0,870.0,10648000
2023-09-05,870.0,880.0,865.0,875.0,7778900
2023-09-06,900.0,900.0,865.0,865.0,13904500
2023-09-07,870.0,870.0,860.0,865.0,12846700
2023-09-08,875.0,875.0,855.0,860.0,16094000
2023-09-11,860.0,875.0,855.0,865.0,7545700
2023-09-12,865.0,875.0,855.0,855.0,16525600
2023-09-13,880.0,880.0,855.0,855.0,8671500
2023-09-14,860.0,875.0,855.0,865.0,13686900
2023-09-15,870.0,870.0,860.0,865.0,4489900
2023-09-18,865.0,870.0,860.0,865.0,5578500
2023-09-19,865.0,870.0,855.0,860.0,11404100
2023-09-20,885.0,885.0,860.0,875.0,6928200
2023-09-21,875.0,890.0,870.0,875.0,12925400
2023-09-22,875.0,880.0,870.0,880.0,4207000
2023-09-25,880.0,885.0,870.0,880.0,5552200
2023-09-26,880.0,885.0,865.0,870.0,8237900
2023-09-27,885.0,885.0,860.0,865.0,5991300
2023-09-29,865.0,875.0,860.0,865.0,11835700
2023-10-02,865.0,875.0,860.0,860.0,10395000
2023-10-03,865.0,870.0,855.0,860.0,12647000
2023-10-04,865.0,865.0,850.0,850.0,17526300
2023-10-05,860.0,860.0,845.0,855.0,12255300
2023-10-06,860.0,865.0,850.0,860.0,10311500
2023-10-09,860.0,865.0,850.0,850.0,16813900
2023-10-10,850.0,855.0,845.0,850.0,8305500
2023-10-11,875.0,875.0,845.0,845.0,13282100
2023-10-12,845.0,860.0,845.0,850.0,5119800
2023-10-13,850.0,860.0,845.0,855.0,7949700
2023-10-16,855.0,865.0,850.0,850.0,7365000
2023-10-17,855.0,885.0,850.0,870.0,28893800
2023-10-18,865.0,880.0,845.0,845.0,25307800
2023-10-19,855.0,855.0,840.0,845.0,20205700
2023-10-20,845.0,870.0,835.0,870.0,18079300
2023-10-23,870.0,875.0,845.0,855.0,17662900
2023-10-24,855.0,870.0,850.0,855.0,7801400
2023-10-25,870.0,880.0,855.0,865.0,28797000
2023-10-26,870.0,880.0,850.0,865.0,13120500
2023-10-27,870.0,880.0,860.0,865.0,17289600
2023-10-30,865.0,925.0,850.0,920.0,178848600
2023-10-31,920.0,930.0,895.0,910.0,77198800
2023-11-01,935.0,935.0,875.0,895.0,53458700
2023-11-02,895.0,960.0,885.0,950.0,113375300
2023-11-03,950.0,980.0,940.0,955.0,91309200
2023-11-06,905.0,970.0,905.0,960.0,43049200
2023-11-07,960.0,985.0,955.0,965.0,43943000
2023-11-08,970.0,970.0,935.0,950.0,27538500
2023-11-09,950.0,970.0,950.0,955.0,16553000
2023-11-10,955.0,985.0,950.0,985.0,64794800
2023-11-13,990.0,995.0,970.0,970.0,31347100
2023-11-14,970.0,1000.0,970.0,995.0,51385600
2023-11-15,995.0,1005.0,980.0,995.0,22397400
2023-11-16,995.0,1000.0,975.0,975.0,21944900
2023-11-17,985.0,985.0,940.0,945.0,64760800
2023-11-20,945.0,965.0,940.0,945.0,24966200
2023-11-21,945.0,955.0,940.0,950.0,10847900
2023-11-22,965.0,965.0,940.0,950.0,10837200
2023-11-23,950.0,985.0,945.0,980.0,40382600
2023-11-24,980.0,990.0,970.0,985.0,19707200
2023-11-27,985.0,995.0,970.0,985.0,36378200
2023-11-28,985.0,990.0,975.0,985.0,9396000
2023-11-29,1000.0,1000.0,960.0,970.0,14920500
2023-11-30,970.0,970.0,950.0,955.0,21652600
2023-12-01,955.0,965.0,950.0,955.0,12053900
2023-12-04,955.0,955.0,940.0,940.0,26383500
2023-12-05,940.0,945.0,905.0,930.0,46757000
2023-12-06,955.0,955.0,905.0,910.0,39760600
2023-12-07,910.0,930.0,900.0,900.0,39197900
2023-12-08,900.0,915.0,885.0,900.0,44084600
2023-12-11,900.0,910.0,885.0,890.0,20397900
2023-12-12,895.0,900.0,870.0,875.0,29543400
2023-12-13,895.0,900.0,875.0,900.0,10564900
2023-12-14,900.0,920.0,885.0,910.0,21827600
2023-12-15,910.0,920.0,890.0,895.0,44010400
2023-12-18,895.0,900.0,865.0,880.0,47943500
2023-12-19,885.0,895.0,870.0,875.0,14056000
2023-12-20,885.0,900.0,860.0,865.0,41313800
2023-12-21,870.0,885.0,860.0,875.0,14419300
2023-12-22,880.0,895.0,875.0,885.0,14596500
2023-12-27,885.0,900.0,880.0,890.0,16727600
2023-12-28,895.0,905.0,890.0,905.0,12490200
2023-12-29,905.0,910.0,895.0,895.0,6024900
2024-01-02,900.0,900.0,885.0,890.0,8637400
2024-01-03,890.0,895.0,885.0,885.0,8791800
2024-01-04,885.0,920.0,885.0,900.0,28585500
2024-01-05,900.0,915.0,895.0,900.0,7894000
2024-01-08,900.0,905.0,885.0,885.0,14581500
2024-01-09,890.0,890.0,865.0,870.0,22935500
2024-01-10,875.0,875.0,865.0,870.0,11511700
2024-01-11,865.0,890.0,865.0,880.0,7913600
2024-01-12,880.0,885.0,870.0,880.0,4327900
2024-01-15,880.0,895.0,875.0,895.0,17733300
2024-01-16,895.0,895.0,885.0,890.0,19120500
2024-01-17,910.0,910.0,875.0,885.0,9069700
2024-01-18,890.0,890.0,880.0,880.0,13063500
2024-01-19,870.0,890.0,870.0,880.0,10685300
2024-01-22,885.0,885.0,870.0,875.0,9182800
2024-01-23,875.0,885.0,870.0,870.0,10980800
2024-01-24,895.0,900.0,870.0,885.0,14004500
2024-01-25,885.0,890.0,875.0,885.0,7653700
2024-01-26,885.0,885.0,850.0,865.0,15749300
2024-01-29,865.0,880.0,865.0,875.0,6832300
2024-01-30,875.0,880.0,860.0,865.0,9516700
2024-01-31,875.0,875.0,860.0,875.0,12890900
2024-02-01,870.0,875.0,850.0,850.0,19946700
2024-02-02,860.0,870.0,845.0,865.0,22971000
2024-02-05,865.0,875.0,855.0,860.0,13259600
2024-02-06,865.0,895.0,860.0,890.0,20393100
2024-02-07,915.0,915.0,875.0,880.0,9412400
2024-02-12,880.0,885.0,870.0,880.0,10086700
2024-02-13,880.0,885.0,865.0,875.0,10142700
2024-02-15,900.0,925.0,875.0,915.0,65342600
2024-02-16,915.0,920.0,890.0,900.0,20103300
2024-02-19,900.0,905.0,875.0,890.0,14037800
2024-02-20,890.0,895.0,880.0,885.0,15226900
2024-02-21,910.0,910.0,855.0,855.0,39659200
2024-02-22,855.0,875.0,850.0,860.0,35400700
2024-02-23,860.0,860.0,850.0,855.0,24486300
2024-02-26,860.0,865.0,850.0,855.0,9067600
2024-02-27,855.0,870.0,850.0,855.0,16269100
2024-02-28,880.0,880.0,855.0,860.0,8717100
2024-02-29,860.0,875.0,855.0,865.0,24981700
2024-03-01,870.0,870.0,860.0,865.0,5477400
2024-03-04,865.0,870.0,850.0,855.0,21805400
2024-03-05,855.0,855.0,845.0,850.0,18943700
2024-03-06,875.0,875.0,850.0,850.0,12344600
2024-03-07,855.0,860.0,850.0,855.0,9290100
2024-03-08,855.0,860.0,845.0,855.0,16569100
2024-03-13,855.0,860.0,850.0,850.0,11555800
2024-03-14,855.0,860.0,850.0,855.0,9733600
2024-03-15,855.0,880.0,835.0,835.0,145110100
2024-03-18,835.0,860.0,835.0,835.0,81479100
2024-03-19,840.0,860.0,835.0,850.0,34184400
2024-03-20,855.0,860.0,845.0,850.0,14759100
2024-03-21,850.0,855.0,845.0,850.0,21747500
