date,open,high,low,close,volume
2021-03-26,9050.0,9100.0,8975.0,9100.0,7860900
2021-03-29,9100.0,9225.0,9050.0,9225.0,5927500
2021-03-30,9200.0,9225.0,9025.0,9075.0,6974500
2021-03-31,9075.0,9200.0,8800.0,9200.0,11218500
2021-04-01,9075.0,9150.0,8925.0,8950.0,8292600
2021-04-05,9000.0,9050.0,8925.0,8925.0,1842800
2021-04-06,8925.0,8950.0,8800.0,8825.0,4493200
2021-04-07,8850.0,8975.0,8850.0,8900.0,3186900
2021-04-08,8900.0,8950.0,8800.0,8800.0,7579300
2021-04-09,8800.0,8900.0,8800.0,8875.0,2731400
2021-04-12,8900.0,8925.0,8650.0,8650.0,5958000
2021-04-13,8650.0,8725.0,8550.0,8625.0,2735700
2021-04-14,8700.0,8750.0,8675.0,8750.0,2798800
2021-04-15,8750.0,8775.0,8675.0,8750.0,2319600
2021-04-16,8750.0,8950.0,8750.0,8950.0,4801000
2021-04-19,8975.0,9000.0,8900.0,8950.0,4496300
2021-04-20,9000.0,9000.0,8850.0,8900.0,2117200
2021-04-21,8850.0,8900.0,8800.0,8800.0,2711600
2021-04-22,8825.0,8875.0,8750.0,8750.0,1843600
2021-04-23,8800.0,8925.0,8750.0,8875.0,3492000
2021-04-26,8875.0,8900.0,8700.0,8700.0,4114300
2021-04-27,8700.0,8725.0,8550.0,8600.0,7502700
2021-04-28,8600.0,8675.0,8500.0,8575.0,5144400
2021-04-29,8600.0,8675.0,8575.0,8625.0,2352400
2021-04-30,8650.0,8700.0,8575.0,8700.0,3825600
2021-05-03,8700.0,8700.0,8550.0,8550.0,3563800
2021-05-04,8550.0,8575.0,8450.0,8525.0,6310100
2021-05-05,8525.0,8600.0,8500.0,8525.0,2506600
2021-05-06,8550.0,8600.0,8400.0,8500.0,6187000
2021-05-07,8500.0,8525.0,8425.0,8450.0,2904100
2021-05-10,8450.0,8600.0,8425.0,8600.0,3839900
2021-05-11,8600.0,8600.0,8500.0,8525.0,2161700
2021-05-17,8550.0,8575.0,8200.0,8250.0,9477500
2021-05-18,8250.0,8400.0,8250.0,8300.0,3770500
2021-05-19,8300.0,8350.0,8250.0,8275.0,4186400
2021-05-20,8300.0,8450.0,8275.0,8375.0,4715400
2021-05-21,8400.0,8425.0,8300.0,8325.0,2032000
2021-05-24,8350.0,8350.0,8200.0,8200.0,3906400
2021-05-25,8200.0,8225.0,8100.0,8175.0,8978000
2021-05-27,8200.0,8275.0,8150.0,8275.0,11260600
2021-05-28,8275.0,8300.0,8050.0,8125.0,7763900
2021-05-31,8150.0,8225.0,8075.0,8200.0,4574100
2021-06-02,8250.0,8375.0,8200.0,8225.0,5611200
2021-06-03,8250.0,8700.0,8250.0,8700.0,10251900
2021-06-04,8675.0,8675.0,8425.0,8450.0,9862700
2021-06-07,8500.0,8525.0,8325.0,8350.0,3596700
2021-06-08,8350.0,8375.0,8125.0,8175.0,8321100
2021-06-09,8175.0,8250.0,8125.0,8150.0,4260000
2021-06-10,8175.0,8225.0,8150.0,8150.0,2264700
2021-06-11,8175.0,8225.0,8150.0,8175.0,2528900
2021-06-14,8175.0,8250.0,8150.0,8150.0,2865900
2021-06-15,8175.0,8200.0,8125.0,8150.0,4067700
2021-06-16,8175.0,8325.0,8150.0,8175.0,4552800
2021-06-17,8175.0,8250.0,8125.0,8125.0,4122100
2021-06-18,8125.0,8150.0,7750.0,7750.0,22478200
2021-06-21,7725.0,8000.0,7625.0,7925.0,8643800
2021-06-22,7975.0,8150.0,7950.0,8050.0,4253300
2021-06-23,8150.0,8150.0,7950.0,7975.0,3698700
2021-06-24,8000.0,8125.0,7875.0,8025.0,5529100
2021-06-25,8025.0,8100.0,8000.0,8025.0,3121500
2021-06-28,8025.0,8100.0,7900.0,7975.0,3796900
2021-06-29,8050.0,8300.0,8000.0,8250.0,9487400
2021-06-30,8250.0,8350.0,8150.0,8150.0,5574700
2021-07-01,8425.0,8700.0,8350.0,8500.0,17723600
2021-07-02,8500.0,8575.0,8350.0,8425.0,10481800
2021-07-05,8425.0,8425.0,8200.0,8225.0,3802800
2021-07-06,8275.0,8400.0,8225.0,8400.0,2930700
2021-07-07,8350.0,8500.0,8325.0,8450.0,4513900
2021-07-08,8475.0,8550.0,8425.0,8475.0,3402100
2021-07-09,8400.0,8600.0,8375.0,8550.0,6327200
2021-07-12,8550.0,8900.0,8500.0,8825.0,12916200
2021-07-13,8825.0,9025.0,8725.0,8950.0,16894100
2021-07-14,8950.0,8950.0,8600.0,8700.0,7941000
