date,open,high,low,close,volume
2021-03-26,4410.0,4690.0,4380.0,4680.0,80072600
2021-03-29,4700.0,4720.0,4510.0,4540.0,38826000
2021-03-30,4580.0,4600.0,4480.0,4500.0,17162200
2021-03-31,4450.0,4460.0,4340.0,4380.0,17867700
2021-04-01,4480.0,4500.0,4380.0,4480.0,14830000
2021-04-05,4540.0,4550.0,4390.0,4430.0,12044500
2021-04-06,4480.0,4680.0,4460.0,4660.0,32268500
2021-04-07,4700.0,4730.0,4620.0,4680.0,19824800
2021-04-08,4710.0,4840.0,4660.0,4820.0,29419700
2021-04-09,4820.0,4830.0,4620.0,4620.0,18607800
2021-04-12,4590.0,4590.0,4420.0,4460.0,11530300
2021-04-13,4500.0,4500.0,4320.0,4370.0,12066800
2021-04-14,4370.0,4450.0,4370.0,4430.0,11222700
2021-04-15,4460.0,4470.0,4300.0,4310.0,17030400
2021-04-16,4330.0,4390.0,4310.0,4350.0,17932700
2021-04-19,4350.0,4350.0,4300.0,4310.0,10661100
2021-04-20,4290.0,4300.0,4210.0,4270.0,17350100
2021-04-21,4230.0,4230.0,4110.0,4160.0,27339500
2021-04-22,4160.0,4240.0,4160.0,4190.0,17765900
2021-04-23,4200.0,4200.0,4140.0,4150.0,10375700
2021-04-26,4200.0,4320.0,4200.0,4310.0,24265600
2021-04-27,4370.0,4400.0,4290.0,4330.0,20059700
2021-04-28,4330.0,4490.0,4330.0,4480.0,23478900
2021-04-29,4530.0,4670.0,4520.0,4650.0,34853500
2021-04-30,4630.0,4640.0,4540.0,4610.0,16972300
2021-05-03,4650.0,4690.0,4560.0,4570.0,15291000
2021-05-04,4600.0,4910.0,4570.0,4880.0,43546100
2021-05-05,4850.0,5000.0,4760.0,4970.0,43941500
2021-05-06,4950.0,5025.0,4920.0,4960.0,28951600
2021-05-07,4970.0,5150.0,4970.0,5100.0,36708300
2021-05-10,5150.0,5500.0,5150.0,5475.0,51678500
2021-05-11,5375.0,5600.0,5275.0,5550.0,30356900
2021-05-17,5500.0,5500.0,5175.0,5175.0,27582200
2021-05-18,5275.0,5400.0,5100.0,5325.0,33212600
2021-05-19,5275.0,5350.0,5025.0,5050.0,21685100
2021-05-20,4970.0,5075.0,4780.0,4810.0,36947500
2021-05-21,4800.0,4840.0,4590.0,4670.0,31732000
2021-05-24,4650.0,4710.0,4420.0,4500.0,26357600
2021-05-25,4570.0,4740.0,4570.0,4650.0,27760700
2021-05-27,4720.0,4730.0,4540.0,4590.0,31487800
2021-05-28,4720.0,4770.0,4650.0,4680.0,30850500
2021-05-31,4710.0,4780.0,4660.0,4730.0,16270200
2021-06-02,4810.0,4810.0,4700.0,4800.0,18917600
2021-06-03,4800.0,4940.0,4760.0,4860.0,24010000
2021-06-04,4790.0,4790.0,4700.0,4720.0,12660800
2021-06-07,4720.0,4730.0,4600.0,4610.0,10042100
2021-06-08,4610.0,4620.0,4530.0,4600.0,15527200
2021-06-09,4630.0,4830.0,4630.0,4800.0,18139500
2021-06-10,4800.0,4810.0,4710.0,4730.0,11895000
2021-06-11,4800.0,4880.0,4770.0,4840.0,13304500
2021-06-14,4830.0,4850.0,4770.0,4850.0,10616100
2021-06-15,4800.0,4820.0,4710.0,4790.0,17143000
2021-06-16,4700.0,4750.0,4610.0,4630.0,9596100
2021-06-17,4580.0,4630.0,4540.0,4570.0,12802500
2021-06-18,4570.0,4570.0,4280.0,4310.0,32429600
2021-06-21,4230.0,4430.0,4180.0,4310.0,20346400
2021-06-22,4400.0,4490.0,4330.0,4420.0,11213100
2021-06-23,4460.0,4470.0,4350.0,4350.0,7448500
2021-06-24,4410.0,4440.0,4330.0,4350.0,6600300
2021-06-25,4430.0,4570.0,4430.0,4540.0,17082500
2021-06-28,4530.0,4620.0,4470.0,4510.0,10811500
2021-06-29,4490.0,4560.0,4450.0,4550.0,8990600
2021-06-30,4590.0,4640.0,4530.0,4610.0,11562100
2021-07-01,4610.0,4620.0,4480.0,4560.0,11579000
2021-07-02,4560.0,4560.0,4490.0,4530.0,5025400
