date,open,high,low,close,volume
2023-03-27,7375.0,7500.0,7350.0,7400.0,2593200
2023-03-28,7400.0,7625.0,7400.0,7600.0,3261800
2023-03-29,7600.0,7675.0,7475.0,7625.0,4817100
2023-03-30,7650.0,7750.0,7550.0,7650.0,3026200
2023-03-31,7650.0,7675.0,7500.0,7500.0,4321500
2023-04-03,7500.0,7575.0,7450.0,7475.0,2712700
2023-04-04,7500.0,7525.0,7350.0,7450.0,4072500
2023-04-05,7425.0,7425.0,7225.0,7275.0,5638300
2023-04-06,7250.0,7625.0,7250.0,7275.0,8101700
2023-04-10,7300.0,7450.0,7250.0,7425.0,4316000
2023-04-11,7425.0,7500.0,7400.0,7475.0,2635800
2023-04-12,7475.0,7650.0,7425.0,7625.0,6034500
2023-04-13,7650.0,7700.0,7500.0,7500.0,2551500
2023-04-14,7525.0,7575.0,7450.0,7475.0,2515600
2023-04-17,7525.0,7625.0,7450.0,7525.0,2851000
2023-04-18,7525.0,7550.0,7450.0,7500.0,2284300
2023-04-26,7600.0,7925.0,7525.0,7925.0,9191800
2023-04-27,7925.0,7950.0,7775.0,7900.0,5859000
2023-04-28,7900.0,7975.0,7750.0,7775.0,6175100
2023-05-02,7775.0,7800.0,7550.0,7650.0,4875100
2023-05-03,7450.0,7450.0,7125.0,7150.0,15652500
2023-05-04,7150.0,7250.0,7075.0,7175.0,3773800
2023-05-05,7175.0,7250.0,7075.0,7100.0,4032700
2023-05-08,7100.0,7200.0,7000.0,7125.0,3334400
2023-05-09,7150.0,7325.0,7150.0,7250.0,2909200
2023-05-10,7300.0,7375.0,7275.0,7375.0,2028300
2023-05-11,7375.0,7375.0,7175.0,7200.0,2715900
2023-05-12,7225.0,7300.0,7200.0,7250.0,2128100
2023-05-15,7250.0,7325.0,7175.0,7250.0,2693000
2023-05-16,7250.0,7375.0,7250.0,7350.0,2944100
2023-05-17,7375.0,7450.0,7250.0,7250.0,5246200
2023-05-19,7250.0,7325.0,7175.0,7225.0,3803200
2023-05-22,7175.0,7475.0,7175.0,7450.0,4518700
2023-05-23,7450.0,7750.0,7375.0,7525.0,10438500
2023-05-24,7550.0,7600.0,7425.0,7425.0,0
2023-05-25,7425.0,7450.0,7250.0,7250.0,5938100
2023-05-26,7200.0,7325.0,7200.0,7275.0,2861600
2023-05-29,7300.0,7400.0,7250.0,7325.0,2927400
2023-05-30,7275.0,7325.0,7225.0,7275.0,3223600
2023-05-31,7250.0,7275.0,6900.0,6900.0,42171200
2023-06-05,7000.0,7125.0,6950.0,7025.0,9880600
2023-06-06,7025.0,7025.0,6950.0,7000.0,6325900
2023-06-07,7050.0,7100.0,7000.0,7100.0,4489800
2023-06-08,7125.0,7350.0,7050.0,7325.0,8114600
2023-06-09,7325.0,7475.0,7275.0,7400.0,4806700
2023-06-12,7400.0,7500.0,7350.0,7400.0,1999500
