date,open,high,low,close,volume
2023-03-27,1145.0,1180.0,1135.0,1160.0,10491300
2023-03-28,1160.0,1175.0,1150.0,1170.0,8249100
2023-03-29,1175.0,1175.0,1155.0,1155.0,10135800
2023-03-30,1165.0,1190.0,1150.0,1150.0,13477500
2023-03-31,1160.0,1175.0,1105.0,1125.0,32547700
2023-04-03,1125.0,1140.0,1125.0,1125.0,8792100
2023-04-04,1130.0,1135.0,1105.0,1120.0,10617900
2023-04-05,1120.0,1130.0,1100.0,1105.0,17564800
2023-04-06,1115.0,1155.0,1100.0,1105.0,33217100
2023-04-10,1110.0,1135.0,1110.0,1125.0,14372500
2023-04-11,1125.0,1130.0,1110.0,1110.0,11770200
2023-04-12,1115.0,1120.0,1095.0,1100.0,26318600
2023-04-13,1100.0,1110.0,1090.0,1090.0,15303300
2023-04-14,1090.0,1105.0,1090.0,1095.0,21715000
2023-04-17,1075.0,1080.0,1040.0,1070.0,27459100
2023-04-18,1075.0,1090.0,1065.0,1065.0,11699100
2023-04-26,1065.0,1080.0,1040.0,1075.0,20085100
2023-04-27,1065.0,1090.0,1050.0,1060.0,15067200
2023-04-28,1050.0,1050.0,1015.0,1040.0,17838000
2023-05-02,1040.0,1055.0,1025.0,1045.0,7285100
2023-05-03,1050.0,1075.0,1045.0,1075.0,14048300
2023-05-04,1075.0,1110.0,1075.0,1110.0,21821900
2023-05-05,1110.0,1120.0,1060.0,1085.0,22448300
2023-05-08,1090.0,1095.0,1050.0,1060.0,10385400
2023-05-09,1060.0,1065.0,1050.0,1060.0,11458000
2023-05-10,1060.0,1075.0,1055.0,1065.0,8980500
2023-05-11,1080.0,1100.0,1070.0,1090.0,19320200
2023-05-12,1095.0,1115.0,1085.0,1110.0,15423700
2023-05-15,1115.0,1180.0,1115.0,1175.0,57355300
2023-05-16,1180.0,1190.0,1155.0,1165.0,20246900
2023-05-17,1170.0,1190.0,1150.0,1175.0,16570400
2023-05-19,1175.0,1190.0,1160.0,1170.0,11518500
2023-05-22,1190.0,1230.0,1180.0,1215.0,48227600
2023-05-23,1215.0,1220.0,1185.0,1190.0,32349400
2023-05-24,1190.0,1215.0,1180.0,1210.0,20173300
2023-05-25,1215.0,1245.0,1200.0,1235.0,25267900
2023-05-26,1235.0,1285.0,1235.0,1275.0,45530700
2023-05-29,1275.0,1280.0,1245.0,1265.0,17225000
2023-05-30,1265.0,1265.0,1185.0,1185.0,24525500
2023-05-31,1185.0,1200.0,1150.0,1195.0,26536700
2023-06-05,1205.0,1215.0,1175.0,1180.0,14754900
2023-06-06,1180.0,1195.0,1170.0,1175.0,8768500
2023-06-07,1180.0,1225.0,1180.0,1210.0,19769100
2023-06-08,1215.0,1230.0,1200.0,1205.0,11765300
2023-06-09,1205.0,1230.0,1205.0,1220.0,8745300
2023-06-12,1220.0,1255.0,1220.0,1255.0,12296900
2023-06-13,1255.0,1255.0,1215.0,1225.0,14246600
2023-06-14,1225.0,1235.0,1215.0,1225.0,6250500
2023-06-15,1230.0,1240.0,1220.0,1240.0,3979700
2023-06-16,1240.0,1250.0,1230.0,1240.0,9569600
2023-06-19,1240.0,1240.0,1225.0,1235.0,5238100
