date,open,high,low,close,volume
2021-03-26,2800.0,2900.0,2720.0,2890.0,3847500
2021-03-29,2900.0,2910.0,2780.0,2790.0,2338900
2021-03-30,2790.0,2790.0,2700.0,2710.0,2252600
2021-03-31,2700.0,2710.0,2530.0,2560.0,4835100
2021-04-01,2550.0,2630.0,2500.0,2630.0,3132100
2021-04-05,2670.0,2740.0,2530.0,2610.0,3876600
2021-04-06,2620.0,2620.0,2530.0,2570.0,1630100
2021-04-07,2570.0,2590.0,2480.0,2520.0,2295300
2021-04-08,2530.0,2600.0,2500.0,2560.0,3280900
2021-04-09,2560.0,2770.0,2560.0,2670.0,7004600
2021-04-12,2680.0,2700.0,2510.0,2540.0,3311600
2021-04-13,2550.0,2560.0,2450.0,2490.0,2116100
2021-04-14,2500.0,2550.0,2500.0,2520.0,1489400
2021-04-15,2520.0,2540.0,2500.0,2510.0,955700
2021-04-16,2510.0,2560.0,2480.0,2510.0,1214300
2021-04-19,2530.0,2710.0,2490.0,2700.0,6302500
2021-04-20,2700.0,3070.0,2650.0,3000.0,29647500
2021-04-21,2950.0,3040.0,2870.0,3000.0,12104300
2021-04-22,2990.0,3030.0,2880.0,2890.0,3458900
2021-04-23,2890.0,2890.0,2740.0,2760.0,3928600
2021-04-26,2760.0,2830.0,2590.0,2610.0,4777700
2021-04-27,2610.0,2700.0,2590.0,2640.0,2453100
2021-04-28,2650.0,2710.0,2650.0,2660.0,1567200
2021-04-29,2660.0,2720.0,2650.0,2660.0,1812300
2021-04-30,2660.0,2950.0,2650.0,2800.0,11722700
2021-05-03,2800.0,2820.0,2720.0,2730.0,2286000
2021-05-04,2730.0,2770.0,2710.0,2720.0,1047900
2021-05-05,2720.0,2750.0,2670.0,2680.0,1711200
2021-05-06,2700.0,2730.0,2650.0,2660.0,1075800
2021-05-07,2660.0,2720.0,2650.0,2670.0,2139500
2021-05-10,2680.0,2710.0,2660.0,2660.0,1023000
2021-05-11,2670.0,2680.0,2610.0,2640.0,1183700
2021-05-17,2640.0,2680.0,2570.0,2580.0,2992600
2021-05-18,2610.0,2630.0,2550.0,2610.0,1676300
2021-05-19,2610.0,2630.0,2550.0,2550.0,1000800
2021-05-20,2610.0,2610.0,2520.0,2530.0,970100
2021-05-21,2560.0,2560.0,2420.0,2420.0,2103100
2021-05-24,2420.0,2460.0,2370.0,2370.0,1209900
2021-05-25,2370.0,2440.0,2370.0,2420.0,856200
2021-05-27,2430.0,2470.0,2410.0,2420.0,1053900
2021-05-28,2420.0,2450.0,2400.0,2430.0,676500
2021-05-31,2430.0,2700.0,2430.0,2600.0,5814000
2021-06-02,2630.0,2700.0,2570.0,2600.0,2616000
2021-06-03,2630.0,2630.0,2580.0,2600.0,1038100
2021-06-04,2600.0,2650.0,2570.0,2590.0,2102400
2021-06-07,2620.0,2620.0,2500.0,2500.0,3254200
2021-06-08,2500.0,2500.0,2400.0,2420.0,2533100
2021-06-09,2420.0,2450.0,2400.0,2440.0,817600
2021-06-10,2440.0,2450.0,2420.0,2440.0,1041500
2021-06-11,2450.0,2510.0,2440.0,2440.0,1182500
2021-06-14,2470.0,2620.0,2440.0,2570.0,4856900
