date,open,high,low,close,volume
2023-03-27,2160.0,2160.0,2090.0,2100.0,18006100
2023-03-28,2130.0,2190.0,2120.0,2150.0,33190400
2023-03-29,2190.0,2220.0,2150.0,2200.0,35518000
2023-03-30,2200.0,2210.0,2140.0,2170.0,21147600
2023-03-31,2160.0,2170.0,2090.0,2100.0,39487500
2023-04-03,2100.0,2100.0,2040.0,2080.0,39144600
2023-04-04,2080.0,2130.0,2070.0,2100.0,39340200
2023-04-05,2110.0,2150.0,2090.0,2090.0,21920600
2023-04-06,2100.0,2100.0,2050.0,2050.0,16191700
2023-04-10,2050.0,2070.0,2030.0,2070.0,14604800
2023-04-11,2070.0,2080.0,2050.0,2070.0,12614600
2023-04-12,2060.0,2060.0,2020.0,2040.0,40144000
2023-04-13,2060.0,2060.0,2030.0,2030.0,21326200
2023-04-14,2040.0,2080.0,2040.0,2060.0,30646000
2023-04-17,2070.0,2090.0,2030.0,2040.0,43702800
2023-04-18,2030.0,2080.0,2030.0,2060.0,25079900
2023-04-26,2040.0,2090.0,2020.0,2080.0,77840300
2023-04-27,2080.0,2120.0,2070.0,2120.0,11342900
2023-04-28,2120.0,2130.0,2060.0,2120.0,26544400
2023-05-02,2120.0,2120.0,2030.0,2070.0,38222900
2023-05-03,2060.0,2060.0,2020.0,2060.0,68209600
2023-05-04,2060.0,2090.0,2040.0,2090.0,31081500
2023-05-05,2090.0,2150.0,2070.0,2150.0,24418800
2023-05-08,2150.0,2150.0,2070.0,2100.0,31552100
2023-05-09,2080.0,2100.0,2060.0,2060.0,14251400
2023-05-10,2060.0,2110.0,2060.0,2060.0,19898500
2023-05-11,2070.0,2130.0,2060.0,2130.0,45802400
2023-05-12,2090.0,2120.0,2070.0,2110.0,20176200
2023-05-15,2110.0,2140.0,2100.0,2140.0,17513900
2023-05-16,2140.0,2200.0,2120.0,2200.0,18569300
2023-05-17,2190.0,2190.0,2130.0,2160.0,17462800
2023-05-19,2160.0,2170.0,2070.0,2170.0,30346900
2023-05-22,2170.0,2180.0,2120.0,2130.0,20090900
2023-05-23,2110.0,2160.0,2100.0,2120.0,42918300
2023-05-24,2090.0,2120.0,2040.0,2040.0,57639500
2023-05-25,2040.0,2080.0,2040.0,2050.0,28601500
2023-05-26,2050.0,2080.0,2040.0,2050.0,23341900
2023-05-29,2050.0,2110.0,2050.0,2110.0,28726300
2023-05-30,2110.0,2130.0,2070.0,2070.0,18171400
2023-05-31,2070.0,2100.0,2030.0,2030.0,270941900
2023-06-05,2070.0,2090.0,2030.0,2050.0,72504600
2023-06-06,2050.0,2070.0,1920.0,2040.0,71091800
2023-06-07,2030.0,2050.0,2000.0,2050.0,65246600
2023-06-08,2050.0,2070.0,2030.0,2040.0,17271000
2023-06-09,2040.0,2070.0,2020.0,2050.0,34354400
2023-06-12,2070.0,2070.0,2030.0,2060.0,22303000
2023-06-13,2060.0,2080.0,2030.0,2080.0,22482300
2023-06-14,2080.0,2080.0,2040.0,2050.0,26515000
2023-06-15,2050.0,2080.0,2030.0,2080.0,22591500
