date,open,high,low,close,volume
2023-03-27,4720.0,4830.0,4700.0,4780.0,2018700
2023-03-28,4830.0,4980.0,4800.0,4970.0,6977300
2023-03-29,5000.0,5100.0,4850.0,4970.0,4986000
2023-03-30,5100.0,5225.0,4930.0,4940.0,7239100
2023-03-31,4970.0,5100.0,4920.0,4930.0,11913400
2023-04-03,5000.0,5100.0,4980.0,5050.0,4952700
2023-04-04,5100.0,5175.0,5000.0,5050.0,5628500
2023-04-05,5075.0,5150.0,5050.0,5050.0,4740800
2023-04-06,5000.0,5125.0,4990.0,5050.0,13534900
2023-04-10,4870.0,4900.0,4700.0,4700.0,510200
2023-04-11,4550.0,4550.0,4380.0,4380.0,6006400
2023-04-12,4200.0,4350.0,4150.0,4190.0,6598600
2023-04-13,4200.0,4240.0,4110.0,4110.0,3732400
2023-04-14,4120.0,4230.0,4110.0,4170.0,2109800
2023-04-17,4200.0,4270.0,4050.0,4060.0,3423300
2023-04-18,4050.0,4130.0,3990.0,4030.0,3655000
2023-04-26,4010.0,4010.0,3750.0,3890.0,7706100
2023-04-27,3900.0,4050.0,3900.0,4000.0,3185800
2023-04-28,4000.0,4100.0,3980.0,4050.0,2189200
2023-05-02,4050.0,4120.0,4050.0,4090.0,2167200
2023-05-03,4110.0,4140.0,4010.0,4080.0,1830000
2023-05-04,4110.0,4110.0,3960.0,3990.0,2414800
2023-05-05,4000.0,4070.0,3980.0,4030.0,1275900
2023-05-08,4030.0,4210.0,4030.0,4200.0,2255600
2023-05-09,4210.0,4230.0,4120.0,4180.0,1010100
2023-05-10,4180.0,4200.0,4140.0,4160.0,720100
2023-05-11,4200.0,4200.0,4100.0,4120.0,861300
2023-05-12,4110.0,4200.0,4110.0,4170.0,812300
2023-05-15,4170.0,4170.0,4100.0,4100.0,883800
2023-05-16,4100.0,4130.0,4030.0,4030.0,1872300
2023-05-17,4030.0,4120.0,4020.0,4080.0,2064200
2023-05-19,4070.0,4080.0,3900.0,4000.0,2447500
2023-05-22,4000.0,4030.0,3930.0,3940.0,1705600
2023-05-23,3940.0,4070.0,3920.0,4050.0,1941400
2023-05-24,4050.0,4070.0,3860.0,3860.0,3134800
2023-05-25,3860.0,3890.0,3760.0,3850.0,3233800
2023-05-26,3880.0,3940.0,3740.0,3740.0,1356900
2023-05-29,3750.0,3840.0,3750.0,3760.0,648100
2023-05-30,3760.0,3820.0,3760.0,3800.0,856300
2023-05-31,3800.0,3840.0,3700.0,3700.0,3756900
2023-06-05,3700.0,3750.0,3450.0,3520.0,5293500
2023-06-06,3520.0,3560.0,3260.0,3290.0,8377800
2023-06-07,3290.0,3580.0,3290.0,3550.0,5001800
2023-06-08,3540.0,3590.0,3440.0,3540.0,2079900
2023-06-09,3540.0,3550.0,3490.0,3500.0,621200
2023-06-12,3510.0,3540.0,3460.0,3480.0,1226300
2023-06-13,3500.0,3630.0,3500.0,3580.0,1883300
2023-06-14,3580.0,3580.0,3450.0,3510.0,1845600
2023-06-15,3520.0,3660.0,3520.0,3650.0,1807000
2023-06-16,3640.0,3700.0,3570.0,3570.0,1430300
2023-06-19,3580.0,3600.0,3510.0,3520.0,1022200
2023-06-20,3520.0,3550.0,3490.0,3510.0,1024100
2023-06-21,3520.0,3520.0,3480.0,3500.0,1562300
2023-06-22,3500.0,3540.0,3410.0,3460.0,4242200
2023-06-23,3460.0,3520.0,3100.0,3480.0,701700
2023-06-26,3480.0,3520.0,3420.0,3470.0,1656500
2023-06-27,3470.0,3470.0,3330.0,3380.0,1954000
2023-07-03,3390.0,3410.0,3150.0,3250.0,8004200
2023-07-04,3250.0,3380.0,3250.0,3340.0,3650900
2023-07-05,3360.0,3430.0,3330.0,3360.0,4998500
2023-07-06,3360.0,3460.0,3360.0,3450.0,926000
2023-07-07,3450.0,3530.0,3420.0,3480.0,1497200
2023-07-10,3480.0,3490.0,3380.0,3420.0,1474800
2023-07-11,3430.0,3450.0,3410.0,3450.0,643700
2023-07-12,3450.0,3450.0,3370.0,3380.0,1167200
2023-07-13,3400.0,3400.0,3350.0,3350.0,1140200
2023-07-14,3380.0,3420.0,3360.0,3410.0,477700
2023-07-17,3420.0,3500.0,3360.0,3490.0,1180000
2023-07-18,3490.0,3610.0,3420.0,3430.0,2651400
2023-07-20,3430.0,3470.0,3350.0,3360.0,1947400
2023-07-21,3360.0,3390.0,3330.0,3350.0,843600
2023-07-24,3350.0,3410.0,3350.0,3370.0,1966500
2023-07-25,3370.0,3400.0,3310.0,3320.0,949900
2023-07-26,3300.0,3320.0,3220.0,3290.0,1347700
2023-07-27,3300.0,3370.0,3280.0,3320.0,1499900
2023-07-28,3330.0,3330.0,3250.0,3270.0,1339700
2023-07-31,3300.0,3340.0,2930.0,3020.0,9148600
2023-08-01,3020.0,3060.0,2960.0,2970.0,2409200
2023-08-02,2960.0,2960.0,2680.0,2680.0,9753200
2023-08-03,2680.0,2770.0,2550.0,2720.0,6221000
2023-08-04,2750.0,2890.0,2750.0,2840.0,2201500
2023-08-07,2850.0,2850.0,2730.0,2740.0,2408400
2023-08-08,2760.0,2760.0,2610.0,2620.0,3160000
2023-08-09,2630.0,2690.0,2580.0,2610.0,1459800
2023-08-10,2610.0,2640.0,2570.0,2600.0,1549500
2023-08-11,2610.0,2640.0,2580.0,2580.0,1366900
2023-08-14,2590.0,2640.0,2590.0,2600.0,2113900
2023-08-15,2600.0,2610.0,2530.0,2570.0,3900000
2023-08-16,2570.0,2600.0,2540.0,2540.0,1066400
2023-08-18,2540.0,2560.0,2520.0,2530.0,1078300
2023-08-21,2530.0,2620.0,2530.0,2560.0,1536100
2023-08-22,2580.0,2670.0,2570.0,2650.0,2898100
2023-08-23,2680.0,2790.0,2630.0,2710.0,3500000
2023-08-24,2730.0,2790.0,2680.0,2710.0,2291700
2023-08-25,2680.0,2750.0,2600.0,2690.0,2524200
2023-08-28,2680.0,2810.0,2660.0,2780.0,2764100
2023-08-29,2780.0,2820.0,2710.0,2760.0,1977500
2023-08-30,2770.0,2820.0,2750.0,2800.0,1619300
2023-08-31,2800.0,2840.0,2600.0,2600.0,24365500
2023-09-01,2600.0,2650.0,2570.0,2620.0,3245300
2023-09-04,2620.0,2650.0,2520.0,2530.0,5276200
2023-09-05,2540.0,2560.0,2420.0,2490.0,10863500
2023-09-06,2490.0,2510.0,2450.0,2510.0,2746200
