date,open,high,low,close,volume
2023-03-27,434.0,436.0,430.0,434.0,358600
2023-03-28,434.0,438.0,434.0,438.0,166800
2023-03-29,440.0,444.0,438.0,442.0,206700
2023-03-30,442.0,446.0,440.0,442.0,299600
2023-03-31,444.0,450.0,442.0,446.0,56600
2023-04-03,452.0,470.0,452.0,462.0,1627800
2023-04-04,464.0,470.0,458.0,466.0,274300
2023-04-05,466.0,466.0,464.0,464.0,192900
2023-04-06,464.0,470.0,460.0,464.0,89100
2023-04-10,464.0,474.0,448.0,454.0,288600
2023-04-11,454.0,454.0,438.0,450.0,538100
2023-04-12,448.0,460.0,442.0,458.0,170700
2023-04-13,458.0,464.0,450.0,450.0,79100
2023-04-14,456.0,456.0,442.0,448.0,100700
2023-04-17,448.0,448.0,436.0,440.0,363900
2023-04-18,440.0,442.0,432.0,436.0,514500
2023-04-26,438.0,438.0,430.0,432.0,320400
2023-04-27,432.0,438.0,428.0,436.0,464800
2023-04-28,434.0,446.0,434.0,438.0,362700
2023-05-02,434.0,436.0,408.0,418.0,1178800
2023-05-03,418.0,420.0,412.0,418.0,357000
2023-05-04,418.0,418.0,412.0,416.0,234200
2023-05-05,416.0,416.0,404.0,404.0,1377100
2023-05-08,408.0,412.0,402.0,412.0,470100
2023-05-09,412.0,412.0,404.0,410.0,218600
2023-05-10,412.0,420.0,412.0,416.0,533900
2023-05-11,414.0,416.0,412.0,414.0,313900
2023-05-12,414.0,416.0,412.0,416.0,414400
2023-05-15,416.0,434.0,416.0,420.0,3785700
2023-05-16,422.0,424.0,408.0,408.0,1793500
2023-05-17,410.0,412.0,408.0,408.0,743200
2023-05-19,408.0,414.0,408.0,414.0,1546300
2023-05-22,416.0,424.0,412.0,420.0,3638300
2023-05-23,422.0,426.0,416.0,420.0,1570000
2023-05-24,420.0,424.0,420.0,422.0,1003800
2023-05-25,422.0,428.0,420.0,428.0,1462600
2023-05-26,430.0,450.0,430.0,450.0,4746500
2023-05-29,452.0,458.0,444.0,444.0,2767400
2023-05-30,444.0,448.0,438.0,438.0,1144700
2023-05-31,438.0,438.0,424.0,428.0,1282800
2023-06-05,428.0,434.0,424.0,424.0,931100
2023-06-06,426.0,450.0,424.0,432.0,3892300
2023-06-07,432.0,440.0,432.0,434.0,1022500
2023-06-08,438.0,438.0,424.0,432.0,2237800
2023-06-09,438.0,438.0,428.0,436.0,1229100
2023-06-12,436.0,440.0,428.0,434.0,1733800
2023-06-13,434.0,438.0,432.0,436.0,1130600
2023-06-14,436.0,436.0,420.0,428.0,3488800
2023-06-15,426.0,442.0,422.0,440.0,1138500
2023-06-16,440.0,440.0,428.0,428.0,563300
2023-06-19,428.0,436.0,426.0,430.0,1063900
2023-06-20,430.0,430.0,426.0,428.0,491700
2023-06-21,428.0,430.0,424.0,428.0,1117400
2023-06-22,428.0,432.0,424.0,428.0,755100
2023-06-23,428.0,432.0,424.0,430.0,595600
2023-06-26,430.0,432.0,426.0,428.0,900800
2023-06-27,428.0,436.0,428.0,428.0,922400
2023-07-03,430.0,442.0,430.0,440.0,1410600
2023-07-04,442.0,448.0,436.0,444.0,1857000
2023-07-05,444.0,450.0,442.0,442.0,2877700
2023-07-06,444.0,444.0,438.0,440.0,1740200
2023-07-07,440.0,482.0,440.0,466.0,6336700
2023-07-10,466.0,492.0,466.0,484.0,4892100
2023-07-11,484.0,486.0,472.0,480.0,2066600
2023-07-12,480.0,484.0,476.0,484.0,994200
2023-07-13,482.0,490.0,478.0,480.0,2006200
2023-07-14,480.0,490.0,480.0,486.0,394400
2023-07-17,486.0,486.0,476.0,482.0,1292700
2023-07-18,480.0,484.0,468.0,470.0,3001100
2023-07-20,474.0,474.0,468.0,472.0,1923700
2023-07-21,470.0,474.0,468.0,470.0,775600
2023-07-24,470.0,476.0,468.0,472.0,707700
2023-07-25,474.0,476.0,462.0,466.0,2125300
2023-07-26,466.0,470.0,464.0,468.0,1265900
2023-07-27,470.0,474.0,464.0,464.0,2099100
2023-07-28,464.0,468.0,462.0,462.0,1558600
2023-07-31,462.0,472.0,460.0,462.0,1369200
2023-08-01,466.0,466.0,452.0,452.0,2248900
2023-08-02,454.0,460.0,448.0,454.0,1697400
2023-08-03,452.0,460.0,450.0,456.0,1287000
2023-08-04,456.0,458.0,454.0,458.0,437600
2023-08-07,458.0,458.0,448.0,452.0,1064900
2023-08-08,454.0,486.0,454.0,484.0,8987000
2023-08-09,488.0,496.0,482.0,488.0,9454000
2023-08-10,490.0,494.0,480.0,488.0,2202500
2023-08-11,486.0,488.0,480.0,482.0,1156200
2023-08-14,482.0,488.0,474.0,474.0,1768100
2023-08-15,476.0,482.0,466.0,474.0,3060000
2023-08-16,474.0,482.0,470.0,476.0,575000
2023-08-18,476.0,486.0,474.0,478.0,780400
2023-08-21,478.0,480.0,464.0,466.0,2066100
2023-08-22,466.0,482.0,460.0,468.0,807600
2023-08-23,468.0,474.0,460.0,462.0,1347300
2023-08-24,468.0,468.0,458.0,458.0,881800
2023-08-25,458.0,468.0,458.0,466.0,888400
2023-08-28,466.0,472.0,464.0,470.0,474100
2023-08-29,472.0,474.0,466.0,470.0,723100
2023-08-30,470.0,476.0,464.0,464.0,1266400
2023-08-31,470.0,474.0,464.0,466.0,246500
2023-09-01,464.0,478.0,462.0,470.0,602800
2023-09-04,472.0,472.0,462.0,470.0,1525600
2023-09-05,470.0,472.0,466.0,468.0,712300
2023-09-06,472.0,476.0,468.0,474.0,1756300
2023-09-07,476.0,480.0,470.0,472.0,622300
2023-09-08,474.0,478.0,470.0,470.0,380900
2023-09-11,472.0,474.0,470.0,474.0,1237800
2023-09-12,476.0,484.0,474.0,476.0,2169700
2023-09-13,476.0,595.0,468.0,595.0,8299200
2023-09-14,550.0,550.0,460.0,486.0,12127400
2023-09-15,466.0,488.0,466.0,474.0,4678000
2023-09-18,476.0,478.0,470.0,470.0,1964400
2023-09-19,474.0,474.0,458.0,470.0,2241500
2023-09-20,472.0,478.0,468.0,470.0,1323100
2023-09-21,470.0,474.0,466.0,466.0,2316400
2023-09-22,468.0,474.0,466.0,470.0,1396800
2023-09-25,472.0,472.0,464.0,468.0,1011000
2023-09-26,468.0,498.0,464.0,484.0,9565700
2023-09-27,486.0,490.0,468.0,474.0,3839600
2023-09-29,476.0,482.0,470.0,472.0,1934300
2023-10-02,474.0,482.0,472.0,480.0,1971000
2023-10-03,484.0,486.0,476.0,478.0,2846200
2023-10-04,480.0,480.0,468.0,472.0,1178400
2023-10-05,472.0,482.0,472.0,480.0,4153200
2023-10-06,480.0,484.0,474.0,482.0,3024600
2023-10-09,482.0,482.0,468.0,472.0,3869200
2023-10-10,476.0,476.0,470.0,470.0,1423500
2023-10-11,472.0,474.0,470.0,472.0,363200
2023-10-12,470.0,472.0,468.0,472.0,1933400
2023-10-13,472.0,474.0,468.0,472.0,1040200
2023-10-16,470.0,472.0,464.0,468.0,922400
2023-10-17,468.0,474.0,468.0,474.0,380200
2023-10-18,470.0,476.0,464.0,470.0,839800
2023-10-19,470.0,470.0,468.0,468.0,843800
2023-10-20,468.0,468.0,444.0,450.0,2674500
2023-10-23,454.0,454.0,436.0,436.0,1967000
2023-10-24,436.0,448.0,434.0,444.0,958300
2023-10-25,444.0,446.0,440.0,444.0,714400
2023-10-26,444.0,444.0,438.0,440.0,680600
2023-10-27,442.0,444.0,440.0,444.0,212900
2023-10-30,442.0,446.0,440.0,444.0,497000
2023-10-31,446.0,446.0,440.0,444.0,875500
2023-11-01,466.0,545.0,466.0,468.0,16354500
2023-11-02,482.0,486.0,472.0,480.0,3144300
2023-11-03,480.0,490.0,478.0,488.0,2129500
2023-11-06,492.0,565.0,486.0,530.0,15927200
2023-11-07,530.0,550.0,515.0,530.0,4426300
2023-11-08,530.0,550.0,530.0,545.0,2886500
2023-11-09,545.0,565.0,530.0,545.0,5120300
2023-11-10,535.0,555.0,525.0,545.0,2111400
2023-11-13,545.0,575.0,530.0,550.0,1966100
2023-11-14,555.0,555.0,500.0,520.0,4451100
2023-11-15,520.0,530.0,500.0,525.0,2217900
2023-11-16,515.0,525.0,510.0,510.0,619900
2023-11-17,520.0,530.0,500.0,525.0,871300
2023-11-20,520.0,530.0,515.0,515.0,1020000
2023-11-21,520.0,520.0,510.0,510.0,1006400
2023-11-22,510.0,540.0,510.0,525.0,1603800
2023-11-23,535.0,555.0,535.0,540.0,2788900
2023-11-24,540.0,550.0,530.0,535.0,787800
2023-11-27,535.0,550.0,535.0,535.0,1020900
2023-11-28,535.0,550.0,535.0,540.0,873100
2023-11-29,540.0,540.0,515.0,530.0,1855400
2023-11-30,530.0,535.0,515.0,515.0,1211900
2023-12-01,520.0,525.0,510.0,520.0,822200
2023-12-04,520.0,530.0,510.0,525.0,3525900
2023-12-05,525.0,545.0,525.0,530.0,4055300
2023-12-06,530.0,545.0,525.0,530.0,3448800
2023-12-07,530.0,540.0,520.0,525.0,1511200
2023-12-08,525.0,540.0,515.0,525.0,1400900
2023-12-11,540.0,540.0,515.0,525.0,1947600
2023-12-12,530.0,540.0,520.0,535.0,1699900
2023-12-13,535.0,535.0,520.0,525.0,1518800
2023-12-14,530.0,535.0,525.0,530.0,991800
2023-12-15,530.0,540.0,530.0,535.0,1777700
2023-12-18,535.0,560.0,525.0,530.0,3549600
2023-12-19,530.0,545.0,525.0,540.0,2262300
2023-12-20,545.0,550.0,530.0,530.0,1045000
2023-12-21,535.0,540.0,530.0,540.0,748300
2023-12-22,540.0,545.0,530.0,540.0,1327300
2023-12-27,540.0,545.0,530.0,535.0,427100
2023-12-28,530.0,535.0,525.0,530.0,2050000
2023-12-29,540.0,540.0,500.0,515.0,3958900
2024-01-02,515.0,520.0,510.0,515.0,1338500
2024-01-03,515.0,530.0,515.0,515.0,903000
2024-01-04,515.0,525.0,515.0,520.0,413600
2024-01-05,520.0,525.0,510.0,515.0,1403600
2024-01-08,510.0,510.0,482.0,484.0,11102400
2024-01-09,484.0,488.0,470.0,476.0,3998500
2024-01-10,476.0,488.0,476.0,478.0,901100
2024-01-11,480.0,482.0,476.0,480.0,1882000
2024-01-12,478.0,480.0,472.0,474.0,1631800
2024-01-15,474.0,480.0,470.0,476.0,977000
2024-01-16,478.0,484.0,476.0,480.0,1110900
2024-01-17,478.0,482.0,470.0,476.0,857100
2024-01-18,476.0,515.0,474.0,494.0,5668200
2024-01-19,498.0,515.0,492.0,510.0,2647800
2024-01-22,505.0,530.0,496.0,510.0,1781200
2024-01-23,510.0,515.0,498.0,500.0,960500
2024-01-24,500.0,505.0,496.0,505.0,191800
2024-01-25,505.0,510.0,490.0,498.0,933800
2024-01-26,498.0,498.0,490.0,492.0,158600
2024-01-29,492.0,498.0,488.0,494.0,804100
2024-01-30,496.0,498.0,492.0,494.0,228900
2024-01-31,496.0,496.0,494.0,496.0,318400
2024-02-01,496.0,496.0,476.0,480.0,6490400
2024-02-02,480.0,490.0,476.0,486.0,380100
2024-02-05,488.0,496.0,486.0,492.0,853700
2024-02-06,494.0,494.0,482.0,492.0,932000
2024-02-07,492.0,492.0,484.0,490.0,444900
2024-02-12,490.0,490.0,480.0,488.0,282900
2024-02-13,488.0,490.0,480.0,488.0,578000
2024-02-15,488.0,498.0,484.0,492.0,826400
2024-02-16,488.0,494.0,484.0,494.0,345200
2024-02-19,492.0,494.0,486.0,490.0,377200
2024-02-20,486.0,494.0,486.0,490.0,794700
2024-02-21,492.0,492.0,480.0,484.0,486000
2024-02-22,488.0,488.0,482.0,486.0,3377500
2024-02-23,486.0,490.0,484.0,488.0,478600
2024-02-26,490.0,505.0,488.0,496.0,4023100
2024-02-27,505.0,510.0,496.0,500.0,3329000
2024-02-28,505.0,505.0,498.0,500.0,1556700
2024-02-29,500.0,505.0,494.0,500.0,1423600
2024-03-01,500.0,540.0,496.0,510.0,3933000
2024-03-04,515.0,525.0,510.0,520.0,3149600
2024-03-05,525.0,525.0,500.0,505.0,1705500
2024-03-06,505.0,520.0,500.0,505.0,599700
2024-03-07,505.0,530.0,505.0,520.0,3595200
2024-03-08,525.0,540.0,510.0,530.0,3501700
2024-03-13,525.0,535.0,520.0,530.0,1492300
2024-03-14,530.0,550.0,530.0,540.0,3104100
2024-03-15,540.0,555.0,530.0,550.0,2742700
2024-03-18,555.0,560.0,535.0,535.0,687600
2024-03-19,535.0,550.0,530.0,550.0,1062100
2024-03-20,550.0,555.0,530.0,540.0,945300
2024-03-21,540.0,550.0,525.0,535.0,1528200
2024-03-22,530.0,540.0,515.0,525.0,759200
2024-03-25,535.0,535.0,515.0,520.0,991600
2024-03-26,525.0,525.0,505.0,505.0,1237200
2024-03-27,505.0,515.0,500.0,510.0,901300
2024-03-28,505.0,510.0,498.0,505.0,704700
2024-04-01,510.0,520.0,488.0,515.0,3625600
2024-04-02,515.0,525.0,500.0,515.0,456900
2024-04-03,515.0,520.0,505.0,510.0,426500
2024-04-04,510.0,560.0,505.0,525.0,3654900
2024-04-05,535.0,545.0,525.0,525.0,1520500
2024-04-16,525.0,525.0,500.0,505.0,3254600
2024-04-17,505.0,525.0,505.0,515.0,2487200
2024-04-18,515.0,515.0,505.0,510.0,1004400
2024-04-19,510.0,510.0,490.0,498.0,2162500
2024-04-22,500.0,500.0,490.0,492.0,521300
2024-04-23,496.0,505.0,492.0,500.0,358100
2024-04-24,498.0,500.0,494.0,496.0,217800
2024-04-25,496.0,530.0,490.0,515.0,734500
2024-04-26,515.0,515.0,496.0,496.0,417900
2024-04-29,496.0,510.0,494.0,505.0,492600
2024-04-30,505.0,560.0,500.0,535.0,5286000
2024-05-02,550.0,560.0,515.0,525.0,2326300
2024-05-03,525.0,545.0,520.0,535.0,1863800
2024-05-06,540.0,565.0,540.0,545.0,5661300
2024-05-07,545.0,560.0,545.0,545.0,2874000
2024-05-08,550.0,575.0,550.0,560.0,3953100
2024-05-13,560.0,575.0,555.0,565.0,3301100
2024-05-14,560.0,595.0,555.0,590.0,5316700
2024-05-15,595.0,625.0,590.0,610.0,7914500
2024-05-16,615.0,635.0,610.0,625.0,4062400
2024-05-17,625.0,630.0,615.0,625.0,2332400
2024-05-20,625.0,630.0,595.0,625.0,6881800
2024-05-21,625.0,635.0,600.0,600.0,2700800
2024-05-22,600.0,660.0,600.0,650.0,10405800
