date,open,high,low,close,volume
2023-03-27,1520.0,1530.0,1495.0,1500.0,12474900
2023-03-28,1520.0,1620.0,1500.0,1600.0,25620200
2023-03-29,1600.0,1680.0,1585.0,1625.0,24038300
2023-03-30,1625.0,1650.0,1515.0,1540.0,66650300
2023-03-31,1540.0,1560.0,1510.0,1510.0,25767000
2023-04-03,1520.0,1540.0,1450.0,1450.0,33333000
2023-04-04,1460.0,1475.0,1400.0,1400.0,37821300
2023-04-05,1400.0,1450.0,1385.0,1385.0,42961600
2023-04-06,1390.0,1430.0,1340.0,1415.0,51999700
2023-04-10,1415.0,1440.0,1360.0,1365.0,19592500
2023-04-11,1385.0,1385.0,1325.0,1330.0,30253200
2023-04-12,1330.0,1405.0,1330.0,1370.0,27369700
2023-04-13,1375.0,1390.0,1305.0,1390.0,50907000
2023-04-14,1390.0,1455.0,1390.0,1430.0,39935600
2023-04-17,1430.0,1475.0,1420.0,1465.0,30322200
2023-04-18,1470.0,1475.0,1430.0,1430.0,30957800
2023-04-26,1400.0,1495.0,1400.0,1410.0,35218700
2023-04-27,1410.0,1410.0,1365.0,1370.0,17790300
2023-04-28,1385.0,1385.0,1350.0,1370.0,20381100
2023-05-02,1390.0,1490.0,1390.0,1410.0,66933000
2023-05-03,1410.0,1460.0,1365.0,1455.0,35764300
2023-05-04,1455.0,1485.0,1435.0,1460.0,25336400
2023-05-05,1460.0,1480.0,1450.0,1465.0,17890900
2023-05-08,1465.0,1540.0,1455.0,1500.0,39248300
2023-05-09,1520.0,1630.0,1500.0,1595.0,65958200
2023-05-10,1595.0,1635.0,1565.0,1575.0,42558200
2023-05-11,1575.0,1700.0,1550.0,1670.0,54382100
2023-05-12,1670.0,1710.0,1665.0,1665.0,16035600
2023-05-15,1665.0,1730.0,1660.0,1730.0,14125200
2023-05-16,1730.0,1740.0,1675.0,1700.0,40477700
2023-05-17,1720.0,1775.0,1695.0,1705.0,37946600
2023-05-19,1705.0,1735.0,1670.0,1675.0,23580500
2023-05-22,1675.0,1705.0,1625.0,1655.0,28097500
2023-05-23,1655.0,1790.0,1655.0,1770.0,27497600
2023-05-24,1790.0,1790.0,1705.0,1760.0,24471200
2023-05-25,1760.0,1865.0,1750.0,1830.0,25398600
2023-05-26,1800.0,1830.0,1790.0,1830.0,9103100
2023-05-29,1830.0,1830.0,1770.0,1825.0,10735400
2023-05-30,1825.0,1845.0,1805.0,1805.0,7095600
2023-05-31,1805.0,1855.0,1755.0,1775.0,35776100
2023-06-05,1775.0,1790.0,1730.0,1770.0,24765800
2023-06-06,1775.0,1815.0,1750.0,1800.0,23240600
2023-06-07,1805.0,1925.0,1785.0,1880.0,18806900
2023-06-08,1880.0,1900.0,1850.0,1875.0,14633600
2023-06-09,1875.0,1940.0,1850.0,1900.0,13208500
2023-06-12,1900.0,1925.0,1860.0,1885.0,10560600
2023-06-13,1880.0,1885.0,1820.0,1850.0,12344000
2023-06-14,1850.0,1850.0,1800.0,1805.0,18964300
2023-06-15,1850.0,1855.0,1810.0,1815.0,15664700
2023-06-16,1815.0,1830.0,1765.0,1800.0,30639100
2023-06-19,1800.0,1805.0,1750.0,1750.0,18321000
2023-06-20,1750.0,1750.0,1655.0,1695.0,42016900
2023-06-21,1695.0,1745.0,1680.0,1740.0,32598800
2023-06-22,1750.0,1765.0,1685.0,1685.0,28869700
2023-06-23,1695.0,1715.0,1675.0,1705.0,10620000
2023-06-26,1705.0,1730.0,1690.0,1690.0,8873600
2023-06-27,1700.0,1700.0,1640.0,1690.0,21173100
2023-07-03,1690.0,1705.0,1660.0,1675.0,29520400
2023-07-04,1675.0,1740.0,1675.0,1715.0,20938600
2023-07-05,1715.0,1720.0,1680.0,1700.0,16839700
2023-07-06,1700.0,1815.0,1695.0,1810.0,38111800
2023-07-07,1810.0,1825.0,1740.0,1760.0,25692400
2023-07-10,1760.0,1780.0,1745.0,1750.0,8565700
2023-07-11,1755.0,1805.0,1710.0,1805.0,13267900
2023-07-12,1810.0,1900.0,1785.0,1860.0,34212100
2023-07-13,1870.0,1880.0,1780.0,1785.0,29451400
2023-07-14,1790.0,1820.0,1785.0,1800.0,14128400
2023-07-17,1800.0,1855.0,1800.0,1835.0,14159800
2023-07-18,1835.0,1930.0,1835.0,1900.0,39633600
2023-07-20,1920.0,1995.0,1895.0,1985.0,40515600
2023-07-21,1985.0,2050.0,1925.0,1930.0,22866300
2023-07-24,1930.0,1965.0,1850.0,1915.0,28346700
2023-07-25,1930.0,1940.0,1890.0,1910.0,17566500
2023-07-26,1960.0,1970.0,1920.0,1925.0,21509900
2023-07-27,1920.0,2020.0,1920.0,2000.0,34307800
2023-07-28,2000.0,2030.0,1970.0,2020.0,19374100
2023-07-31,2050.0,2050.0,1975.0,1980.0,42687700
2023-08-01,1990.0,2030.0,1960.0,2030.0,27317700
2023-08-02,2030.0,2030.0,1970.0,1980.0,6305300
2023-08-03,2010.0,2010.0,1925.0,1930.0,15397600
2023-08-04,1935.0,1975.0,1925.0,1945.0,19543500
2023-08-07,1950.0,1970.0,1930.0,1935.0,10586400
2023-08-08,1935.0,1955.0,1920.0,1935.0,7795200
2023-08-09,1945.0,1970.0,1930.0,1945.0,10538100
2023-08-10,1945.0,1990.0,1930.0,1970.0,17778600
2023-08-11,1970.0,2030.0,1970.0,2030.0,17560600
2023-08-14,2030.0,2070.0,2000.0,2020.0,24324900
2023-08-15,2020.0,2020.0,1985.0,1995.0,12190600
2023-08-16,1995.0,1995.0,1925.0,1940.0,25646700
2023-08-18,1945.0,1975.0,1875.0,1910.0,27694900
2023-08-21,1910.0,1910.0,1860.0,1885.0,16817500
2023-08-22,1895.0,1975.0,1895.0,1970.0,17018400
2023-08-23,1970.0,1995.0,1935.0,1995.0,16926300
2023-08-24,1995.0,2040.0,1955.0,1955.0,21960900
2023-08-25,1965.0,1995.0,1920.0,1970.0,11383400
2023-08-28,1975.0,2020.0,1945.0,2010.0,12268600
2023-08-29,2010.0,2020.0,1955.0,1960.0,7488600
2023-08-30,1965.0,1985.0,1950.0,1960.0,7660100
2023-08-31,1965.0,1975.0,1935.0,1935.0,16851200
2023-09-01,1940.0,1985.0,1940.0,1975.0,9812400
2023-09-04,1975.0,1985.0,1950.0,1980.0,2831400
2023-09-05,1990.0,1995.0,1950.0,1960.0,5086100
2023-09-06,1955.0,1955.0,1865.0,1900.0,30258800
2023-09-07,1900.0,1905.0,1815.0,1840.0,34617900
2023-09-08,1815.0,1870.0,1790.0,1840.0,31585200
2023-09-11,1850.0,1900.0,1830.0,1885.0,24728600
2023-09-12,1895.0,1900.0,1820.0,1850.0,20328400
2023-09-13,1850.0,1870.0,1830.0,1845.0,26612000
2023-09-14,1845.0,1860.0,1815.0,1825.0,20184500
2023-09-15,1835.0,1840.0,1800.0,1820.0,23397500
2023-09-18,1820.0,1820.0,1775.0,1795.0,30786400
2023-09-19,1795.0,1835.0,1790.0,1800.0,13447300
2023-09-20,1800.0,1845.0,1790.0,1825.0,23731600
2023-09-21,1825.0,1930.0,1805.0,1895.0,35359200
2023-09-22,1910.0,1915.0,1845.0,1875.0,15363300
2023-09-25,1875.0,1880.0,1815.0,1815.0,15906100
2023-09-26,1820.0,1865.0,1820.0,1850.0,20802600
