date,open,high,low,close,volume
2021-03-26,595.0,615.0,585.0,610.0,37242500
2021-03-29,620.0,625.0,595.0,600.0,21125600
2021-03-30,600.0,610.0,585.0,590.0,25173300
2021-03-31,585.0,590.0,555.0,570.0,39731300
2021-04-01,570.0,585.0,555.0,575.0,30380800
2021-04-05,585.0,590.0,575.0,575.0,29371000
2021-04-06,575.0,595.0,565.0,590.0,19027400
2021-04-07,590.0,595.0,575.0,580.0,10560900
2021-04-08,580.0,590.0,575.0,580.0,14007100
2021-04-09,590.0,610.0,585.0,605.0,34632200
2021-04-12,605.0,605.0,565.0,575.0,22352200
2021-04-13,575.0,575.0,560.0,565.0,17371600
2021-04-14,575.0,580.0,565.0,580.0,14964900
2021-04-15,595.0,600.0,575.0,580.0,22801200
2021-04-16,580.0,590.0,575.0,575.0,16677600
2021-04-19,575.0,580.0,565.0,565.0,16503300
2021-04-20,565.0,575.0,565.0,570.0,14929000
2021-04-21,565.0,570.0,555.0,555.0,20266100
2021-04-22,555.0,580.0,555.0,570.0,55682400
2021-04-23,575.0,615.0,560.0,605.0,100496700
2021-04-26,610.0,620.0,595.0,600.0,34338100
2021-04-27,600.0,605.0,580.0,585.0,37435300
2021-04-28,600.0,620.0,590.0,615.0,60294700
2021-04-29,625.0,635.0,605.0,620.0,85095200
2021-04-30,635.0,685.0,620.0,670.0,214772800
2021-05-03,670.0,690.0,660.0,685.0,98381400
2021-05-04,695.0,710.0,685.0,705.0,80866500
2021-05-05,710.0,720.0,685.0,695.0,85657000
2021-05-06,695.0,695.0,670.0,670.0,46623900
2021-05-07,670.0,705.0,670.0,690.0,55849600
2021-05-10,705.0,730.0,705.0,720.0,178640000
2021-05-11,715.0,730.0,700.0,720.0,56591800
2021-05-17,715.0,730.0,695.0,705.0,52789300
2021-05-18,715.0,770.0,715.0,760.0,169441900
2021-05-19,755.0,780.0,740.0,740.0,117013400
2021-05-20,740.0,755.0,725.0,730.0,77309800
2021-05-21,740.0,745.0,685.0,695.0,73117200
2021-05-24,700.0,725.0,655.0,675.0,87428300
2021-05-25,685.0,725.0,685.0,720.0,93843000
2021-05-27,725.0,735.0,690.0,690.0,63701500
2021-05-28,710.0,715.0,680.0,680.0,34486000
2021-05-31,690.0,700.0,685.0,690.0,22678500
2021-06-02,680.0,705.0,670.0,695.0,76209000
2021-06-03,705.0,710.0,685.0,695.0,61365700
2021-06-04,685.0,695.0,675.0,695.0,47713900
2021-06-07,700.0,705.0,680.0,680.0,34423800
2021-06-08,685.0,685.0,665.0,670.0,25056600
2021-06-09,675.0,740.0,675.0,730.0,119686200
2021-06-10,730.0,745.0,710.0,725.0,66370800
2021-06-11,735.0,755.0,720.0,735.0,52683400
2021-06-14,740.0,760.0,730.0,750.0,57010800
2021-06-15,750.0,755.0,720.0,735.0,23435900
2021-06-16,740.0,750.0,720.0,740.0,51823300
2021-06-17,730.0,740.0,710.0,720.0,21928400
2021-06-18,710.0,710.0,670.0,670.0,89011800
2021-06-21,660.0,680.0,640.0,670.0,30427100
2021-06-22,690.0,695.0,670.0,690.0,35567600
2021-06-23,680.0,690.0,670.0,675.0,16184900
2021-06-24,685.0,690.0,660.0,670.0,20169700
2021-06-25,670.0,675.0,660.0,675.0,20883400
2021-06-28,690.0,695.0,645.0,650.0,32237700
2021-06-29,645.0,660.0,610.0,645.0,50230200
2021-06-30,645.0,650.0,635.0,640.0,10333900
2021-07-01,640.0,645.0,610.0,620.0,21526800
2021-07-02,630.0,640.0,615.0,630.0,32852200
2021-07-05,635.0,640.0,610.0,615.0,12695600
2021-07-06,625.0,650.0,625.0,645.0,38660600
2021-07-07,640.0,640.0,625.0,625.0,13367100
2021-07-08,625.0,625.0,590.0,600.0,94176300
2021-07-09,595.0,605.0,585.0,595.0,45537200
2021-07-12,605.0,610.0,590.0,590.0,24149000
2021-07-13,590.0,595.0,575.0,580.0,23472500
2021-07-14,580.0,585.0,560.0,580.0,35934600
2021-07-15,575.0,580.0,560.0,570.0,33051100
2021-07-16,565.0,590.0,560.0,570.0,48855800
2021-07-19,565.0,580.0,545.0,555.0,88459100
2021-07-21,550.0,560.0,525.0,530.0,100077000
2021-07-22,540.0,555.0,530.0,540.0,69583700
2021-07-23,550.0,555.0,530.0,535.0,40864900
2021-07-26,535.0,540.0,510.0,510.0,53649400
2021-07-27,515.0,530.0,505.0,510.0,49620300
2021-07-28,515.0,520.0,505.0,510.0,18680800
2021-07-29,510.0,520.0,505.0,510.0,19065900
2021-07-30,515.0,525.0,488.0,488.0,83359800
2021-08-02,490.0,500.0,476.0,480.0,57517900
2021-08-03,480.0,486.0,462.0,468.0,121945400
2021-08-04,468.0,498.0,466.0,498.0,101394000
2021-08-05,505.0,510.0,474.0,478.0,101004100
2021-08-06,482.0,505.0,482.0,488.0,81356500
2021-08-09,488.0,494.0,478.0,478.0,41553900
2021-08-10,478.0,496.0,470.0,484.0,45827200
2021-08-12,490.0,494.0,482.0,486.0,30877200
2021-08-13,486.0,486.0,476.0,482.0,30166100
2021-08-16,482.0,484.0,458.0,462.0,76655400
2021-08-18,460.0,460.0,440.0,454.0,73008500
2021-08-19,450.0,454.0,432.0,434.0,91848800
2021-08-20,436.0,456.0,418.0,450.0,132575900
2021-08-23,450.0,515.0,448.0,515.0,321161500
2021-08-24,520.0,530.0,480.0,480.0,289581500
2021-08-25,490.0,510.0,482.0,498.0,172485800
2021-08-26,505.0,505.0,482.0,484.0,61126700
2021-08-27,482.0,486.0,458.0,464.0,100075000
2021-08-30,470.0,482.0,464.0,482.0,73507200
2021-08-31,482.0,484.0,472.0,476.0,35032200
2021-09-01,476.0,484.0,474.0,476.0,35384400
2021-09-02,476.0,498.0,476.0,492.0,100663100
2021-09-03,496.0,510.0,486.0,500.0,121029900
2021-09-06,500.0,505.0,488.0,494.0,72858500
2021-09-07,494.0,505.0,492.0,494.0,50289100
2021-09-08,494.0,496.0,480.0,480.0,62096600
2021-09-09,480.0,484.0,466.0,476.0,51540200
