date,open,high,low,close,volume
2021-03-26,1035.0,1120.0,1030.0,1115.0,6175800
2021-03-29,1115.0,1115.0,1085.0,1085.0,1816100
2021-03-30,1055.0,1105.0,1040.0,1105.0,2405000
2021-03-31,1105.0,1110.0,1055.0,1080.0,5196700
2021-04-01,1080.0,1095.0,1050.0,1085.0,2591300
2021-04-05,1085.0,1090.0,1065.0,1070.0,906300
2021-04-06,1070.0,1070.0,1050.0,1065.0,1846500
2021-04-07,1080.0,1080.0,1015.0,1020.0,10550700
2021-04-08,1025.0,1060.0,1015.0,1030.0,12223900
2021-04-09,1035.0,1050.0,1020.0,1020.0,7102000
2021-04-12,1030.0,1030.0,1000.0,1005.0,5710000
2021-04-13,1005.0,1015.0,975.0,980.0,9590300
2021-04-14,980.0,1005.0,980.0,990.0,3906900
2021-04-15,1005.0,1005.0,975.0,1000.0,4755500
2021-04-16,995.0,1000.0,975.0,995.0,8393700
2021-04-19,1010.0,1010.0,975.0,985.0,3329800
2021-04-20,985.0,990.0,980.0,980.0,762800
2021-04-21,980.0,990.0,975.0,985.0,1271000
2021-04-22,985.0,995.0,980.0,995.0,1244400
2021-04-23,995.0,995.0,975.0,985.0,2411300
2021-04-26,985.0,985.0,970.0,980.0,1405200
2021-04-27,980.0,980.0,945.0,955.0,6902500
2021-04-28,955.0,960.0,925.0,930.0,5219700
2021-04-29,930.0,945.0,925.0,940.0,5001400
2021-04-30,940.0,940.0,900.0,900.0,3154000
2021-05-03,910.0,920.0,895.0,900.0,7309400
2021-05-04,915.0,915.0,900.0,905.0,2084200
2021-05-05,900.0,915.0,900.0,910.0,1532900
2021-05-06,910.0,915.0,900.0,910.0,422200
2021-05-07,915.0,920.0,905.0,910.0,1690000
2021-05-10,915.0,915.0,900.0,910.0,1470000
2021-05-11,915.0,915.0,895.0,900.0,2095100
2021-05-17,900.0,900.0,870.0,885.0,2670600
2021-05-18,885.0,885.0,850.0,875.0,3075200
2021-05-19,875.0,880.0,860.0,870.0,1530900
2021-05-20,865.0,885.0,860.0,870.0,1267600
2021-05-21,875.0,885.0,870.0,870.0,732900
2021-05-24,870.0,880.0,865.0,865.0,1169600
2021-05-25,865.0,890.0,865.0,890.0,745900
2021-05-27,900.0,900.0,865.0,865.0,3849200
2021-05-28,865.0,880.0,865.0,865.0,1564100
2021-05-31,865.0,890.0,865.0,880.0,987000
2021-06-02,890.0,900.0,875.0,880.0,3221200
2021-06-03,880.0,900.0,880.0,895.0,5819500
2021-06-04,895.0,920.0,860.0,870.0,16585200
2021-06-07,870.0,890.0,870.0,880.0,2786800
2021-06-08,895.0,900.0,875.0,900.0,7640100
2021-06-09,910.0,910.0,875.0,880.0,3699600
2021-06-10,880.0,895.0,865.0,875.0,8399000
2021-06-11,875.0,880.0,860.0,865.0,6637000
2021-06-14,870.0,870.0,850.0,855.0,4465300
2021-06-15,855.0,860.0,835.0,835.0,4079900
2021-06-16,835.0,850.0,830.0,840.0,1562100
2021-06-17,840.0,840.0,820.0,830.0,5162000
2021-06-18,830.0,885.0,800.0,885.0,6829100
2021-06-21,875.0,875.0,825.0,860.0,5837000
2021-06-22,860.0,860.0,835.0,835.0,3409200
2021-06-23,840.0,840.0,820.0,820.0,3038900
2021-06-24,820.0,830.0,815.0,820.0,2215500
2021-06-25,815.0,820.0,810.0,815.0,1449800
2021-06-28,815.0,815.0,795.0,800.0,2258400
2021-06-29,800.0,810.0,790.0,790.0,2422700
2021-06-30,790.0,795.0,775.0,780.0,2451000
2021-07-01,775.0,795.0,775.0,780.0,1774000
2021-07-02,780.0,795.0,780.0,795.0,2613400
2021-07-05,800.0,840.0,790.0,800.0,5505100
2021-07-06,800.0,805.0,780.0,785.0,8554600
2021-07-07,790.0,800.0,785.0,800.0,1590200
2021-07-08,805.0,810.0,775.0,775.0,7453100
2021-07-09,775.0,790.0,775.0,785.0,3115300
2021-07-12,785.0,795.0,775.0,780.0,4044400
2021-07-13,780.0,785.0,760.0,765.0,5550900
2021-07-14,760.0,770.0,740.0,745.0,5137600
2021-07-15,745.0,755.0,735.0,740.0,4898700
2021-07-16,745.0,770.0,745.0,760.0,4147400
