date,open,high,low,close,volume
2021-03-26,2700.0,2720.0,2660.0,2700.0,23697000
2021-03-29,2700.0,2720.0,2680.0,2680.0,14444900
2021-03-30,2680.0,2690.0,2620.0,2630.0,29091500
2021-03-31,2620.0,2650.0,2590.0,2620.0,24382700
2021-04-01,2650.0,2670.0,2620.0,2650.0,17046300
2021-04-05,2680.0,2720.0,2520.0,2540.0,72616600
2021-04-06,2530.0,2540.0,2440.0,2520.0,48211800
2021-04-07,2540.0,2560.0,2500.0,2520.0,22051100
2021-04-08,2520.0,2550.0,2510.0,2540.0,18123700
2021-04-09,2540.0,2560.0,2530.0,2540.0,12621600
2021-04-12,2550.0,2560.0,2440.0,2460.0,30610800
2021-04-13,2460.0,2490.0,2430.0,2460.0,27946200
2021-04-14,2400.0,2430.0,2390.0,2420.0,29522000
2021-04-15,2430.0,2440.0,2360.0,2370.0,19323000
2021-04-16,2380.0,2420.0,2370.0,2380.0,20695200
2021-04-19,2390.0,2450.0,2380.0,2420.0,26395000
2021-04-20,2420.0,2440.0,2390.0,2420.0,10846000
2021-04-21,2400.0,2410.0,2380.0,2390.0,10382800
2021-04-22,2390.0,2410.0,2340.0,2360.0,13289600
2021-04-23,2360.0,2410.0,2350.0,2390.0,11052800
2021-04-26,2380.0,2440.0,2370.0,2390.0,12495000
2021-04-27,2420.0,2420.0,2370.0,2390.0,8821700
2021-04-28,2400.0,2410.0,2380.0,2400.0,6040200
2021-04-29,2420.0,2440.0,2400.0,2420.0,10663900
2021-04-30,2420.0,2430.0,2360.0,2370.0,28344800
2021-05-03,2350.0,2370.0,2280.0,2280.0,30773300
2021-05-04,2280.0,2310.0,2270.0,2300.0,19078000
2021-05-05,2300.0,2300.0,2270.0,2290.0,9690200
2021-05-06,2300.0,2330.0,2290.0,2290.0,13024900
2021-05-07,2300.0,2320.0,2280.0,2280.0,11633000
2021-05-10,2290.0,2300.0,2250.0,2280.0,18400000
2021-05-11,2280.0,2330.0,2260.0,2280.0,24415700
2021-05-17,2320.0,2330.0,2250.0,2260.0,20751000
2021-05-18,2270.0,2280.0,2230.0,2260.0,12949900
2021-05-19,2270.0,2280.0,2220.0,2230.0,17102600
2021-05-20,2230.0,2240.0,2150.0,2160.0,28546300
2021-05-21,2190.0,2210.0,2140.0,2150.0,18400400
2021-05-24,2190.0,2200.0,2120.0,2120.0,11103400
2021-05-25,2150.0,2210.0,2130.0,2190.0,16105500
2021-05-27,2190.0,2220.0,2180.0,2180.0,18092400
2021-05-28,2190.0,2210.0,2170.0,2190.0,10980900
2021-05-31,2190.0,2240.0,2190.0,2210.0,11327800
2021-06-02,2240.0,2370.0,2230.0,2350.0,64936900
2021-06-03,2350.0,2350.0,2300.0,2320.0,22029200
2021-06-04,2300.0,2320.0,2280.0,2280.0,12600600
2021-06-07,2280.0,2280.0,2220.0,2220.0,18213400
2021-06-08,2260.0,2280.0,2190.0,2190.0,30094000
2021-06-09,2200.0,2240.0,2190.0,2220.0,21115000
2021-06-10,2240.0,2250.0,2200.0,2200.0,22824900
2021-06-11,2230.0,2340.0,2190.0,2290.0,76607700
2021-06-14,2300.0,2330.0,2260.0,2290.0,21724800
2021-06-15,2290.0,2290.0,2220.0,2240.0,14850800
2021-06-16,2220.0,2280.0,2190.0,2260.0,30760900
2021-06-17,2230.0,2250.0,2200.0,2200.0,21771400
2021-06-18,2180.0,2210.0,2110.0,2120.0,37712000
2021-06-21,2100.0,2100.0,2050.0,2080.0,22927200
2021-06-22,2100.0,2120.0,2080.0,2100.0,13637600
2021-06-23,2110.0,2120.0,2050.0,2050.0,16552300
2021-06-24,2050.0,2070.0,2020.0,2030.0,14156800
2021-06-25,2040.0,2070.0,2020.0,2030.0,18516800
2021-06-28,2050.0,2070.0,2010.0,2010.0,12391800
2021-06-29,2000.0,2030.0,1995.0,2000.0,13399800
2021-06-30,2000.0,2030.0,1995.0,2000.0,18161700
2021-07-01,2030.0,2050.0,2000.0,2010.0,11926800
2021-07-02,2030.0,2120.0,2020.0,2100.0,19535700
2021-07-05,2110.0,2130.0,2040.0,2060.0,16037200
2021-07-06,2110.0,2170.0,2090.0,2150.0,24718600
2021-07-07,2130.0,2130.0,2100.0,2100.0,13590700
2021-07-08,2110.0,2120.0,2060.0,2070.0,11132900
2021-07-09,2090.0,2150.0,2060.0,2130.0,15219500
2021-07-12,2150.0,2160.0,2120.0,2120.0,12700100
2021-07-13,2120.0,2140.0,2060.0,2080.0,12721100
2021-07-14,2080.0,2120.0,2060.0,2070.0,11271500
2021-07-15,2070.0,2110.0,2070.0,2100.0,7678900
2021-07-16,2100.0,2170.0,2100.0,2130.0,27623200
2021-07-19,2140.0,2160.0,2120.0,2140.0,13533600
2021-07-21,2140.0,2170.0,2110.0,2130.0,17241000
2021-07-22,2150.0,2270.0,2140.0,2250.0,44501800
2021-07-23,2300.0,2310.0,2220.0,2220.0,32513700
2021-07-26,2220.0,2270.0,2220.0,2240.0,17187000
2021-07-27,2260.0,2270.0,2210.0,2230.0,11666700
2021-07-28,2230.0,2240.0,2180.0,2210.0,13950700
2021-07-29,2220.0,2270.0,2190.0,2240.0,20433300
2021-07-30,2230.0,2270.0,2200.0,2230.0,19335700
2021-08-02,2250.0,2270.0,2210.0,2240.0,13784600
2021-08-03,2240.0,2240.0,2210.0,2220.0,9003000
2021-08-04,2250.0,2270.0,2230.0,2260.0,15136800
2021-08-05,2270.0,2290.0,2190.0,2190.0,23635900
2021-08-06,2210.0,2240.0,2200.0,2220.0,11295600
2021-08-09,2240.0,2270.0,2200.0,2210.0,16669900
2021-08-10,2240.0,2260.0,2210.0,2250.0,15439200
2021-08-12,2270.0,2380.0,2250.0,2370.0,53808100
2021-08-13,2380.0,2390.0,2310.0,2340.0,29949200
2021-08-16,2350.0,2370.0,2320.0,2330.0,18091800
2021-08-18,2320.0,2320.0,2240.0,2250.0,34384400
2021-08-19,2250.0,2270.0,2130.0,2150.0,43424500
2021-08-20,2150.0,2170.0,2100.0,2110.0,39361100
2021-08-23,2120.0,2130.0,2080.0,2100.0,53197900
2021-08-24,2120.0,2140.0,2070.0,2080.0,35462400
