date,open,high,low,close,volume
2023-03-27,655.0,665.0,645.0,650.0,2802000
2023-03-28,650.0,665.0,645.0,655.0,2275900
2023-03-29,655.0,660.0,645.0,650.0,1657800
2023-03-30,650.0,655.0,645.0,650.0,1284000
2023-03-31,655.0,660.0,640.0,645.0,2750300
2023-04-03,645.0,685.0,645.0,680.0,15366800
2023-04-04,680.0,685.0,665.0,670.0,6101200
2023-04-05,670.0,685.0,665.0,670.0,4223200
2023-04-06,670.0,675.0,655.0,665.0,3506900
2023-04-10,665.0,675.0,650.0,660.0,5282900
2023-04-11,665.0,665.0,640.0,645.0,6044200
2023-04-12,645.0,665.0,640.0,660.0,6126900
2023-04-13,660.0,665.0,640.0,640.0,3399400
2023-04-14,645.0,645.0,600.0,610.0,16250600
2023-04-17,610.0,620.0,600.0,605.0,3393400
2023-04-18,605.0,625.0,600.0,615.0,6177200
2023-04-26,615.0,620.0,610.0,610.0,3096400
2023-04-27,610.0,630.0,610.0,625.0,2867500
2023-04-28,625.0,630.0,610.0,610.0,6298900
2023-05-02,610.0,620.0,610.0,615.0,2546100
2023-05-03,620.0,620.0,600.0,605.0,5489900
2023-05-04,610.0,620.0,605.0,610.0,2693600
2023-05-05,615.0,625.0,610.0,625.0,2276000
2023-05-08,640.0,640.0,625.0,630.0,2398400
2023-05-09,630.0,635.0,620.0,630.0,2033600
2023-05-10,630.0,650.0,625.0,625.0,10556500
2023-05-11,625.0,640.0,625.0,630.0,4795800
2023-05-12,635.0,635.0,625.0,630.0,4692700
2023-05-15,630.0,645.0,625.0,625.0,6962500
2023-05-16,625.0,630.0,610.0,610.0,8280700
2023-05-17,610.0,625.0,610.0,620.0,3162400
2023-05-19,625.0,630.0,615.0,620.0,3044200
2023-05-22,615.0,625.0,615.0,625.0,2137500
2023-05-23,625.0,630.0,620.0,625.0,3130400
2023-05-24,625.0,665.0,620.0,650.0,26619900
2023-05-25,650.0,655.0,625.0,625.0,22387600
2023-05-26,625.0,645.0,625.0,640.0,9770300
2023-05-29,645.0,645.0,625.0,630.0,11121600
2023-05-30,630.0,645.0,625.0,635.0,13265600
2023-05-31,635.0,635.0,600.0,610.0,21164900
2023-06-05,610.0,620.0,605.0,615.0,10949200
2023-06-06,590.0,590.0,560.0,570.0,15645700
2023-06-07,570.0,580.0,565.0,570.0,7475000
2023-06-08,570.0,580.0,570.0,575.0,3782600
2023-06-09,575.0,580.0,565.0,565.0,6734100
