date,open,high,low,close,volume
2023-03-27,188.0,192.0,188.0,192.0,1148500
2023-03-28,191.0,193.0,191.0,192.0,1051600
2023-03-29,193.0,195.0,192.0,194.0,2742400
2023-03-30,195.0,202.0,194.0,197.0,4511100
2023-03-31,197.0,199.0,196.0,196.0,3282700
2023-04-03,194.0,200.0,194.0,198.0,3964900
2023-04-04,199.0,199.0,194.0,195.0,1344900
2023-04-05,196.0,196.0,193.0,193.0,900900
2023-04-06,193.0,194.0,191.0,191.0,505200
2023-04-10,192.0,192.0,188.0,188.0,1592300
2023-04-11,188.0,191.0,188.0,191.0,873300
2023-04-12,192.0,192.0,189.0,190.0,363700
2023-04-13,191.0,191.0,189.0,189.0,665500
2023-04-14,190.0,190.0,188.0,188.0,430900
2023-04-17,189.0,190.0,188.0,190.0,288400
2023-04-18,191.0,192.0,189.0,189.0,155300
2023-04-26,189.0,192.0,187.0,190.0,462700
2023-04-27,190.0,191.0,189.0,190.0,185600
2023-04-28,190.0,190.0,181.0,186.0,3505200
2023-05-02,186.0,188.0,184.0,187.0,724500
2023-05-03,187.0,187.0,184.0,186.0,402700
2023-05-04,186.0,188.0,184.0,187.0,505500
2023-05-05,187.0,187.0,183.0,183.0,284200
2023-05-08,187.0,187.0,183.0,183.0,455700
2023-05-09,186.0,190.0,183.0,187.0,851500
2023-05-10,187.0,190.0,185.0,187.0,406800
2023-05-11,187.0,189.0,185.0,188.0,426500
2023-05-12,188.0,188.0,183.0,184.0,786900
2023-05-15,184.0,187.0,184.0,186.0,261600
2023-05-16,186.0,187.0,184.0,184.0,295500
2023-05-17,185.0,185.0,184.0,184.0,291000
2023-05-19,184.0,185.0,182.0,182.0,1092700
2023-05-22,182.0,186.0,181.0,184.0,778400
2023-05-23,184.0,185.0,182.0,184.0,195200
2023-05-24,184.0,187.0,184.0,186.0,532600
2023-05-25,187.0,188.0,186.0,188.0,410700
2023-05-26,188.0,188.0,182.0,185.0,766200
2023-05-29,184.0,185.0,183.0,184.0,140600
2023-05-30,185.0,185.0,183.0,183.0,264500
2023-05-31,183.0,184.0,181.0,181.0,588400
2023-06-05,184.0,185.0,182.0,184.0,283100
2023-06-06,184.0,190.0,184.0,185.0,336400
2023-06-07,185.0,188.0,182.0,185.0,787200
2023-06-08,185.0,189.0,184.0,186.0,555300
2023-06-09,186.0,188.0,186.0,187.0,299600
2023-06-12,187.0,192.0,187.0,191.0,914300
2023-06-13,191.0,192.0,188.0,190.0,1088000
2023-06-14,190.0,194.0,188.0,190.0,818800
2023-06-15,191.0,193.0,190.0,190.0,421900
2023-06-16,191.0,196.0,190.0,191.0,476400
2023-06-19,191.0,194.0,190.0,191.0,259500
2023-06-20,192.0,192.0,191.0,192.0,426000
2023-06-21,192.0,193.0,190.0,193.0,391100
2023-06-22,193.0,194.0,192.0,192.0,475600
2023-06-23,194.0,195.0,192.0,192.0,488600
2023-06-26,192.0,193.0,190.0,192.0,444300
2023-06-27,192.0,198.0,192.0,193.0,2181600
2023-07-03,193.0,195.0,192.0,192.0,665000
2023-07-04,192.0,194.0,191.0,193.0,615400
2023-07-05,193.0,194.0,191.0,193.0,307200
2023-07-06,193.0,194.0,192.0,193.0,622400
2023-07-07,193.0,193.0,192.0,192.0,333500
2023-07-10,194.0,196.0,193.0,194.0,436600
2023-07-11,195.0,196.0,194.0,195.0,475100
2023-07-12,195.0,195.0,193.0,193.0,735100
2023-07-13,194.0,194.0,193.0,194.0,156400
2023-07-14,194.0,195.0,194.0,194.0,309100
2023-07-17,194.0,196.0,194.0,195.0,233000
2023-07-18,195.0,196.0,193.0,194.0,745000
2023-07-20,195.0,195.0,193.0,194.0,288000
2023-07-21,194.0,195.0,193.0,193.0,410400
2023-07-24,193.0,196.0,193.0,194.0,551800
2023-07-25,196.0,196.0,193.0,194.0,343800
2023-07-26,194.0,195.0,194.0,194.0,532000
2023-07-27,194.0,196.0,193.0,195.0,552500
2023-07-28,195.0,198.0,193.0,198.0,1921300
2023-07-31,198.0,199.0,191.0,194.0,1359500
2023-08-01,195.0,195.0,188.0,192.0,1324500
2023-08-02,192.0,195.0,192.0,194.0,316600
2023-08-03,194.0,195.0,190.0,193.0,494300
2023-08-04,193.0,195.0,193.0,194.0,259600
2023-08-07,194.0,196.0,192.0,195.0,329200
2023-08-08,195.0,195.0,192.0,195.0,321800
2023-08-09,194.0,195.0,191.0,194.0,685100
2023-08-10,194.0,195.0,191.0,193.0,403600
2023-08-11,193.0,195.0,190.0,191.0,401100
2023-08-14,192.0,197.0,190.0,191.0,494500
2023-08-15,192.0,194.0,190.0,191.0,479100
2023-08-16,191.0,194.0,191.0,192.0,175000
2023-08-18,193.0,194.0,192.0,193.0,411400
2023-08-21,193.0,194.0,192.0,192.0,455700
2023-08-22,192.0,193.0,191.0,193.0,265600
2023-08-23,193.0,194.0,191.0,191.0,139700
2023-08-24,192.0,193.0,191.0,191.0,386400
2023-08-25,192.0,192.0,190.0,191.0,549200
2023-08-28,191.0,192.0,190.0,190.0,481000
2023-08-29,190.0,191.0,189.0,190.0,494500
2023-08-30,189.0,191.0,189.0,189.0,282800
2023-08-31,189.0,191.0,189.0,191.0,30000
2023-09-01,191.0,194.0,190.0,192.0,490500
2023-09-04,192.0,232.0,192.0,206.0,19494100
2023-09-05,206.0,212.0,198.0,200.0,4901300
2023-09-06,202.0,216.0,202.0,210.0,9746200
2023-09-07,210.0,244.0,208.0,224.0,46888600
2023-09-08,226.0,238.0,212.0,222.0,13572400
2023-09-11,224.0,276.0,222.0,276.0,54374300
2023-09-12,290.0,304.0,258.0,266.0,29379600
2023-09-13,268.0,310.0,268.0,286.0,57391900
2023-09-14,288.0,290.0,268.0,282.0,11368600
2023-09-15,288.0,332.0,286.0,318.0,47545100
