date,open,high,low,close,volume
2023-03-27,1360.0,1400.0,1350.0,1395.0,1293600
2023-03-28,1400.0,1420.0,1350.0,1390.0,1642800
2023-03-29,1400.0,1400.0,1370.0,1380.0,867900
2023-03-30,1400.0,1575.0,1395.0,1550.0,7153300
2023-03-31,1550.0,1575.0,1490.0,1515.0,1887400
2023-04-03,1515.0,1550.0,1490.0,1550.0,2051800
2023-04-04,1550.0,1625.0,1500.0,1600.0,3083200
2023-04-05,1600.0,1640.0,1530.0,1540.0,2726200
2023-04-06,1540.0,1610.0,1525.0,1600.0,1566400
2023-04-10,1605.0,1680.0,1595.0,1645.0,2500900
2023-04-11,1650.0,1680.0,1630.0,1645.0,1113300
2023-04-12,1645.0,1750.0,1620.0,1640.0,4000400
2023-04-13,1640.0,1675.0,1610.0,1615.0,1238500
2023-04-14,1615.0,1645.0,1595.0,1595.0,1246900
2023-04-17,1600.0,1675.0,1595.0,1670.0,1221700
2023-04-18,1675.0,1710.0,1635.0,1645.0,1251400
2023-04-26,1645.0,1710.0,1625.0,1650.0,4425800
2023-04-27,1650.0,1725.0,1650.0,1710.0,5961200
2023-04-28,1720.0,1750.0,1705.0,1730.0,1366600
2023-05-02,1730.0,1745.0,1675.0,1710.0,836300
2023-05-03,1720.0,1720.0,1680.0,1710.0,448300
2023-05-04,1715.0,1715.0,1650.0,1655.0,1647200
2023-05-05,1650.0,1700.0,1635.0,1645.0,3000500
2023-05-08,1655.0,1675.0,1625.0,1645.0,1341500
2023-05-09,1655.0,1695.0,1650.0,1685.0,971800
2023-05-10,1670.0,1690.0,1625.0,1650.0,1635500
2023-05-11,1650.0,1695.0,1625.0,1690.0,550000
2023-05-12,1655.0,1675.0,1605.0,1620.0,3616800
2023-05-15,1620.0,1655.0,1605.0,1630.0,556400
2023-05-16,1630.0,1635.0,1605.0,1620.0,401200
2023-05-17,1620.0,1625.0,1590.0,1605.0,1583600
2023-05-19,1600.0,1605.0,1520.0,1520.0,6814200
2023-05-22,1520.0,1600.0,1510.0,1560.0,886800
2023-05-23,1560.0,1590.0,1515.0,1525.0,1016800
2023-05-24,1540.0,1540.0,1520.0,1530.0,1055300
2023-05-25,1540.0,1580.0,1505.0,1510.0,2071100
2023-05-26,1515.0,1540.0,1515.0,1530.0,6051000
2023-05-29,1535.0,1625.0,1535.0,1610.0,9978300
2023-05-30,1610.0,1630.0,1580.0,1605.0,4995000
2023-05-31,1600.0,1665.0,1600.0,1650.0,32981300
2023-06-05,1660.0,1750.0,1640.0,1700.0,16401300
2023-06-06,1720.0,1845.0,1680.0,1785.0,36513200
2023-06-07,1785.0,1925.0,1780.0,1900.0,35890800
2023-06-08,1905.0,2090.0,1900.0,2040.0,25214600
2023-06-09,2040.0,2120.0,1995.0,2010.0,22620000
2023-06-12,2000.0,2260.0,2000.0,2210.0,23073200
2023-06-13,2220.0,2240.0,2040.0,2130.0,10618900
2023-06-14,2110.0,2170.0,1925.0,1960.0,18740800
2023-06-15,1960.0,1970.0,1890.0,1920.0,4709200
2023-06-16,1910.0,2040.0,1890.0,1970.0,10271000
2023-06-19,1970.0,2070.0,1945.0,2030.0,3628700
2023-06-20,2030.0,2070.0,1895.0,1930.0,4482600
2023-06-21,1900.0,1980.0,1895.0,1935.0,3032600
2023-06-22,1935.0,1945.0,1860.0,1920.0,2717900
2023-06-23,1920.0,1925.0,1840.0,1890.0,2459200
2023-06-26,1890.0,1890.0,1795.0,1825.0,8444000
2023-06-27,1825.0,1880.0,1825.0,1875.0,1928700
2023-07-03,1875.0,1890.0,1845.0,1865.0,1501300
2023-07-04,1880.0,1890.0,1800.0,1820.0,6908700
2023-07-05,1820.0,1840.0,1775.0,1800.0,6387000
2023-07-06,1805.0,1830.0,1750.0,1820.0,11188800
2023-07-07,1820.0,1855.0,1795.0,1825.0,8785200
2023-07-10,1835.0,1860.0,1800.0,1820.0,4513000
2023-07-11,1840.0,2050.0,1820.0,2000.0,18006300
2023-07-12,2010.0,2010.0,1910.0,1910.0,6502900
2023-07-13,1910.0,1975.0,1910.0,1940.0,4412500
2023-07-14,1945.0,1960.0,1845.0,1900.0,5063700
2023-07-17,1900.0,1920.0,1855.0,1860.0,3960500
2023-07-18,1865.0,1870.0,1820.0,1850.0,4873900
2023-07-20,1850.0,1915.0,1830.0,1895.0,6525200
2023-07-21,1895.0,1905.0,1850.0,1890.0,1878700
2023-07-24,1900.0,1915.0,1855.0,1870.0,3133900
2023-07-25,1870.0,2020.0,1870.0,1985.0,13009100
2023-07-26,1990.0,2020.0,1920.0,1950.0,15182300
2023-07-27,1950.0,1995.0,1930.0,1975.0,5570100
