date,open,high,low,close,volume
2023-03-27,392.0,400.0,392.0,396.0,917700
2023-03-28,396.0,400.0,390.0,390.0,1557700
2023-03-29,394.0,400.0,394.0,400.0,1224800
2023-03-30,400.0,404.0,398.0,400.0,769800
2023-03-31,400.0,402.0,396.0,400.0,619200
2023-04-03,400.0,400.0,386.0,398.0,1378400
2023-04-04,398.0,400.0,394.0,396.0,1129400
2023-04-05,396.0,400.0,394.0,398.0,683500
2023-04-06,400.0,400.0,396.0,396.0,366800
2023-04-10,396.0,400.0,394.0,396.0,542500
2023-04-11,396.0,398.0,394.0,396.0,553100
2023-04-12,396.0,398.0,394.0,396.0,1307200
2023-04-13,394.0,398.0,394.0,396.0,919700
2023-04-14,394.0,398.0,390.0,396.0,493400
2023-04-17,396.0,398.0,394.0,394.0,1696200
2023-04-18,394.0,398.0,394.0,398.0,647600
2023-04-26,398.0,400.0,396.0,396.0,1368600
2023-04-27,398.0,400.0,396.0,398.0,2318800
2023-04-28,396.0,404.0,394.0,398.0,5205500
2023-05-02,398.0,402.0,386.0,388.0,2708900
2023-05-03,388.0,388.0,362.0,366.0,11709000
2023-05-04,366.0,370.0,364.0,370.0,2972200
2023-05-05,370.0,370.0,362.0,368.0,5636900
2023-05-08,368.0,376.0,368.0,376.0,3714300
2023-05-09,376.0,380.0,374.0,378.0,2762700
2023-05-10,378.0,380.0,374.0,378.0,1663500
2023-05-11,378.0,378.0,370.0,370.0,1646800
2023-05-12,372.0,376.0,368.0,368.0,2241300
2023-05-15,368.0,376.0,368.0,374.0,2059600
2023-05-16,374.0,384.0,372.0,378.0,1521000
2023-05-17,378.0,378.0,372.0,376.0,1209100
2023-05-19,378.0,378.0,370.0,374.0,1023900
2023-05-22,374.0,380.0,372.0,378.0,1335700
2023-05-23,378.0,380.0,374.0,376.0,1163600
2023-05-24,376.0,382.0,374.0,376.0,2161200
2023-05-25,376.0,380.0,370.0,374.0,1822400
2023-05-26,376.0,386.0,374.0,380.0,1462300
2023-05-29,378.0,380.0,374.0,378.0,1667800
2023-05-30,380.0,382.0,376.0,378.0,1799300
2023-05-31,378.0,380.0,374.0,374.0,1191900
2023-06-05,374.0,380.0,374.0,378.0,1050200
2023-06-06,378.0,378.0,374.0,378.0,645100
2023-06-07,378.0,380.0,376.0,380.0,992300
2023-06-08,380.0,390.0,378.0,386.0,4223600
2023-06-09,388.0,398.0,388.0,396.0,2605000
2023-06-12,396.0,410.0,396.0,406.0,3808300
2023-06-13,406.0,414.0,406.0,414.0,2231900
2023-06-14,414.0,416.0,404.0,412.0,3046300
2023-06-15,412.0,412.0,404.0,408.0,1183200
2023-06-16,408.0,408.0,404.0,406.0,3189600
2023-06-19,406.0,406.0,404.0,406.0,1639000
2023-06-20,406.0,406.0,400.0,400.0,1777700
2023-06-21,400.0,404.0,400.0,400.0,927200
2023-06-22,402.0,406.0,400.0,406.0,1932200
2023-06-23,408.0,412.0,402.0,404.0,2273400
2023-06-26,404.0,406.0,402.0,404.0,1608100
2023-06-27,406.0,408.0,404.0,406.0,742900
2023-07-03,406.0,418.0,402.0,418.0,4021200
2023-07-04,424.0,426.0,418.0,420.0,8370800
2023-07-05,420.0,424.0,418.0,420.0,6076100
2023-07-06,414.0,426.0,408.0,422.0,7292400
2023-07-07,422.0,444.0,418.0,432.0,15663000
2023-07-10,432.0,438.0,428.0,434.0,5324000
2023-07-11,434.0,436.0,430.0,432.0,3691300
2023-07-12,432.0,452.0,432.0,444.0,8909100
2023-07-13,444.0,444.0,432.0,436.0,4504700
2023-07-14,436.0,436.0,432.0,434.0,2617400
2023-07-17,434.0,434.0,430.0,432.0,2886700
2023-07-18,434.0,434.0,430.0,430.0,1606300
2023-07-20,430.0,434.0,428.0,430.0,3634700
2023-07-21,430.0,440.0,430.0,436.0,4369300
2023-07-24,438.0,440.0,436.0,438.0,2139100
2023-07-25,438.0,448.0,436.0,436.0,4859100
2023-07-26,438.0,438.0,430.0,432.0,1812600
2023-07-27,434.0,436.0,430.0,434.0,2247000
2023-07-28,436.0,436.0,422.0,426.0,4286000
2023-07-31,426.0,432.0,420.0,424.0,3295500
2023-08-01,422.0,422.0,390.0,394.0,12017700
2023-08-02,394.0,398.0,390.0,396.0,3089900
2023-08-03,396.0,404.0,392.0,402.0,3315600
2023-08-04,404.0,404.0,398.0,402.0,651900
2023-08-07,402.0,406.0,400.0,404.0,2583700
2023-08-08,404.0,404.0,402.0,402.0,605500
2023-08-09,402.0,404.0,400.0,400.0,1131900
2023-08-10,398.0,404.0,398.0,404.0,903100
2023-08-11,404.0,404.0,398.0,400.0,1247700
2023-08-14,400.0,402.0,394.0,396.0,1439100
2023-08-15,396.0,396.0,392.0,394.0,2015100
2023-08-16,394.0,402.0,392.0,402.0,1662500
2023-08-18,402.0,410.0,400.0,402.0,1326100
2023-08-21,400.0,402.0,396.0,400.0,1258700
2023-08-22,400.0,400.0,396.0,398.0,649600
2023-08-23,398.0,402.0,396.0,396.0,683600
