date,open,high,low,close,volume
2023-03-27,530.0,550.0,525.0,530.0,23748200
2023-03-28,530.0,540.0,530.0,535.0,13209500
2023-03-29,540.0,540.0,525.0,525.0,36601300
2023-03-30,530.0,530.0,515.0,515.0,30081100
2023-03-31,520.0,535.0,515.0,530.0,26633300
2023-04-03,525.0,550.0,525.0,535.0,42030000
2023-04-04,535.0,540.0,520.0,525.0,26871100
2023-04-05,530.0,550.0,520.0,530.0,41845100
2023-04-06,530.0,545.0,525.0,535.0,19364400
2023-04-10,535.0,540.0,520.0,525.0,12294800
2023-04-11,525.0,565.0,525.0,565.0,71112600
2023-04-12,565.0,570.0,550.0,555.0,31491100
2023-04-13,560.0,560.0,540.0,550.0,18901500
2023-04-14,550.0,565.0,545.0,545.0,16786800
2023-04-17,545.0,550.0,530.0,540.0,18686200
2023-04-18,540.0,545.0,525.0,530.0,17487000
2023-04-26,535.0,540.0,525.0,540.0,22050900
2023-04-27,540.0,570.0,535.0,560.0,38560800
2023-04-28,565.0,570.0,540.0,560.0,33651400
2023-05-02,570.0,570.0,555.0,560.0,17306600
2023-05-03,560.0,565.0,550.0,565.0,20463100
2023-05-04,565.0,585.0,560.0,580.0,50743800
2023-05-05,585.0,585.0,565.0,580.0,35032800
2023-05-08,580.0,625.0,575.0,615.0,107696800
2023-05-09,615.0,640.0,610.0,640.0,51653600
2023-05-10,640.0,640.0,620.0,620.0,29694700
2023-05-11,620.0,650.0,610.0,640.0,64269500
2023-05-12,640.0,670.0,635.0,660.0,64349600
2023-05-15,675.0,675.0,635.0,650.0,36869100
2023-05-16,655.0,660.0,635.0,645.0,36319300
2023-05-17,640.0,650.0,635.0,645.0,9607700
2023-05-19,650.0,660.0,640.0,660.0,27166200
2023-05-22,660.0,670.0,640.0,645.0,22036500
2023-05-23,640.0,660.0,635.0,650.0,22295900
2023-05-24,650.0,660.0,645.0,655.0,24857300
2023-05-25,655.0,670.0,650.0,670.0,25129900
2023-05-26,660.0,670.0,650.0,670.0,27757100
2023-05-29,660.0,675.0,645.0,665.0,20199700
2023-05-30,665.0,665.0,650.0,650.0,14410200
2023-05-31,655.0,655.0,610.0,640.0,65579000
2023-06-05,635.0,690.0,630.0,680.0,88087900
2023-06-06,685.0,715.0,655.0,710.0,95619500
2023-06-07,710.0,725.0,695.0,725.0,80725700
2023-06-08,725.0,740.0,705.0,715.0,50364900
2023-06-09,710.0,725.0,700.0,720.0,32156500
2023-06-12,710.0,730.0,685.0,690.0,44533500
2023-06-13,690.0,695.0,665.0,685.0,55807100
2023-06-14,685.0,705.0,680.0,700.0,56704500
2023-06-15,705.0,705.0,680.0,685.0,15825600
2023-06-16,690.0,695.0,685.0,685.0,14514200
2023-06-19,690.0,700.0,680.0,700.0,21931300
2023-06-20,695.0,700.0,670.0,675.0,24032800
2023-06-21,675.0,685.0,665.0,675.0,12184900
2023-06-22,675.0,685.0,670.0,680.0,10745200
2023-06-23,680.0,680.0,665.0,670.0,25577200
2023-06-26,670.0,675.0,660.0,670.0,9015100
2023-06-27,670.0,670.0,650.0,660.0,21862700
2023-07-03,660.0,680.0,650.0,675.0,18586900
2023-07-04,675.0,680.0,655.0,660.0,28446400
2023-07-05,660.0,680.0,655.0,680.0,30211200
2023-07-06,680.0,695.0,670.0,685.0,27245400
2023-07-07,685.0,690.0,670.0,680.0,13659300
2023-07-10,680.0,710.0,675.0,700.0,71219500
2023-07-11,705.0,705.0,685.0,695.0,19993400
2023-07-12,700.0,700.0,685.0,695.0,13224400
2023-07-13,695.0,715.0,680.0,680.0,54025100
2023-07-14,680.0,710.0,680.0,710.0,56333300
2023-07-17,710.0,715.0,685.0,690.0,35045300
2023-07-18,690.0,695.0,670.0,685.0,39151200
2023-07-20,690.0,705.0,675.0,700.0,46406900
2023-07-21,700.0,705.0,685.0,700.0,28252900
2023-07-24,700.0,715.0,690.0,690.0,30416700
2023-07-25,700.0,700.0,685.0,685.0,12824400
2023-07-26,685.0,690.0,665.0,665.0,41578600
2023-07-27,670.0,670.0,650.0,665.0,46905800
2023-07-28,665.0,665.0,630.0,640.0,41363200
2023-07-31,640.0,675.0,625.0,660.0,57301100
2023-08-01,665.0,670.0,645.0,650.0,18662800
2023-08-02,655.0,660.0,640.0,645.0,18069000
2023-08-03,640.0,670.0,640.0,660.0,51525700
2023-08-04,660.0,695.0,660.0,690.0,108209300
2023-08-07,700.0,700.0,680.0,685.0,26201300
2023-08-08,690.0,695.0,685.0,690.0,12687000
2023-08-09,695.0,695.0,665.0,670.0,20905300
2023-08-10,670.0,675.0,650.0,655.0,20219700
2023-08-11,665.0,670.0,650.0,665.0,11073100
2023-08-14,665.0,670.0,650.0,665.0,11437500
2023-08-15,665.0,685.0,665.0,680.0,32765900
2023-08-16,680.0,685.0,670.0,675.0,9580500
2023-08-18,670.0,675.0,655.0,660.0,26039800
2023-08-21,660.0,660.0,645.0,650.0,17935300
2023-08-22,650.0,665.0,645.0,660.0,17353100
2023-08-23,660.0,670.0,645.0,650.0,24218100
2023-08-24,650.0,655.0,640.0,640.0,25758300
2023-08-25,640.0,650.0,635.0,640.0,13601300
2023-08-28,640.0,655.0,635.0,650.0,40699700
2023-08-29,650.0,695.0,650.0,690.0,95351900
2023-08-30,685.0,695.0,675.0,680.0,21703700
2023-08-31,685.0,685.0,660.0,675.0,22671900
2023-09-01,680.0,685.0,655.0,660.0,17219400
2023-09-04,665.0,665.0,645.0,650.0,27550600
2023-09-05,650.0,660.0,645.0,645.0,23624900
2023-09-06,645.0,655.0,625.0,635.0,80658900
2023-09-07,630.0,635.0,605.0,610.0,111791700
2023-09-08,610.0,640.0,595.0,625.0,100362600
2023-09-11,630.0,635.0,620.0,625.0,40857100
2023-09-12,630.0,635.0,620.0,630.0,26423300
2023-09-13,630.0,635.0,620.0,625.0,14626300
2023-09-14,625.0,630.0,610.0,615.0,13677400
2023-09-15,615.0,615.0,595.0,600.0,79324100
2023-09-18,600.0,605.0,595.0,595.0,25530500
2023-09-19,595.0,600.0,580.0,585.0,33708500
2023-09-20,585.0,590.0,570.0,580.0,51567100
2023-09-21,585.0,600.0,575.0,585.0,24494500
2023-09-22,585.0,605.0,585.0,600.0,27466800
