date,open,high,low,close,volume
2021-03-26,1290.0,1305.0,1260.0,1305.0,441400
2021-03-29,1325.0,1325.0,1285.0,1320.0,692700
2021-03-30,1320.0,1340.0,1280.0,1330.0,495700
2021-03-31,1330.0,1345.0,1280.0,1340.0,639500
2021-04-01,1340.0,1345.0,1300.0,1345.0,603200
2021-04-05,1345.0,1365.0,1340.0,1360.0,865200
2021-04-06,1360.0,1365.0,1330.0,1360.0,463200
2021-04-07,1365.0,1365.0,1310.0,1330.0,258800
2021-04-08,1330.0,1355.0,1330.0,1335.0,459300
2021-04-09,1345.0,1345.0,1305.0,1330.0,277800
2021-04-12,1330.0,1340.0,1295.0,1305.0,519000
2021-04-13,1350.0,1350.0,1290.0,1305.0,857000
2021-04-14,1320.0,1335.0,1285.0,1330.0,293600
2021-04-15,1350.0,1350.0,1290.0,1300.0,680300
2021-04-16,1315.0,1340.0,1295.0,1320.0,510500
2021-04-19,1335.0,1345.0,1310.0,1345.0,799400
2021-04-20,1345.0,1350.0,1315.0,1345.0,222600
2021-04-21,1350.0,1350.0,1325.0,1335.0,45000
2021-04-22,1335.0,1355.0,1315.0,1355.0,1155500
2021-04-23,1350.0,1365.0,1330.0,1360.0,586800
2021-04-26,1360.0,1365.0,1350.0,1365.0,328400
2021-04-27,1365.0,1370.0,1345.0,1365.0,201000
2021-04-28,1365.0,1370.0,1350.0,1365.0,612700
2021-04-29,1365.0,1370.0,1330.0,1350.0,203500
2021-04-30,1350.0,1350.0,1305.0,1315.0,417600
2021-05-03,1315.0,1315.0,1280.0,1290.0,454600
2021-05-04,1295.0,1295.0,1280.0,1290.0,72400
2021-05-05,1295.0,1295.0,1270.0,1280.0,313100
2021-05-06,1290.0,1295.0,1255.0,1260.0,650400
2021-05-07,1260.0,1275.0,1220.0,1225.0,1067900
2021-05-10,1225.0,1250.0,1225.0,1240.0,393100
2021-05-11,1250.0,1250.0,1230.0,1240.0,374100
2021-05-17,1240.0,1245.0,1220.0,1220.0,617500
2021-05-18,1220.0,1220.0,1205.0,1210.0,849600
2021-05-19,1210.0,1215.0,1200.0,1200.0,353000
2021-05-20,1200.0,1215.0,1190.0,1200.0,347100
2021-05-21,1200.0,1210.0,1185.0,1185.0,223100
2021-05-24,1185.0,1220.0,1185.0,1200.0,381200
2021-05-25,1200.0,1215.0,1195.0,1200.0,405100
2021-05-27,1200.0,1220.0,1185.0,1200.0,1068400
2021-05-28,1200.0,1200.0,1180.0,1180.0,636700
2021-05-31,1180.0,1220.0,1180.0,1190.0,1274400
2021-06-02,1210.0,1220.0,1185.0,1190.0,2335200
2021-06-03,1200.0,1220.0,1200.0,1215.0,965300
2021-06-04,1220.0,1250.0,1215.0,1250.0,1391500
2021-06-07,1300.0,1300.0,1250.0,1260.0,988200
2021-06-08,1255.0,1270.0,1250.0,1265.0,887000
2021-06-09,1265.0,1275.0,1265.0,1270.0,879800
2021-06-10,1270.0,1270.0,1260.0,1265.0,958300
2021-06-11,1270.0,1280.0,1260.0,1265.0,385500
2021-06-14,1265.0,1280.0,1265.0,1265.0,1020100
2021-06-15,1265.0,1285.0,1260.0,1285.0,471700
2021-06-16,1285.0,1310.0,1280.0,1290.0,796900
2021-06-17,1290.0,1310.0,1290.0,1305.0,338600
2021-06-18,1305.0,1305.0,1285.0,1295.0,2442400
2021-06-21,1295.0,1325.0,1290.0,1325.0,715500
2021-06-22,1330.0,1335.0,1325.0,1335.0,550300
2021-06-23,1335.0,1340.0,1310.0,1330.0,259100
2021-06-24,1330.0,1335.0,1310.0,1335.0,320400
2021-06-25,1335.0,1350.0,1330.0,1350.0,520100
2021-06-28,1350.0,1385.0,1350.0,1370.0,768500
2021-06-29,1365.0,1370.0,1280.0,1330.0,712400
2021-06-30,1330.0,1355.0,1330.0,1335.0,364400
2021-07-01,1335.0,1355.0,1330.0,1355.0,252500
2021-07-02,1355.0,1360.0,1350.0,1355.0,518800
2021-07-05,1355.0,1375.0,1355.0,1375.0,461100
2021-07-06,1380.0,1445.0,1375.0,1440.0,1134100
2021-07-07,1440.0,1440.0,1340.0,1370.0,328800
2021-07-08,1370.0,1380.0,1330.0,1330.0,474100
2021-07-09,1330.0,1395.0,1320.0,1365.0,486700
2021-07-12,1365.0,1395.0,1340.0,1395.0,456900
2021-07-13,1395.0,1420.0,1385.0,1420.0,745600
2021-07-14,1420.0,1425.0,1380.0,1380.0,473500
2021-07-15,1380.0,1425.0,1360.0,1360.0,314100
2021-07-16,1370.0,1370.0,1340.0,1340.0,102500
2021-07-19,1345.0,1355.0,1330.0,1330.0,203300
2021-07-21,1330.0,1350.0,1330.0,1330.0,108900
2021-07-22,1345.0,1370.0,1325.0,1370.0,1182300
2021-07-23,1370.0,1370.0,1325.0,1370.0,635600
2021-07-26,1360.0,1370.0,1320.0,1330.0,238700
2021-07-27,1330.0,1350.0,1330.0,1330.0,163300
2021-07-28,1335.0,1350.0,1330.0,1330.0,192100
2021-07-29,1330.0,1350.0,1330.0,1345.0,443900
2021-07-30,1350.0,1370.0,1330.0,1355.0,329100
2021-08-02,1365.0,1365.0,1330.0,1330.0,220500
2021-08-03,1330.0,1355.0,1330.0,1345.0,289000
2021-08-04,1340.0,1370.0,1330.0,1365.0,169600
2021-08-05,1365.0,1370.0,1345.0,1345.0,172500
2021-08-06,1345.0,1360.0,1345.0,1350.0,80300
2021-08-09,1350.0,1365.0,1335.0,1335.0,362700
2021-08-10,1335.0,1350.0,1330.0,1350.0,261000
2021-08-12,1350.0,1350.0,1340.0,1350.0,158700
2021-08-13,1355.0,1355.0,1340.0,1355.0,79800
2021-08-16,1350.0,1395.0,1345.0,1370.0,759500
2021-08-18,1370.0,1385.0,1350.0,1355.0,218100
2021-08-19,1355.0,1360.0,1340.0,1350.0,128300
2021-08-20,1350.0,1360.0,1330.0,1355.0,533200
2021-08-23,1350.0,1385.0,1350.0,1385.0,298200
2021-08-24,1385.0,1390.0,1380.0,1385.0,210000
2021-08-25,1390.0,1395.0,1380.0,1385.0,143600
2021-08-26,1385.0,1390.0,1345.0,1365.0,68200
2021-08-27,1360.0,1360.0,1325.0,1325.0,348800
2021-08-30,1330.0,1355.0,1325.0,1330.0,32400
2021-08-31,1330.0,1420.0,1330.0,1420.0,1057300
2021-09-01,1420.0,1460.0,1350.0,1355.0,449900
2021-09-02,1355.0,1365.0,1350.0,1365.0,41200
2021-09-03,1375.0,1405.0,1365.0,1385.0,109500
2021-09-06,1385.0,1400.0,1360.0,1380.0,64100
2021-09-07,1390.0,1415.0,1345.0,1390.0,180400
2021-09-08,1370.0,1385.0,1330.0,1330.0,453900
2021-09-09,1350.0,1355.0,1345.0,1355.0,112300
2021-09-10,1355.0,1370.0,1355.0,1360.0,30700
