date,open,high,low,close,volume
2021-03-26,1690.0,1775.0,1650.0,1750.0,195782600
2021-03-29,1755.0,1770.0,1630.0,1640.0,92482000
2021-03-30,1640.0,1685.0,1610.0,1650.0,60197600
2021-03-31,1635.0,1650.0,1545.0,1615.0,102857200
2021-04-01,1625.0,1640.0,1570.0,1585.0,60927500
2021-04-05,1610.0,1610.0,1495.0,1515.0,63552900
2021-04-06,1540.0,1615.0,1525.0,1610.0,96191800
2021-04-07,1625.0,1625.0,1565.0,1590.0,58218900
2021-04-08,1590.0,1640.0,1570.0,1620.0,64539500
2021-04-09,1620.0,1635.0,1575.0,1575.0,50022500
2021-04-12,1575.0,1585.0,1500.0,1515.0,46944400
2021-04-13,1520.0,1540.0,1480.0,1515.0,43490900
2021-04-14,1515.0,1565.0,1515.0,1525.0,39388200
2021-04-15,1550.0,1575.0,1530.0,1540.0,34929100
2021-04-16,1560.0,1590.0,1545.0,1565.0,46568000
2021-04-19,1565.0,1585.0,1545.0,1575.0,26059200
2021-04-20,1575.0,1580.0,1555.0,1575.0,19000900
2021-04-21,1570.0,1605.0,1550.0,1580.0,35173900
2021-04-22,1590.0,1640.0,1580.0,1605.0,69213500
2021-04-23,1615.0,1615.0,1575.0,1580.0,18181900
2021-04-26,1600.0,1630.0,1585.0,1620.0,44953800
2021-04-27,1630.0,1650.0,1585.0,1585.0,40996700
2021-04-28,1585.0,1615.0,1560.0,1600.0,42577900
2021-04-29,1650.0,1770.0,1630.0,1750.0,189205800
2021-04-30,1745.0,1745.0,1695.0,1730.0,80100900
2021-05-03,1745.0,1760.0,1715.0,1720.0,45480200
2021-05-04,1725.0,1880.0,1725.0,1840.0,152443400
2021-05-05,1850.0,1895.0,1840.0,1865.0,117170100
2021-05-06,1900.0,1925.0,1865.0,1885.0,111377500
2021-05-07,1875.0,1900.0,1785.0,1805.0,143563700
2021-05-10,1805.0,1855.0,1770.0,1825.0,98695500
2021-05-11,1825.0,1840.0,1790.0,1820.0,41543100
2021-05-17,1820.0,1840.0,1695.0,1695.0,84726800
2021-05-18,1715.0,1775.0,1700.0,1755.0,80096100
2021-05-19,1755.0,1790.0,1720.0,1730.0,45239600
2021-05-20,1700.0,1730.0,1650.0,1650.0,50950300
2021-05-21,1655.0,1665.0,1560.0,1570.0,67928800
2021-05-24,1570.0,1590.0,1495.0,1505.0,62553800
2021-05-25,1515.0,1575.0,1505.0,1515.0,62467700
2021-05-27,1525.0,1565.0,1520.0,1530.0,48384800
2021-05-28,1575.0,1610.0,1560.0,1575.0,66749200
2021-05-31,1585.0,1615.0,1585.0,1600.0,36574500
2021-06-02,1610.0,1635.0,1565.0,1625.0,66470400
2021-06-03,1650.0,1660.0,1605.0,1605.0,61569100
2021-06-04,1600.0,1600.0,1565.0,1570.0,34184500
2021-06-07,1575.0,1595.0,1555.0,1565.0,20595700
2021-06-08,1570.0,1585.0,1545.0,1550.0,20039500
2021-06-09,1580.0,1625.0,1570.0,1620.0,58703900
2021-06-10,1615.0,1620.0,1580.0,1580.0,23075700
2021-06-11,1590.0,1635.0,1590.0,1595.0,42027400
2021-06-14,1600.0,1615.0,1570.0,1575.0,18725400
2021-06-15,1570.0,1570.0,1535.0,1540.0,23980600
2021-06-16,1535.0,1550.0,1515.0,1520.0,16222200
2021-06-17,1525.0,1530.0,1500.0,1500.0,33522200
2021-06-18,1500.0,1505.0,1430.0,1505.0,37532200
2021-06-21,1485.0,1505.0,1430.0,1440.0,38755300
2021-06-22,1460.0,1525.0,1460.0,1500.0,34180700
2021-06-23,1500.0,1520.0,1450.0,1460.0,25506100
2021-06-24,1455.0,1485.0,1435.0,1450.0,12705300
2021-06-25,1460.0,1500.0,1450.0,1455.0,21491200
2021-06-28,1455.0,1470.0,1395.0,1410.0,31089000
2021-06-29,1410.0,1450.0,1385.0,1415.0,20870100
2021-06-30,1415.0,1490.0,1415.0,1490.0,41648100
2021-07-01,1490.0,1505.0,1425.0,1465.0,35423800
2021-07-02,1470.0,1470.0,1440.0,1450.0,9646500
2021-07-05,1450.0,1480.0,1440.0,1450.0,20833200
2021-07-06,1455.0,1595.0,1450.0,1580.0,102886300
2021-07-07,1560.0,1560.0,1505.0,1535.0,52535100
2021-07-08,1535.0,1625.0,1530.0,1610.0,111281300
2021-07-09,1610.0,1640.0,1575.0,1630.0,59881600
2021-07-12,1635.0,1670.0,1575.0,1575.0,41665100
2021-07-13,1590.0,1615.0,1560.0,1575.0,31009100
2021-07-14,1580.0,1630.0,1565.0,1610.0,53451800
2021-07-15,1610.0,1650.0,1605.0,1625.0,41297900
2021-07-16,1650.0,1730.0,1645.0,1695.0,95678400
2021-07-19,1720.0,1735.0,1685.0,1695.0,38884600
2021-07-21,1695.0,1705.0,1650.0,1655.0,31493600
2021-07-22,1665.0,1695.0,1655.0,1655.0,25907800
2021-07-23,1680.0,1755.0,1670.0,1730.0,96596700
2021-07-26,1750.0,1770.0,1660.0,1660.0,65110600
2021-07-27,1700.0,1745.0,1625.0,1640.0,68665000
2021-07-28,1655.0,1660.0,1585.0,1585.0,48139400
2021-07-29,1590.0,1640.0,1575.0,1635.0,37928100
2021-07-30,1635.0,1665.0,1610.0,1665.0,38339400
