date,open,high,low,close,volume
2023-03-27,6500.0,6650.0,6475.0,6550.0,1353200
2023-03-28,6550.0,6675.0,6550.0,6650.0,995000
2023-03-29,6650.0,6750.0,6625.0,6750.0,880400
2023-03-30,6775.0,6925.0,6675.0,6700.0,2610400
2023-03-31,6700.0,6725.0,6625.0,6725.0,715300
2023-04-03,6725.0,6775.0,6625.0,6650.0,1111100
2023-04-04,6650.0,6675.0,6425.0,6450.0,2424000
2023-04-05,6450.0,6475.0,6300.0,6350.0,4224000
2023-04-06,6375.0,6600.0,6350.0,6425.0,2214200
2023-04-10,6450.0,6475.0,6350.0,6400.0,1452900
2023-04-11,6400.0,6550.0,6400.0,6425.0,1859700
2023-04-12,6450.0,6550.0,6400.0,6525.0,1131700
2023-04-13,6525.0,6575.0,6450.0,6475.0,741100
2023-04-14,6500.0,6525.0,6400.0,6450.0,1178900
2023-04-17,6475.0,6550.0,6450.0,6450.0,1280700
2023-04-18,6450.0,6500.0,6425.0,6475.0,817900
2023-04-26,6475.0,6775.0,6450.0,6775.0,3867300
2023-04-27,6800.0,6825.0,6675.0,6775.0,1521000
2023-04-28,6800.0,6850.0,6750.0,6775.0,1219200
2023-05-02,6775.0,6800.0,6550.0,6600.0,2596100
2023-05-03,6150.0,6150.0,6150.0,6150.0,2298500
2023-05-04,6150.0,6150.0,5725.0,5850.0,12224800
2023-05-05,5850.0,5925.0,5750.0,5800.0,3247400
2023-05-08,5800.0,5850.0,5750.0,5825.0,1826200
2023-05-09,5825.0,6000.0,5825.0,5950.0,2246300
2023-05-10,6000.0,6075.0,5875.0,5950.0,2133100
2023-05-11,5950.0,5950.0,5825.0,5875.0,1092800
2023-05-12,5900.0,6000.0,5850.0,5900.0,812500
2023-05-15,5900.0,5950.0,5825.0,5900.0,965800
2023-05-16,5900.0,5975.0,5850.0,5850.0,1245400
2023-05-17,5850.0,5900.0,5800.0,5825.0,979700
2023-05-19,5825.0,5850.0,5675.0,5675.0,2664400
2023-05-22,5675.0,5775.0,5600.0,5750.0,1417700
2023-05-23,5775.0,6025.0,5750.0,5950.0,3770100
2023-05-24,5950.0,5975.0,5875.0,5900.0,765500
2023-05-25,5900.0,5925.0,5700.0,5725.0,3233300
2023-05-26,5800.0,5825.0,5700.0,5775.0,1095300
2023-05-29,5800.0,5850.0,5750.0,5800.0,620700
2023-05-30,5775.0,5850.0,5775.0,5800.0,606700
2023-05-31,5825.0,5825.0,5725.0,5725.0,1370000
2023-06-05,5750.0,5825.0,5725.0,5800.0,775400
2023-06-06,5875.0,5875.0,5750.0,5800.0,615500
2023-06-07,5775.0,5850.0,5775.0,5775.0,755000
2023-06-08,5825.0,6050.0,5750.0,5975.0,2735400
2023-06-09,6000.0,6150.0,5950.0,6050.0,2991900
2023-06-12,6075.0,6100.0,5975.0,5975.0,1108400
2023-06-13,6000.0,6000.0,5900.0,5950.0,638200
2023-06-14,6000.0,6250.0,5950.0,6175.0,4671100
2023-06-15,6175.0,6425.0,6150.0,6300.0,6541400
2023-06-16,6350.0,6350.0,6200.0,6300.0,3102400
2023-06-19,6275.0,6400.0,6275.0,6350.0,2667100
2023-06-20,6375.0,6375.0,6075.0,6100.0,2299400
2023-06-21,6100.0,6175.0,6100.0,6175.0,1012600
2023-06-22,6175.0,6225.0,6150.0,6150.0,794800
2023-06-23,6125.0,6350.0,6050.0,6275.0,3043300
2023-06-26,6250.0,6550.0,6250.0,6300.0,9345300
2023-06-27,6325.0,6425.0,6150.0,6175.0,3891000
2023-07-03,6200.0,6275.0,6100.0,6125.0,1477100
2023-07-04,6150.0,6225.0,6125.0,6150.0,1362800
2023-07-05,6150.0,6350.0,6150.0,6300.0,1864000
2023-07-06,6325.0,6425.0,6275.0,6425.0,3625900
