date,open,high,low,close,volume
2021-03-26,3410.0,3500.0,3390.0,3490.0,106810400
2021-03-29,3470.0,3490.0,3400.0,3410.0,72214100
2021-03-30,3420.0,3430.0,3360.0,3380.0,66491800
2021-03-31,3380.0,3420.0,3330.0,3420.0,134671900
2021-04-01,3390.0,3440.0,3380.0,3390.0,73332000
2021-04-05,3430.0,3430.0,3370.0,3380.0,36029200
2021-04-06,3400.0,3410.0,3370.0,3370.0,40566400
2021-04-07,3410.0,3430.0,3380.0,3400.0,84754300
2021-04-08,3380.0,3400.0,3380.0,3390.0,59079700
2021-04-09,3390.0,3390.0,3360.0,3360.0,56861400
2021-04-12,3340.0,3390.0,3300.0,3310.0,79003200
2021-04-13,3340.0,3340.0,3300.0,3330.0,51300200
2021-04-14,3360.0,3360.0,3320.0,3340.0,52587500
2021-04-15,3340.0,3360.0,3320.0,3360.0,65669100
2021-04-16,3370.0,3370.0,3320.0,3360.0,52517800
2021-04-19,3330.0,3360.0,3330.0,3340.0,44899700
2021-04-20,3330.0,3350.0,3300.0,3320.0,55700100
2021-04-21,3290.0,3330.0,3280.0,3280.0,47167800
2021-04-22,3290.0,3340.0,3290.0,3330.0,54970000
2021-04-23,3330.0,3330.0,3290.0,3310.0,39798400
2021-04-26,3280.0,3300.0,3250.0,3250.0,55076200
2021-04-27,3240.0,3250.0,3140.0,3160.0,166985400
2021-04-28,3160.0,3170.0,3130.0,3140.0,91596300
2021-04-29,3150.0,3210.0,3140.0,3200.0,111785100
2021-04-30,3220.0,3260.0,3200.0,3200.0,143840800
2021-05-03,3200.0,3210.0,3130.0,3170.0,124724400
2021-05-04,3180.0,3210.0,3170.0,3210.0,60180600
2021-05-05,3210.0,3210.0,3180.0,3200.0,76480300
2021-05-06,3200.0,3200.0,3150.0,3190.0,91955600
2021-05-07,3200.0,3220.0,3180.0,3190.0,98099900
2021-05-10,3190.0,3200.0,3160.0,3170.0,104121900
2021-05-11,3170.0,3200.0,3150.0,3180.0,94281900
2021-05-17,3190.0,3190.0,3150.0,3190.0,114071400
2021-05-18,3190.0,3190.0,3150.0,3180.0,77310400
2021-05-19,3150.0,3220.0,3150.0,3160.0,48958100
2021-05-20,3190.0,3320.0,3180.0,3310.0,197430900
2021-05-21,3340.0,3350.0,3270.0,3270.0,104101400
2021-05-24,3290.0,3330.0,3220.0,3260.0,64347100
2021-05-25,3290.0,3320.0,3270.0,3300.0,62218300
2021-05-27,3350.0,3400.0,3330.0,3380.0,233551300
2021-05-28,3380.0,3400.0,3260.0,3270.0,87439800
2021-05-31,3300.0,3460.0,3300.0,3440.0,155768200
2021-06-02,3490.0,3500.0,3420.0,3450.0,108933400
2021-06-03,3420.0,3490.0,3420.0,3490.0,77627900
2021-06-04,3490.0,3510.0,3450.0,3500.0,70624200
2021-06-07,3540.0,3570.0,3500.0,3550.0,124440300
2021-06-08,3550.0,3550.0,3470.0,3500.0,132409400
2021-06-09,3340.0,3400.0,3310.0,3390.0,112204200
2021-06-10,3350.0,3500.0,3340.0,3480.0,137713700
2021-06-11,3490.0,3500.0,3420.0,3470.0,82336600
2021-06-14,3460.0,3470.0,3400.0,3410.0,46016500
2021-06-15,3410.0,3440.0,3380.0,3440.0,60528600
2021-06-16,3380.0,3430.0,3380.0,3410.0,39149800
2021-06-17,3370.0,3420.0,3350.0,3350.0,50286100
2021-06-18,3350.0,3400.0,3290.0,3350.0,168414300
2021-06-21,3280.0,3340.0,3260.0,3300.0,74248200
2021-06-22,3300.0,3370.0,3290.0,3300.0,89349200
2021-06-23,3310.0,3420.0,3310.0,3370.0,81901000
2021-06-24,3330.0,3360.0,3240.0,3250.0,101334200
2021-06-25,3250.0,3300.0,3240.0,3250.0,58330700
2021-06-28,3250.0,3260.0,3170.0,3170.0,66338900
2021-06-29,3190.0,3260.0,3150.0,3160.0,123411200
2021-06-30,3150.0,3180.0,3130.0,3150.0,142204500
