date,open,high,low,close,volume
2021-03-26,1100.0,1115.0,1090.0,1105.0,22971200
2021-03-29,1105.0,1135.0,1095.0,1100.0,34606100
2021-03-30,1110.0,1110.0,1085.0,1100.0,38595900
2021-03-31,1100.0,1105.0,1060.0,1100.0,64144500
2021-04-01,1100.0,1110.0,1085.0,1100.0,26929400
2021-04-05,1100.0,1110.0,1095.0,1100.0,39987300
2021-04-06,1100.0,1110.0,1095.0,1100.0,23020000
2021-04-07,1100.0,1105.0,1085.0,1095.0,27355600
2021-04-08,1090.0,1095.0,1075.0,1085.0,26726600
2021-04-09,1085.0,1110.0,1075.0,1105.0,39610100
2021-04-12,1085.0,1100.0,1070.0,1090.0,26562700
2021-04-13,1100.0,1140.0,1080.0,1125.0,124522900
2021-04-14,1135.0,1155.0,1115.0,1140.0,110279800
2021-04-15,1120.0,1140.0,1115.0,1115.0,47501800
2021-04-16,1120.0,1150.0,1105.0,1135.0,91811500
2021-04-19,1140.0,1145.0,1100.0,1100.0,56001000
2021-04-20,1100.0,1110.0,1090.0,1100.0,32526900
2021-04-21,1095.0,1110.0,1085.0,1100.0,36333300
2021-04-22,1090.0,1115.0,1090.0,1100.0,38633700
2021-04-23,1100.0,1115.0,1090.0,1115.0,49243100
2021-04-26,1115.0,1120.0,1085.0,1100.0,51860400
2021-04-27,1105.0,1125.0,1095.0,1105.0,43247500
2021-04-28,1105.0,1120.0,1100.0,1105.0,30550200
2021-04-29,1115.0,1130.0,1100.0,1130.0,39780100
2021-04-30,1130.0,1140.0,1110.0,1140.0,43824900
2021-05-03,1145.0,1145.0,1115.0,1120.0,36638700
2021-05-04,1115.0,1125.0,1110.0,1115.0,32774700
2021-05-05,1110.0,1140.0,1090.0,1125.0,112030300
2021-05-06,1135.0,1180.0,1130.0,1170.0,154107200
2021-05-07,1180.0,1180.0,1140.0,1140.0,81788400
2021-05-10,1150.0,1200.0,1150.0,1195.0,74777400
2021-05-11,1175.0,1190.0,1155.0,1185.0,32947100
2021-05-17,1195.0,1195.0,1145.0,1145.0,66490400
2021-05-18,1135.0,1180.0,1135.0,1175.0,36562800
2021-05-19,1185.0,1185.0,1165.0,1175.0,27565200
2021-05-20,1180.0,1210.0,1165.0,1200.0,76392300
2021-05-21,1205.0,1220.0,1180.0,1205.0,45477200
2021-05-24,1215.0,1240.0,1190.0,1225.0,43516400
2021-05-25,1225.0,1225.0,1195.0,1220.0,57017000
2021-05-27,1220.0,1240.0,1200.0,1240.0,101941300
2021-05-28,1240.0,1245.0,1170.0,1175.0,62633000
2021-05-31,1175.0,1180.0,1150.0,1175.0,63069000
2021-06-02,1190.0,1210.0,1180.0,1205.0,46577700
2021-06-03,1210.0,1280.0,1210.0,1270.0,133013400
2021-06-04,1275.0,1275.0,1215.0,1260.0,62115000
2021-06-07,1260.0,1275.0,1245.0,1270.0,40515100
2021-06-08,1270.0,1270.0,1230.0,1235.0,72981200
2021-06-09,1235.0,1245.0,1215.0,1235.0,51812400
2021-06-10,1230.0,1255.0,1230.0,1245.0,40078200
2021-06-11,1245.0,1250.0,1220.0,1230.0,31838900
2021-06-14,1230.0,1240.0,1225.0,1225.0,15704700
2021-06-15,1225.0,1235.0,1215.0,1220.0,68525800
2021-06-16,1220.0,1240.0,1220.0,1220.0,49970300
2021-06-17,1210.0,1210.0,1180.0,1185.0,79313700
2021-06-18,1185.0,1220.0,1180.0,1220.0,91473300
2021-06-21,1200.0,1205.0,1150.0,1185.0,30984500
2021-06-22,1185.0,1240.0,1185.0,1205.0,39842400
