date,open,high,low,close,volume
2023-03-27,780.0,845.0,780.0,840.0,10169000
2023-03-28,840.0,860.0,815.0,850.0,4251700
2023-03-29,850.0,925.0,830.0,875.0,20627700
2023-03-30,880.0,890.0,825.0,830.0,7915900
2023-03-31,830.0,875.0,820.0,870.0,5162300
2023-04-03,870.0,870.0,845.0,850.0,2359300
2023-04-04,855.0,860.0,820.0,825.0,3719500
2023-04-05,830.0,855.0,825.0,850.0,3858000
2023-04-06,845.0,895.0,845.0,875.0,9264900
2023-04-10,885.0,920.0,850.0,855.0,10795300
2023-04-11,855.0,885.0,850.0,880.0,4211800
2023-04-12,885.0,925.0,880.0,910.0,12853100
2023-04-13,910.0,920.0,860.0,880.0,4240400
2023-04-14,880.0,895.0,865.0,870.0,2589400
2023-04-17,875.0,875.0,835.0,860.0,2009900
2023-04-18,870.0,885.0,855.0,885.0,3196500
2023-04-26,885.0,960.0,875.0,940.0,11606200
2023-04-27,940.0,995.0,940.0,990.0,12512100
2023-04-28,990.0,1120.0,970.0,1075.0,37325900
2023-05-02,1075.0,1145.0,1060.0,1070.0,10090100
2023-05-03,1070.0,1110.0,1065.0,1075.0,6621700
2023-05-04,1075.0,1220.0,1075.0,1175.0,24292500
2023-05-05,1180.0,1185.0,1120.0,1135.0,6559600
2023-05-08,1135.0,1195.0,1135.0,1160.0,8982000
2023-05-09,1160.0,1175.0,1130.0,1145.0,2717000
2023-05-10,1145.0,1275.0,1140.0,1255.0,18447900
2023-05-11,1255.0,1260.0,1170.0,1170.0,12136000
2023-05-12,1140.0,1220.0,1105.0,1170.0,8651300
2023-05-15,1185.0,1205.0,1150.0,1185.0,5226100
2023-05-16,1185.0,1210.0,1150.0,1155.0,3926700
2023-05-17,1155.0,1175.0,1145.0,1145.0,2806900
2023-05-19,1145.0,1190.0,1140.0,1155.0,3981700
2023-05-22,1190.0,1190.0,1155.0,1160.0,3218400
2023-05-23,1165.0,1240.0,1155.0,1175.0,11857100
2023-05-24,1175.0,1205.0,1170.0,1180.0,4641800
2023-05-25,1195.0,1300.0,1180.0,1240.0,16882400
2023-05-26,1240.0,1245.0,1205.0,1235.0,3804900
2023-05-29,1240.0,1350.0,1240.0,1295.0,20358600
2023-05-30,1295.0,1330.0,1285.0,1315.0,8469100
2023-05-31,1315.0,1335.0,1295.0,1310.0,5495900
2023-06-05,1315.0,1315.0,1260.0,1290.0,4417600
2023-06-06,1290.0,1300.0,1275.0,1290.0,4728600
2023-06-07,1290.0,1315.0,1280.0,1285.0,5429500
2023-06-08,1280.0,1310.0,1245.0,1255.0,10565900
2023-06-09,1200.0,1305.0,1190.0,1305.0,13159700
2023-06-12,1305.0,1430.0,1305.0,1380.0,12796100
2023-06-13,1380.0,1440.0,1380.0,1395.0,4513600
2023-06-14,1405.0,1440.0,1340.0,1345.0,6583600
2023-06-15,1350.0,1370.0,1320.0,1325.0,3820100
2023-06-16,1325.0,1345.0,1305.0,1315.0,2878000
2023-06-19,1330.0,1445.0,1330.0,1410.0,8780200
2023-06-20,1415.0,1510.0,1375.0,1485.0,10605400
2023-06-21,1485.0,1600.0,1470.0,1495.0,13668100
2023-06-22,1495.0,1525.0,1470.0,1470.0,5020700
2023-06-23,1475.0,1545.0,1470.0,1530.0,5981400
2023-06-26,1530.0,1545.0,1490.0,1490.0,6122700
2023-06-27,1500.0,1515.0,1470.0,1480.0,3947500
2023-07-03,1480.0,1550.0,1480.0,1495.0,7912000
2023-07-04,1500.0,1520.0,1480.0,1480.0,3958900
2023-07-05,1480.0,1495.0,1405.0,1420.0,19495000
2023-07-06,1370.0,1485.0,1370.0,1440.0,6436700
2023-07-07,1450.0,1450.0,1415.0,1425.0,3195000
2023-07-10,1425.0,1455.0,1420.0,1425.0,3497000
2023-07-11,1430.0,1460.0,1425.0,1455.0,3958500
2023-07-12,1460.0,1480.0,1450.0,1450.0,4742600
2023-07-13,1470.0,1480.0,1430.0,1440.0,4576600
2023-07-14,1440.0,1535.0,1440.0,1530.0,7432400
2023-07-17,1530.0,1630.0,1530.0,1560.0,8171400
2023-07-18,1545.0,1630.0,1545.0,1620.0,3516500
2023-07-20,1625.0,1680.0,1620.0,1680.0,3753000
2023-07-21,1680.0,1710.0,1625.0,1635.0,4903700
2023-07-24,1640.0,1685.0,1605.0,1685.0,2729300
2023-07-25,1685.0,1700.0,1630.0,1630.0,3579800
2023-07-26,1635.0,1695.0,1635.0,1680.0,3195700
2023-07-27,1680.0,1805.0,1670.0,1805.0,8259000
2023-07-28,1810.0,1900.0,1765.0,1870.0,14374600
2023-07-31,1880.0,1925.0,1810.0,1885.0,9664200
2023-08-01,1895.0,1925.0,1850.0,1900.0,3959000
2023-08-02,1900.0,1900.0,1715.0,1740.0,15132300
2023-08-03,1740.0,1795.0,1725.0,1765.0,4845000
2023-08-04,1775.0,1810.0,1735.0,1735.0,3615700
2023-08-07,1735.0,1790.0,1725.0,1775.0,4756500
2023-08-08,1780.0,1800.0,1750.0,1760.0,2899000
2023-08-09,1770.0,1850.0,1760.0,1850.0,6375900
2023-08-10,1850.0,1920.0,1840.0,1870.0,7753800
2023-08-11,1875.0,1960.0,1870.0,1940.0,6222600
2023-08-14,1940.0,1975.0,1655.0,1790.0,54231800
2023-08-15,1750.0,1770.0,1530.0,1770.0,76299500
2023-08-16,1770.0,1790.0,1700.0,1705.0,9243800
2023-08-18,1705.0,1730.0,1660.0,1665.0,6906000
2023-08-21,1665.0,1685.0,1630.0,1670.0,3484800
2023-08-22,1670.0,1735.0,1670.0,1725.0,5048200
2023-08-23,1725.0,1765.0,1700.0,1750.0,3555000
2023-08-24,1750.0,1825.0,1740.0,1820.0,6093800
2023-08-25,1820.0,1870.0,1800.0,1820.0,4184800
2023-08-28,1825.0,1870.0,1780.0,1855.0,3425700
2023-08-29,1875.0,1880.0,1815.0,1845.0,3392400
2023-08-30,1845.0,1865.0,1790.0,1825.0,2939800
2023-08-31,1830.0,1845.0,1795.0,1810.0,2366800
2023-09-01,1820.0,1820.0,1735.0,1760.0,7385300
2023-09-04,1760.0,1760.0,1720.0,1750.0,2404200
2023-09-05,1755.0,1765.0,1730.0,1745.0,1461300
2023-09-06,1745.0,1745.0,1720.0,1720.0,1984600
2023-09-07,1720.0,1745.0,1710.0,1710.0,2114700
2023-09-08,1715.0,1745.0,1710.0,1735.0,686300
2023-09-11,1740.0,1830.0,1710.0,1800.0,6257500
2023-09-12,1800.0,2000.0,1800.0,2000.0,14736000
2023-09-13,2010.0,2280.0,2000.0,2180.0,12804000
2023-09-14,2200.0,2300.0,2110.0,2130.0,7161800
2023-09-15,2130.0,2200.0,2100.0,2170.0,2714300
2023-09-18,2170.0,2240.0,2140.0,2230.0,5449500
2023-09-19,2230.0,2270.0,2180.0,2230.0,3639400
2023-09-20,2240.0,2390.0,2230.0,2390.0,6742300
2023-09-21,2390.0,2480.0,2350.0,2480.0,5972400
2023-09-22,2490.0,2550.0,2410.0,2500.0,4354800
2023-09-25,2520.0,2570.0,2470.0,2560.0,3211500
