date,open,high,low,close,volume
2021-03-26,1360.0,1370.0,1330.0,1350.0,85019800.0
2021-03-29,1350.0,1355.0,1260.0,1260.0,156833100.0
2021-03-30,1240.0,1260.0,1175.0,1175.0,195569800.0
2021-03-31,1140.0,1200.0,1115.0,1155.0,163815900.0
2021-04-01,1160.0,1180.0,1120.0,1130.0,53443200.0
2021-04-05,1130.0,1135.0,1055.0,1055.0,87395100.0
2021-04-06,1055.0,1105.0,985.0,1100.0,230999400.0
2021-04-07,1100.0,1100.0,1030.0,1040.0,89503800.0
2021-04-08,1040.0,1060.0,1005.0,1055.0,54144800.0
2021-04-09,1060.0,1115.0,1040.0,1050.0,98491800.0
2021-04-12,1045.0,1065.0,985.0,985.0,79846100.0
2021-04-13,985.0,1030.0,935.0,1005.0,99822600.0
2021-04-14,1025.0,1040.0,1005.0,1030.0,70490700.0
2021-04-15,1035.0,1065.0,1020.0,1020.0,43199300.0
2021-04-16,1030.0,1045.0,1015.0,1015.0,27119500.0
2021-04-19,1020.0,1090.0,1020.0,1080.0,88913100.0
2021-04-20,1080.0,1085.0,1050.0,1060.0,34441200.0
2021-04-21,1060.0,1080.0,1035.0,1065.0,26142900.0
2021-04-22,1080.0,1090.0,1050.0,1070.0,28027300.0
2021-04-23,1070.0,1080.0,1060.0,1070.0,16525500.0
2021-04-26,1080.0,1135.0,1075.0,1115.0,68672000.0
2021-04-27,1115.0,1135.0,1095.0,1120.0,33967800.0
2021-04-28,1120.0,1140.0,1105.0,1120.0,34561100.0
2021-04-29,1130.0,1155.0,1115.0,1135.0,36419200.0
2021-04-30,1135.0,1140.0,1110.0,1110.0,40385200.0
2021-05-03,1115.0,1120.0,1070.0,1085.0,47368900.0
2021-05-04,1085.0,1100.0,1035.0,1095.0,79236300.0
2021-05-05,1095.0,1105.0,1075.0,1075.0,20287800.0
2021-05-06,1075.0,1110.0,1075.0,1085.0,28002400.0
2021-05-07,1085.0,1100.0,1060.0,1070.0,17309700.0
2021-05-10,1075.0,1120.0,1070.0,1105.0,29119600.0
2021-05-11,1100.0,1100.0,1075.0,1080.0,16674200.0
2021-05-17,1080.0,1090.0,1005.0,1005.0,40098700.0
2021-05-18,1015.0,1030.0,990.0,1015.0,22126100.0
2021-05-19,1015.0,1020.0,990.0,1000.0,15700000.0
2021-05-20,1000.0,1020.0,985.0,990.0,25817100.0
2021-05-21,995.0,1000.0,930.0,945.0,40178300.0
2021-05-24,945.0,1000.0,945.0,990.0,41781200.0
2021-05-25,1000.0,1070.0,990.0,1060.0,64014800.0
2021-05-27,1095.0,1095.0,1030.0,1035.0,21355700.0
2021-05-28,1035.0,1045.0,1015.0,1025.0,14599400.0
2021-05-31,1035.0,1050.0,1015.0,1035.0,11823600.0
2021-06-02,1040.0,1090.0,1040.0,1090.0,34230600.0
2021-06-03,1090.0,1100.0,1065.0,1085.0,14144400.0
2021-06-04,1085.0,1130.0,1075.0,1080.0,29292600.0
2021-06-07,1080.0,1140.0,1080.0,1105.0,40859600.0
2021-06-08,1105.0,1120.0,1065.0,1065.0,16988400.0
2021-06-09,1055.0,1080.0,1040.0,1055.0,9638900.0
2021-06-10,1060.0,1075.0,1040.0,1050.0,15868900.0
2021-06-11,1050.0,1090.0,1045.0,1085.0,21396700.0
2021-06-14,1085.0,1100.0,1050.0,1060.0,11581700.0
2021-06-15,1060.0,1070.0,1005.0,1020.0,27627400.0
2021-06-16,1015.0,1020.0,995.0,1005.0,17822200.0
2021-06-17,1000.0,1010.0,980.0,990.0,17480400.0
2021-06-18,990.0,990.0,950.0,980.0,36045800.0
2021-06-21,950.0,970.0,930.0,955.0,29446600.0
2021-06-22,970.0,985.0,945.0,980.0,37605700.0
2021-06-23,980.0,1000.0,965.0,965.0,26786100.0
2021-06-24,965.0,965.0,935.0,935.0,19617700.0
2021-06-25,940.0,940.0,900.0,900.0,39925500.0
2021-06-28,900.0,900.0,840.0,840.0,52254500.0
2021-06-29,840.0,910.0,800.0,860.0,56032100.0
2021-06-30,860.0,885.0,845.0,880.0,25962900.0
2021-07-01,880.0,915.0,870.0,900.0,26335300.0
2021-07-02,920.0,925.0,885.0,890.0,17002500.0
2021-07-05,910.0,910.0,835.0,845.0,23958000.0
2021-07-06,835.0,860.0,830.0,855.0,16354900.0
2021-07-07,860.0,890.0,845.0,870.0,20512000.0
2021-07-08,870.0,885.0,850.0,850.0,11624800.0
2021-07-09,850.0,870.0,845.0,865.0,19886700.0
2021-07-12,865.0,885.0,860.0,870.0,23652000.0
2021-07-13,870.0,885.0,845.0,845.0,16914500.0
2021-07-14,855.0,885.0,835.0,850.0,28495400.0
2021-07-15,870.0,875.0,855.0,860.0,19378800.0
2021-07-16,860.0,875.0,860.0,865.0,12274100.0
2021-07-19,870.0,875.0,850.0,855.0,9231000.0
2021-07-21,855.0,995.0,855.0,980.0,154948100.0
2021-07-22,985.0,1025.0,965.0,970.0,73742000.0
2021-07-23,975.0,995.0,955.0,985.0,24751500.0
2021-07-26,1010.0,1010.0,955.0,960.0,19351600.0
2021-07-27,965.0,995.0,955.0,970.0,21981600.0
2021-07-28,970.0,980.0,905.0,905.0,49834200.0
2021-07-29,925.0,925.0,880.0,890.0,36317700.0
2021-07-30,890.0,895.0,875.0,875.0,16305000.0
2021-08-02,880.0,920.0,840.0,905.0,37377000.0
2021-08-03,910.0,925.0,895.0,905.0,16286900.0
2021-08-04,910.0,915.0,860.0,885.0,32550900.0
2021-08-05,900.0,910.0,870.0,890.0,20187400.0
2021-08-06,895.0,900.0,875.0,880.0,10418600.0
2021-08-09,875.0,890.0,850.0,850.0,16108900.0
2021-08-10,850.0,865.0,835.0,850.0,13018700.0
2021-08-12,865.0,890.0,850.0,885.0,15564500.0
2021-08-13,895.0,910.0,865.0,865.0,14869200.0
2021-08-16,870.0,880.0,805.0,805.0,71628600.0
2021-08-18,815.0,815.0,755.0,765.0,51803600.0
2021-08-19,765.0,775.0,720.0,730.0,39301200.0
2021-08-20,730.0,740.0,715.0,730.0,17988800.0
2021-08-23,740.0,780.0,730.0,775.0,39700500.0
2021-08-24,785.0,795.0,765.0,770.0,22351300.0
2021-08-25,780.0,810.0,775.0,790.0,32170600.0
2021-08-26,800.0,800.0,775.0,780.0,9015700.0
2021-08-27,780.0,795.0,770.0,775.0,9719400.0
2021-08-30,790.0,835.0,780.0,830.0,46050400.0
2021-08-31,830.0,845.0,810.0,835.0,15749700.0
2021-09-01,835.0,845.0,820.0,825.0,11842400.0
2021-09-02,825.0,835.0,785.0,795.0,23807700.0
2021-09-03,800.0,815.0,785.0,810.0,13135300.0
2021-09-06,820.0,895.0,810.0,890.0,90537700.0
2021-09-07,900.0,920.0,860.0,890.0,65776200.0
2021-09-08,890.0,915.0,875.0,885.0,38759200.0
2021-09-09,885.0,905.0,830.0,850.0,36119900.0
2021-09-10,885.0,885.0,845.0,855.0,18799300.0
2021-09-13,860.0,865.0,830.0,835.0,19171500.0
2021-09-14,850.0,865.0,815.0,830.0,45677600.0
2021-09-15,830.0,875.0,820.0,875.0,42067800.0
2021-09-16,875.0,885.0,845.0,845.0,32306400.0
2021-09-17,845.0,880.0,825.0,835.0,66174800.0
2021-09-20,830.0,845.0,800.0,805.0,43476500.0
2021-09-21,810.0,840.0,775.0,835.0,36956100.0
2021-09-22,835.0,845.0,825.0,830.0,15922000.0
2021-09-23,845.0,875.0,830.0,845.0,78738900.0
2021-09-24,855.0,855.0,815.0,825.0,48565600.0
2021-09-27,835.0,850.0,825.0,845.0,35028600.0
2021-09-28,845.0,850.0,830.0,835.0,20600100.0
2021-09-29,830.0,865.0,815.0,825.0,81656200.0
2021-09-30,830.0,840.0,815.0,835.0,66238300.0
2021-10-01,835.0,975.0,825.0,950.0,375723400.0
2021-10-04,965.0,995.0,950.0,960.0,156415100.0
2021-10-05,970.0,1010.0,950.0,960.0,121210400.0
2021-10-06,980.0,1020.0,965.0,1005.0,135377000.0
2021-10-07,1010.0,1040.0,990.0,990.0,97968500.0
2021-10-08,995.0,1025.0,990.0,1000.0,49702900.0
2021-10-11,1000.0,1025.0,970.0,975.0,36975300.0
2021-10-12,975.0,1040.0,970.0,1010.0,132449600.0
2021-10-13,1020.0,1025.0,995.0,1005.0,51001700.0
2021-10-14,1005.0,1065.0,1005.0,1040.0,102664200.0
2021-10-15,1040.0,1060.0,1015.0,1035.0,48169300.0
2021-10-18,1035.0,1050.0,1010.0,1015.0,61698200.0
2021-10-19,1030.0,1040.0,1015.0,1025.0,25400300.0
2021-10-21,1030.0,1040.0,970.0,970.0,89220000.0
2021-10-22,970.0,995.0,930.0,980.0,68751400.0
2021-10-25,990.0,995.0,950.0,960.0,35087300.0
2021-10-26,960.0,970.0,940.0,940.0,24572700.0
2021-10-27,940.0,955.0,915.0,915.0,36285100.0
2021-10-28,905.0,935.0,890.0,900.0,46535100.0
2021-10-29,885.0,935.0,885.0,920.0,34730000.0
2021-11-01,920.0,940.0,915.0,925.0,26045400.0
2021-11-02,935.0,935.0,900.0,905.0,17734800.0
2021-11-03,910.0,935.0,900.0,920.0,42115300.0
2021-11-04,930.0,955.0,920.0,930.0,42619500.0
2021-11-05,940.0,940.0,915.0,925.0,12564200.0
2021-11-08,915.0,935.0,910.0,915.0,18362100.0
2021-11-09,925.0,935.0,915.0,920.0,21610500.0
2021-11-10,920.0,945.0,915.0,925.0,52381600.0
2021-11-11,930.0,930.0,890.0,895.0,67458800.0
2021-11-12,895.0,900.0,835.0,840.0,176041600.0
