date,suhu_max,suhu_min,hujan,angin,suhu_range,hujan_7d,suhu_anomali,ekstrem_dingin,ekstrem_panas
2023-03-27,5.3,-0.2,0.0,27.2,5.5,,,0,0
2023-03-28,9.9,-3.5,0.2,20.7,13.4,,,0,0
2023-03-29,6.6,0.2,0.1,23.9,6.3999999999999995,,,0,0
2023-03-30,11.1,-3.4,0.0,20.1,14.5,,,0,0
2023-03-31,20.8,9.1,0.5,42.9,11.700000000000001,,,0,0
2023-04-01,16.5,2.8,10.5,40.7,13.7,,,0,0
2023-04-02,11.9,-2.7,0.0,27.8,14.600000000000001,11.3,,0,0
2023-04-03,13.6,5.2,3.8,28.1,8.399999999999999,15.100000000000001,,0,0
2023-04-04,22.3,5.2,11.8,36.5,17.1,26.700000000000003,,0,0
2023-04-05,22.8,11.8,12.8,45.1,11.0,39.400000000000006,,0,0
2023-04-06,11.2,0.2,0.0,28.3,11.0,39.400000000000006,,0,0
2023-04-07,8.8,1.9,0.0,17.7,6.9,38.900000000000006,,0,0
2023-04-08,14.5,2.1,0.0,13.6,12.4,28.400000000000002,,0,0
2023-04-09,18.3,3.5,0.0,17.3,14.8,28.400000000000002,,0,0
2023-04-10,20.0,6.0,0.0,17.2,14.0,24.6,,0,0
2023-04-11,23.5,8.8,0.0,27.2,14.7,12.8,,0,0
2023-04-12,24.9,12.9,0.0,34.0,11.999999999999998,0.0,,0,0
2023-04-13,25.6,10.9,0.0,22.7,14.700000000000001,0.0,,0,0
2023-04-14,25.5,10.1,0.0,18.8,15.4,0.0,,0,0
2023-04-15,26.4,15.9,0.4,25.5,10.499999999999998,0.4,,0,0
2023-04-16,22.8,4.8,8.3,42.1,18.0,8.700000000000001,,0,0
2023-04-17,5.8,0.0,2.7,39.5,5.8,11.400000000000002,,0,0
2023-04-18,13.6,-1.0,0.0,30.5,14.6,11.400000000000002,,0,0
2023-04-19,22.9,4.8,0.4,23.7,18.099999999999998,11.8,,0,0
2023-04-20,26.3,9.9,3.4,41.2,16.4,15.200000000000001,,0,0
2023-04-21,17.6,5.8,2.1,28.1,11.8,17.3,,0,0
2023-04-22,14.8,3.8,1.4,29.6,11.0,18.300000000000004,,0,0
2023-04-23,6.4,1.5,3.5,20.2,4.9,13.5,,0,0
2023-04-24,10.6,0.1,0.6,19.1,10.5,11.4,,0,0
2023-04-25,7.6,3.9,5.4,24.9,3.6999999999999997,16.799999999999997,-8.663333333333332,0,0
2023-04-26,7.5,2.3,0.0,16.4,5.2,16.4,-8.836666666666666,0,0
2023-04-27,17.1,0.1,0.0,19.8,17.0,13.0,0.5233333333333334,0,0
2023-04-28,11.8,7.2,0.0,17.9,4.6000000000000005,10.9,-4.949999999999999,0,0
2023-04-29,14.9,2.5,4.3,27.0,12.4,13.8,-1.9766666666666683,0,0
2023-04-30,11.4,3.2,2.7,33.6,8.2,13.0,-5.163333333333336,0,0
2023-05-01,7.2,3.7,5.5,36.5,3.5,17.9,-9.053333333333335,0,0
2023-05-02,12.0,4.3,0.5,33.2,7.7,13.0,-4.256666666666668,0,0
2023-05-03,9.4,2.6,0.0,26.7,6.800000000000001,13.0,-6.716666666666667,0,0
2023-05-04,19.5,2.1,0.0,16.0,17.4,13.0,3.4766666666666666,0,0
2023-05-05,24.1,10.3,0.0,25.2,13.8,13.0,8.033333333333335,0,0
2023-05-06,25.3,12.6,0.3,29.0,12.700000000000001,9.0,8.763333333333332,0,0
2023-05-07,26.0,14.3,0.6,28.8,11.7,6.9,8.89,0,0
2023-05-08,15.2,7.7,12.1,24.6,7.499999999999999,13.5,-1.9333333333333336,0,0
2023-05-09,15.2,7.2,0.1,22.6,7.999999999999999,13.1,-1.8299999999999983,0,0
2023-05-10,21.1,6.8,0.0,14.8,14.3,13.1,4.033333333333335,0,0
2023-05-11,25.1,11.2,0.0,18.2,13.900000000000002,13.1,7.98,0,0
2023-05-12,21.2,14.2,14.7,15.7,7.0,27.799999999999997,4.203333333333333,0,0
2023-05-13,17.0,12.9,5.3,19.3,4.1,32.8,0.28999999999999915,0,0
2023-05-14,15.0,12.4,0.0,28.6,2.5999999999999996,32.199999999999996,-1.3599999999999994,0,0
2023-05-15,14.6,8.9,0.0,24.2,5.699999999999999,20.099999999999998,-1.3666666666666671,0,0
2023-05-16,25.4,7.7,0.0,16.6,17.7,19.999999999999996,9.346666666666664,0,0
2023-05-17,14.0,7.9,0.0,25.2,6.1,19.999999999999996,-2.326666666666668,0,0
2023-05-18,20.8,6.6,0.0,18.5,14.200000000000001,19.999999999999996,4.233333333333334,0,0
2023-05-19,23.6,16.2,4.2,25.5,7.400000000000002,9.5,7.010000000000002,0,0
2023-05-20,16.9,8.6,0.0,21.9,8.299999999999999,4.2,0.6233333333333313,0,0
2023-05-21,23.7,10.6,0.0,21.4,13.1,4.2,7.219999999999999,0,0
2023-05-22,23.5,11.4,0.0,26.5,12.1,4.2,6.73,0,0
2023-05-23,26.9,14.3,0.0,23.1,12.599999999999998,4.2,9.446666666666665,0,0
2023-05-24,22.1,12.9,0.0,29.6,9.200000000000001,4.2,4.263333333333335,0,0
2023-05-25,14.1,8.4,0.0,26.9,5.699999999999999,4.2,-3.953333333333335,0,0
2023-05-26,18.0,8.2,0.0,24.2,9.8,0.0,-0.40333333333333243,0,0
2023-05-27,20.3,8.4,0.0,22.1,11.9,0.0,1.7900000000000027,0,0
2023-05-28,23.4,11.0,0.0,18.9,12.399999999999999,0.0,4.503333333333334,0,0
2023-05-29,25.0,10.9,0.0,18.0,14.1,0.0,5.766666666666666,0,0
2023-05-30,28.1,13.9,0.0,19.6,14.200000000000001,0.0,8.309999999999999,0,0
2023-05-31,31.1,16.1,3.6,19.1,15.0,3.6,10.513333333333335,0,1
2023-06-01,31.2,17.4,0.2,24.9,13.8,3.8000000000000003,9.973333333333333,0,1
2023-06-02,29.1,16.0,0.0,20.7,13.100000000000001,3.8000000000000003,7.216666666666669,0,0
2023-06-03,27.2,15.9,0.0,26.6,11.299999999999999,3.8000000000000003,5.059999999999999,0,0
2023-06-04,24.0,15.9,0.0,25.1,8.1,3.8000000000000003,1.8633333333333333,0,0
2023-06-05,26.4,11.9,0.0,18.6,14.499999999999998,3.8000000000000003,4.226666666666663,0,0
2023-06-06,23.5,14.9,0.2,26.3,8.6,4.0,1.4100000000000001,0,0
2023-06-07,20.5,13.8,0.0,26.6,6.699999999999999,0.4,-1.7666666666666657,0,0
2023-06-08,21.1,11.4,0.0,21.4,9.700000000000001,0.2,-1.3633333333333297,0,0
2023-06-09,24.1,11.2,0.0,20.0,12.900000000000002,0.2,1.5366666666666653,0,0
2023-06-10,29.9,15.2,0.0,16.1,14.7,0.2,7.176666666666662,0,1
2023-06-11,26.3,13.2,3.7,38.9,13.100000000000001,3.9000000000000004,3.40666666666667,0,0
2023-06-12,20.1,9.5,0.0,37.4,10.600000000000001,3.9000000000000004,-2.8966666666666647,0,0
2023-06-13,19.6,12.6,6.3,24.6,7.000000000000002,10.0,-3.549999999999997,0,0
2023-06-14,20.4,14.1,4.8,27.5,6.299999999999999,14.8,-2.9433333333333316,0,0
2023-06-15,28.4,13.9,0.3,29.5,14.499999999999998,15.1,4.956666666666667,0,0
2023-06-16,18.2,11.0,0.0,25.8,7.199999999999999,15.1,-5.383333333333333,0,0
2023-06-17,23.6,10.1,0.0,16.8,13.500000000000002,15.1,-0.07666666666666799,0,0
2023-06-18,27.2,14.7,0.0,24.6,12.5,11.399999999999999,3.4033333333333324,0,0
2023-06-19,26.9,17.5,0.0,25.3,9.399999999999999,11.399999999999999,2.7699999999999996,0,0
2023-06-20,24.5,14.9,0.0,27.3,9.6,5.1,0.34333333333333727,0,0
2023-06-21,27.8,15.9,0.0,27.9,11.9,0.3,3.5,0,0
2023-06-22,26.1,17.5,0.0,22.0,8.600000000000001,0.0,1.826666666666668,0,0
2023-06-23,26.3,17.0,0.0,19.1,9.3,0.0,1.8866666666666667,0,0
2023-06-24,30.0,16.4,0.0,22.0,13.600000000000001,0.0,5.056666666666668,0,1
2023-06-25,30.8,21.4,6.2,37.1,9.400000000000002,6.2,5.430000000000003,0,1
2023-06-26,25.0,19.4,3.2,27.0,5.600000000000001,9.4,-0.5266666666666637,0,0
2023-06-27,21.8,18.0,2.0,23.7,3.8000000000000007,11.4,-3.6733333333333356,0,0
2023-06-28,27.0,12.8,0.2,20.0,14.2,11.6,1.4599999999999973,0,0
2023-06-29,31.0,20.1,31.4,20.6,10.899999999999999,43.0,5.363333333333333,0,1
2023-06-30,32.2,21.1,0.2,13.7,11.100000000000001,43.2,6.526666666666667,0,1
2023-07-01,27.8,21.0,15.8,12.3,6.800000000000001,59.0,2.2399999999999984,0,0
2023-07-02,23.0,17.2,119.3,33.0,5.800000000000001,172.1,-2.356666666666669,0,0
2023-07-03,25.7,16.8,1.8,19.1,8.899999999999999,170.70000000000002,0.39333333333333087,0,0
2023-07-04,31.1,17.8,0.0,12.7,13.3,168.70000000000002,5.556666666666668,0,1
2023-07-05,31.7,21.1,2.4,17.6,10.599999999999998,170.89999999999998,5.979999999999997,0,1
2023-07-06,24.5,20.0,40.4,16.6,4.5,179.9,-1.2533333333333339,0,0
2023-07-07,24.5,17.2,0.0,14.8,7.300000000000001,179.7,-1.3866666666666667,0,0
2023-07-08,22.4,18.1,8.4,19.3,4.299999999999997,172.29999999999998,-3.530000000000001,0,0
2023-07-09,27.5,14.8,0.0,11.3,12.7,53.0,1.456666666666667,0,0
2023-07-10,29.5,16.4,0.0,21.4,13.100000000000001,51.2,3.4700000000000024,0,0
2023-07-11,30.2,20.0,11.0,21.7,10.2,62.2,4.039999999999996,0,1
2023-07-12,27.3,17.0,16.3,33.5,10.3,76.1,0.9000000000000021,0,0
2023-07-13,23.5,15.8,0.1,26.2,7.699999999999999,35.800000000000004,-3.0299999999999976,0,0
2023-07-14,31.9,19.5,0.0,23.6,12.399999999999999,35.800000000000004,4.986666666666665,0,1
2023-07-15,29.5,20.5,8.7,22.5,9.0,36.1,2.5500000000000007,0,0
2023-07-16,28.2,18.5,0.0,24.9,9.7,36.1,0.9166666666666643,0,0
2023-07-17,25.3,18.0,0.0,17.2,7.300000000000001,36.1,-2.0399999999999956,0,0
2023-07-18,24.0,15.9,0.0,15.0,8.1,25.1,-3.2333333333333343,0,0
2023-07-19,27.0,15.1,0.0,11.7,11.9,8.799999999999999,-0.23666666666666814,0,0
2023-07-20,30.6,19.4,3.4,28.1,11.200000000000003,12.1,3.16,0,1
2023-07-21,26.2,18.2,0.2,19.1,8.0,12.299999999999999,-1.1866666666666674,0,0
