date,suhu_max,suhu_min,hujan,angin,suhu_range,hujan_7d,suhu_anomali,ekstrem_dingin,ekstrem_panas
2023-03-27,14.9,5.6,0.0,15.3,9.3,,,0,0
2023-03-28,15.2,9.6,0.0,14.3,5.6,,,0,0
2023-03-29,13.9,10.6,1.8,13.9,3.3000000000000007,,,0,0
2023-03-30,13.2,10.5,1.2,14.8,2.6999999999999993,,,0,0
2023-03-31,17.0,10.6,0.0,12.8,6.4,,,0,0
2023-04-01,20.6,7.8,0.0,11.4,12.8,,,0,0
2023-04-02,19.9,11.9,0.0,16.9,7.999999999999998,3.0,,0,0
2023-04-03,17.1,14.3,7.2,41.1,2.8000000000000007,10.2,,0,0
2023-04-04,18.7,13.6,19.3,45.9,5.1,29.5,,0,0
2023-04-05,17.5,8.8,0.0,20.3,8.7,27.7,,0,0
2023-04-06,15.6,6.8,7.4,11.9,8.8,33.9,,0,0
2023-04-07,17.7,5.5,0.7,20.1,12.2,34.6,,0,0
2023-04-08,16.5,9.2,0.0,16.1,7.300000000000001,34.6,,0,0
2023-04-09,16.8,11.6,0.0,20.2,5.200000000000001,34.6,,0,0
2023-04-10,20.0,15.2,0.0,31.3,4.800000000000001,27.400000000000002,,0,0
2023-04-11,23.5,13.8,0.0,21.7,9.7,8.1,,0,0
2023-04-12,18.8,10.9,0.0,20.1,7.9,8.1,,0,0
2023-04-13,18.0,15.1,2.2,24.0,2.9000000000000004,2.9000000000000004,,0,0
2023-04-14,23.5,13.9,2.3,18.2,9.6,4.5,,0,0
2023-04-15,22.2,12.2,5.1,19.8,10.0,9.6,,0,0
2023-04-16,26.2,14.2,0.0,23.2,12.0,9.6,,0,0
2023-04-17,21.4,17.0,0.0,27.7,4.399999999999999,9.6,,0,0
2023-04-18,26.5,17.7,4.3,19.4,8.8,13.899999999999999,,0,0
2023-04-19,22.9,14.4,0.3,17.4,8.499999999999998,14.2,,0,0
2023-04-20,23.5,13.3,0.0,20.1,10.2,12.0,,0,0
2023-04-21,21.2,10.4,0.0,25.3,10.799999999999999,9.7,,0,0
2023-04-22,19.9,13.9,2.7,19.5,5.999999999999998,7.3,,0,0
2023-04-23,16.3,12.9,9.7,22.9,3.4000000000000004,17.0,,0,0
2023-04-24,16.6,10.9,2.4,26.7,5.700000000000001,19.4,,0,0
2023-04-25,16.9,11.8,0.5,15.8,5.099999999999998,15.6,-2.166666666666668,0,0
2023-04-26,20.9,12.8,0.0,19.1,8.099999999999998,15.3,1.6333333333333329,0,0
2023-04-27,19.1,15.3,0.8,24.5,3.8000000000000007,16.1,-0.2966666666666633,0,0
2023-04-28,24.5,17.9,0.0,15.9,6.600000000000001,16.1,4.75,0,0
2023-04-29,18.9,11.9,3.6,23.7,6.999999999999998,17.0,-1.0399999999999991,0,0
2023-04-30,20.8,13.0,0.0,15.1,7.800000000000001,7.300000000000002,0.7333333333333343,0,0
2023-05-01,24.5,15.0,0.0,21.8,9.5,4.900000000000002,4.303333333333331,0,0
2023-05-02,22.0,17.6,2.9,30.6,4.399999999999999,7.3000000000000025,1.7333333333333343,0,0
2023-05-03,24.0,20.0,7.4,23.3,4.0,14.700000000000003,3.5033333333333303,0,0
2023-05-04,27.0,20.8,2.1,22.7,6.199999999999999,16.000000000000004,6.226666666666667,0,0
2023-05-05,26.1,18.4,5.6,15.9,7.700000000000003,21.6,5.040000000000003,0,0
2023-05-06,22.7,14.8,14.3,19.5,7.899999999999999,32.3,1.4033333333333324,0,0
2023-05-07,19.8,14.2,0.4,28.9,5.600000000000001,32.7,-1.5666666666666664,0,0
2023-05-08,20.0,9.1,0.0,20.2,10.9,32.7,-1.4833333333333343,0,0
2023-05-09,22.1,11.5,0.0,15.1,10.600000000000001,29.8,0.4400000000000013,0,0
2023-05-10,21.5,14.9,0.7,15.3,6.6,23.1,-0.2099999999999973,0,0
2023-05-11,19.9,16.1,0.0,8.3,3.799999999999997,21.000000000000004,-1.6899999999999977,0,0
2023-05-12,22.5,14.2,0.0,11.4,8.3,15.400000000000002,0.7866666666666688,0,0
2023-05-13,25.4,17.9,0.0,17.2,7.5,1.1000000000000019,3.4399999999999977,0,0
2023-05-14,29.7,18.8,0.0,15.5,10.899999999999999,0.7000000000000017,7.533333333333331,0,0
2023-05-15,31.4,19.5,0.0,21.3,11.899999999999999,0.7000000000000017,8.926666666666666,0,0
