date,suhu_max,suhu_min,hujan,angin,evap,suhu_range,hujan_7d,hujan_30d,suhu_anomali,kekeringan,banjir
2023-03-27,30.0,23.0,7.4,11.7,3.28,7.0,,,,0,0
2023-03-28,28.2,22.4,2.9,7.7,2.28,5.800000000000001,,,,0,0
2023-03-29,32.1,22.9,19.9,11.6,4.59,9.200000000000003,,,,0,0
2023-03-30,29.6,23.0,20.7,9.4,3.34,6.600000000000001,,,,0,0
2023-03-31,30.0,22.0,15.2,14.8,3.41,8.0,,,,0,0
2023-04-01,30.5,22.3,0.9,10.0,3.94,8.2,,,,0,0
2023-04-02,31.4,23.2,13.3,10.4,4.33,8.2,80.3,,,0,0
2023-04-03,30.1,22.5,9.9,10.5,3.03,7.600000000000001,82.8,,,0,0
2023-04-04,30.2,23.5,1.2,7.6,3.77,6.699999999999999,81.10000000000001,,,0,0
2023-04-05,30.0,22.5,4.4,10.8,3.76,7.5,65.6,,,0,0
2023-04-06,30.6,22.5,19.4,12.1,3.71,8.100000000000001,64.3,,,0,0
2023-04-07,30.1,22.1,3.0,9.7,3.36,8.0,52.099999999999994,,,0,0
2023-04-08,32.2,23.2,2.5,10.5,4.48,9.000000000000004,53.7,,,0,0
2023-04-09,31.9,23.0,4.5,10.2,4.68,8.899999999999999,44.900000000000006,,,0,0
2023-04-10,32.2,22.6,4.2,8.9,4.59,9.600000000000001,39.199999999999996,,,1,0
2023-04-11,32.5,23.7,0.6,13.0,5.02,8.8,38.6,,,1,0
2023-04-12,33.0,23.9,0.6,12.6,5.28,9.100000000000001,34.800000000000004,,,1,0
2023-04-13,32.7,23.6,1.0,10.0,4.49,9.100000000000001,16.4,,,1,0
2023-04-14,32.0,23.2,10.8,8.2,4.15,8.8,24.200000000000003,,,1,0
2023-04-15,32.0,22.8,33.1,10.1,3.63,9.2,54.800000000000004,,,0,1
2023-04-16,30.9,23.5,11.0,15.3,3.23,7.399999999999999,61.300000000000004,,,0,0
2023-04-17,32.1,24.1,2.4,9.9,4.46,8.0,59.5,,,0,0
2023-04-18,32.4,22.9,11.0,9.2,4.53,9.5,69.9,,,0,0
2023-04-19,29.7,24.0,7.9,7.4,3.27,5.699999999999999,77.2,,,0,0
2023-04-20,29.9,23.9,8.2,9.2,2.85,6.0,84.4,,,0,0
2023-04-21,31.5,23.1,7.3,14.8,3.82,8.399999999999999,80.9,,,0,0
2023-04-22,31.4,23.5,7.2,8.0,3.54,7.899999999999999,55.0,,,0,0
2023-04-23,32.0,23.5,12.4,9.0,4.23,8.5,56.4,,,0,0
2023-04-24,31.5,23.5,9.3,8.5,3.43,8.0,63.300000000000004,,,0,0
2023-04-25,27.3,24.1,5.2,6.4,1.67,3.1999999999999993,57.5,257.4,-3.6999999999999993,0,0
2023-04-26,32.1,23.0,20.5,11.9,4.43,9.100000000000001,70.1,270.5,1.0300000000000011,0,0
2023-04-27,31.6,23.8,7.5,6.7,3.95,7.800000000000001,69.4,275.1,0.41666666666666785,0,0
2023-04-28,28.0,23.1,22.0,6.7,2.65,4.899999999999999,84.10000000000001,277.2,-3.0466666666666704,0,0
2023-04-29,29.8,22.6,4.1,8.8,3.22,7.199999999999999,81.0,260.6,-1.2533333333333339,0,0
2023-04-30,31.3,23.0,1.8,6.4,3.84,8.3,70.39999999999999,247.20000000000002,0.20333333333333314,0,0
2023-05-01,31.7,23.2,29.0,8.7,4.21,8.5,90.1,275.3,0.5633333333333326,0,1
2023-05-02,29.9,24.1,0.1,7.4,3.24,5.799999999999997,85.0,262.09999999999997,-1.1866666666666674,0,0
2023-05-03,32.2,23.8,1.9,9.4,4.2,8.400000000000002,66.39999999999999,254.10000000000002,1.043333333333333,0,0
2023-05-04,31.4,23.4,6.2,7.2,3.85,8.0,65.1,259.1,0.20333333333333314,0,0
