date,suhu_max,suhu_min,hujan,angin,evap,suhu_range,hujan_7d,hujan_30d,suhu_anomali,kekeringan,banjir
2023-03-27,7.4,1.1,1.4,20.9,1.86,6.300000000000001,,,,0,0
2023-03-28,8.2,-0.9,0.8,11.7,1.97,9.1,,,,0,0
2023-03-29,14.2,1.9,0.3,16.6,1.75,12.299999999999999,,,,0,0
2023-03-30,16.2,9.9,5.5,28.8,2.03,6.299999999999999,,,,0,0
2023-03-31,13.5,9.4,9.5,31.4,1.87,4.1,,,,0,1
2023-04-01,12.1,7.8,8.8,27.5,1.13,4.3,,,,0,1
2023-04-02,8.4,1.5,1.3,23.4,1.0,6.9,27.6,,,0,0
2023-04-03,7.6,-0.2,0.0,21.1,2.36,7.8,26.200000000000003,,,0,0
2023-04-04,8.1,-2.0,0.0,13.9,2.28,10.1,25.400000000000002,,,0,0
2023-04-05,8.9,-2.8,0.0,9.7,2.46,11.7,25.1,,,0,0
2023-04-06,12.9,-2.2,3.0,14.8,2.51,15.100000000000001,22.6,,,0,0
2023-04-07,9.6,4.9,3.1,9.8,0.89,4.699999999999999,16.2,,,0,0
2023-04-08,11.6,1.4,0.2,13.2,1.42,10.2,7.6,,,0,0
2023-04-09,13.7,2.0,0.1,10.8,2.22,11.7,6.4,,,0,0
2023-04-10,17.2,2.2,3.1,18.9,3.12,15.0,9.5,,,0,0
2023-04-11,13.7,7.6,3.5,22.7,2.74,6.1,13.0,,,0,0
2023-04-12,12.6,6.4,11.9,23.2,0.92,6.199999999999999,24.9,,,0,1
2023-04-13,11.4,3.2,5.4,27.0,1.64,8.2,27.3,,,0,0
2023-04-14,14.1,0.9,0.2,9.7,2.84,13.2,24.4,,,0,0
2023-04-15,11.4,2.8,3.7,17.1,1.27,8.600000000000001,27.9,,,0,0
2023-04-16,11.1,7.9,1.5,16.8,0.94,3.1999999999999993,29.300000000000004,,,0,0
2023-04-17,13.1,5.3,1.8,20.5,2.09,7.8,28.0,,,0,0
2023-04-18,14.8,5.2,0.2,22.0,2.4,9.600000000000001,24.700000000000003,,,0,0
2023-04-19,13.8,4.8,0.0,23.4,3.01,9.0,12.8,,,0,0
2023-04-20,12.1,4.4,12.9,18.9,1.97,7.699999999999999,20.3,,,0,1
2023-04-21,17.8,4.9,0.9,13.3,2.17,12.9,21.0,,,0,0
2023-04-22,21.2,8.0,1.5,19.7,3.17,13.2,18.799999999999997,,,0,0
2023-04-23,17.8,10.4,4.2,18.2,3.0,7.4,21.5,,,0,0
2023-04-24,12.8,7.4,1.9,27.4,2.39,5.4,21.6,,,0,0
2023-04-25,11.4,3.1,1.0,15.3,2.33,8.3,22.4,87.7,-1.2233333333333327,0,0
2023-04-26,11.7,0.9,0.2,10.6,2.32,10.799999999999999,22.599999999999998,86.5,-1.0666666666666682,0,0
2023-04-27,15.1,2.6,0.1,10.2,3.02,12.5,9.799999999999999,85.8,2.1033333333333335,0,0
2023-04-28,17.0,9.1,2.5,13.7,1.81,7.9,11.399999999999999,88.0,3.91,0,0
2023-04-29,14.7,9.1,0.7,12.3,1.97,5.6,10.6,83.2,1.6600000000000001,0,0
2023-04-30,17.5,6.8,0.0,14.9,3.22,10.7,6.3999999999999995,73.7,4.326666666666666,0,0
2023-05-01,17.9,7.6,0.1,12.0,3.18,10.299999999999999,4.6000000000000005,65.0,4.533333333333331,0,0
2023-05-02,16.3,6.2,0.7,16.4,2.96,10.100000000000001,4.3,64.4,2.6700000000000017,0,0
2023-05-03,16.6,4.0,0.0,13.3,3.61,12.600000000000001,4.1,64.4,2.6700000000000017,0,0
2023-05-04,21.5,5.8,0.0,12.4,4.03,15.7,4.0,64.4,7.123333333333333,0,0
2023-05-05,22.0,10.1,0.8,14.0,3.48,11.9,2.3,65.2,7.186666666666667,1,0
2023-05-06,20.4,9.7,0.3,7.2,3.39,10.7,1.9,62.5,5.336666666666666,1,0
2023-05-07,23.0,11.8,6.1,12.8,3.64,11.2,8.0,65.5,7.490000000000002,0,0
2023-05-08,18.8,11.9,5.4,12.2,1.88,6.9,13.3,70.69999999999999,3.0500000000000007,0,0
2023-05-09,20.5,11.6,13.4,11.5,2.14,8.9,26.0,84.0,4.523333333333333,0,1
2023-05-10,17.0,10.1,2.8,15.2,2.45,6.9,28.8,83.7,1.0300000000000011,0,0
2023-05-11,15.9,8.6,12.8,7.5,1.68,7.300000000000001,41.6,93.0,-0.14333333333333265,0,1
2023-05-12,17.0,11.1,3.7,17.3,2.15,5.9,44.50000000000001,84.8,0.8099999999999987,0,0
2023-05-13,18.3,9.8,2.3,17.2,3.27,8.5,46.5,81.69999999999999,1.8800000000000026,0,0
2023-05-14,19.2,8.9,0.3,12.5,3.71,10.299999999999999,40.7,81.80000000000001,2.6099999999999994,0,0
2023-05-15,19.2,8.7,0.6,15.8,4.0,10.5,35.9,78.7,2.349999999999998,0,0
2023-05-16,15.3,7.9,0.2,21.6,2.62,7.4,22.700000000000003,77.4,-1.6900000000000013,0,0
2023-05-17,15.4,5.8,0.3,16.8,3.32,9.600000000000001,20.2,75.9,-1.666666666666666,0,0
2023-05-18,17.4,5.2,0.0,20.0,3.93,12.2,7.4,75.7,0.24666666666666615,0,0
2023-05-19,18.6,7.4,0.0,18.0,3.62,11.200000000000001,3.6999999999999997,75.7,1.2866666666666688,0,0
2023-05-20,19.8,11.2,0.0,22.9,3.56,8.600000000000001,1.4,62.8,2.2300000000000004,1,0
2023-05-21,26.0,14.5,0.0,16.8,4.78,11.5,1.0999999999999999,61.9,8.15666666666667,1,0
2023-05-22,26.0,14.2,1.7,16.6,4.38,11.8,2.2,62.1,7.99666666666667,1,0
2023-05-23,19.5,11.8,0.6,20.1,3.25,7.699999999999999,2.5999999999999996,58.50000000000001,1.4400000000000013,0,0
2023-05-24,14.9,7.5,0.0,16.1,3.44,7.4,2.3,56.6,-3.230000000000002,1,0
2023-05-25,20.0,7.7,0.0,19.6,4.69,12.3,2.3,55.6,1.5833333333333321,1,0
2023-05-26,21.0,9.6,0.0,21.3,5.1,11.4,2.3,55.400000000000006,2.27333333333333,1,0
2023-05-27,23.0,9.6,0.0,17.2,5.3,13.4,2.3,55.300000000000004,4.009999999999998,1,0
2023-05-28,24.2,10.4,0.0,17.9,5.69,13.799999999999999,2.3,52.800000000000004,4.969999999999999,1,0
2023-05-29,24.6,12.8,0.0,25.1,6.14,11.8,0.6,52.1,5.040000000000003,1,0
2023-05-30,22.1,11.4,0.0,20.0,5.95,10.700000000000001,0.0,52.1,2.3866666666666703,1,0
2023-05-31,25.5,12.4,0.0,19.4,6.59,13.1,0.0,52.00000000000001,5.533333333333335,1,0
2023-06-01,26.3,13.6,0.0,20.6,6.08,12.700000000000001,0.0,51.300000000000004,6.0,1,0
2023-06-02,20.6,10.5,0.0,19.1,5.32,10.100000000000001,0.0,51.300000000000004,0.16666666666666785,1,0
2023-06-03,24.2,11.6,0.0,20.8,5.96,12.6,0.0,51.300000000000004,3.676666666666666,1,0
2023-06-04,24.3,11.6,0.0,17.9,6.58,12.700000000000001,0.0,50.50000000000001,3.6999999999999993,1,0
2023-06-05,26.0,12.9,0.0,17.7,6.77,13.1,0.0,50.2,5.213333333333331,1,0
2023-06-06,25.1,13.1,0.0,16.1,5.62,12.000000000000002,0.0,44.1,4.243333333333332,1,0
2023-06-07,24.2,13.6,0.6,16.6,4.45,10.6,0.6,39.3,3.163333333333334,1,0
2023-06-08,25.5,14.6,7.3,21.9,4.96,10.9,7.8999999999999995,33.2,4.29666666666667,0,1
2023-06-09,28.5,14.3,0.0,20.1,6.27,14.2,7.8999999999999995,30.4,6.9133333333333375,0,0
2023-06-10,29.0,16.5,0.0,17.8,6.42,12.5,7.8999999999999995,17.6,6.97666666666667,0,0
2023-06-11,29.5,17.5,0.0,17.5,6.71,12.0,7.8999999999999995,13.9,7.060000000000002,0,0
2023-06-12,28.8,15.9,0.0,16.6,6.62,12.9,7.8999999999999995,11.6,6.009999999999998,0,0
2023-06-13,27.0,14.6,0.0,17.6,6.68,12.4,7.8999999999999995,11.299999999999999,3.9499999999999993,0,0
2023-06-14,24.2,14.9,0.0,17.6,5.79,9.299999999999999,7.3,10.7,0.9833333333333343,0,0
2023-06-15,25.9,14.0,0.0,13.4,5.84,11.899999999999999,0.0,10.5,2.3299999999999983,1,0
2023-06-16,26.2,13.9,0.0,18.4,5.64,12.299999999999999,0.0,10.2,2.2699999999999996,1,0
2023-06-17,28.4,13.2,0.0,14.1,5.73,15.2,0.0,10.2,4.103333333333332,1,0
2023-06-18,31.0,14.3,0.0,10.2,6.08,16.7,0.0,10.2,6.290000000000003,1,0
2023-06-19,28.7,20.5,0.0,18.0,5.34,8.2,0.0,10.2,3.6933333333333316,1,0
2023-06-20,31.0,19.6,6.1,18.4,5.11,11.399999999999999,6.1,16.299999999999997,5.826666666666664,0,0
2023-06-21,29.1,18.7,0.7,15.6,4.73,10.400000000000002,6.8,15.299999999999999,3.823333333333334,0,0
2023-06-22,31.8,20.0,5.2,26.6,5.7,11.8,12.0,19.9,6.113333333333333,0,0
2023-06-23,25.6,17.9,0.0,27.1,5.39,7.700000000000003,12.0,19.9,-0.4433333333333316,0,0
2023-06-24,28.0,14.4,0.0,9.8,4.99,13.6,12.0,19.9,1.6900000000000013,0,0
2023-06-25,30.6,16.5,0.0,8.8,6.16,14.100000000000001,12.0,19.9,3.9700000000000024,0,0
2023-06-26,29.1,16.4,0.0,22.2,6.31,12.700000000000003,12.0,19.9,2.2666666666666693,0,0
2023-06-27,23.8,15.8,0.1,15.2,4.49,8.0,6.0,20.0,-3.0199999999999996,0,0
2023-06-28,23.8,15.2,0.0,7.6,3.16,8.600000000000001,5.3,20.0,-2.9933333333333323,0,0
2023-06-29,26.6,15.3,0.0,8.3,3.87,11.3,0.1,20.0,-0.34333333333333016,1,0
2023-06-30,23.9,14.1,5.8,15.8,3.42,9.799999999999999,5.8999999999999995,25.8,-2.990000000000002,0,0
2023-07-01,21.9,12.2,0.8,28.0,3.01,9.7,6.699999999999999,26.6,-4.843333333333337,0,0
2023-07-02,23.3,13.9,0.2,22.1,4.74,9.4,6.8999999999999995,26.8,-3.5333333333333314,0,0
2023-07-03,23.4,15.4,0.0,25.2,5.09,7.999999999999998,6.8999999999999995,26.8,-3.4066666666666663,0,0
2023-07-04,25.6,14.0,0.1,17.2,5.47,11.600000000000001,6.8999999999999995,26.9,-1.25,0,0
2023-07-05,21.9,14.2,22.4,29.3,4.87,7.699999999999999,29.299999999999997,49.3,-4.813333333333333,0,1
2023-07-06,25.0,11.9,0.0,12.5,5.36,13.1,29.299999999999997,49.3,-1.7099999999999973,0,0
2023-07-07,30.6,12.9,0.0,10.2,5.86,17.700000000000003,23.499999999999996,48.699999999999996,3.676666666666666,0,0
2023-07-08,33.0,17.0,0.1,13.7,6.16,16.0,22.799999999999997,41.5,5.826666666666664,0,0
2023-07-09,35.0,17.9,0.0,11.8,5.77,17.1,22.599999999999998,41.5,7.609999999999999,0,0
2023-07-10,29.0,20.3,0.2,14.8,5.69,8.7,22.799999999999997,41.699999999999996,1.6099999999999994,0,0
2023-07-11,33.9,17.4,0.9,16.9,6.32,16.5,23.599999999999998,42.6,6.36333333333333,0,0
2023-07-12,27.9,19.5,2.8,22.5,5.96,8.399999999999999,4.0,45.4,0.39333333333333087,0,0
2023-07-13,24.9,15.4,0.0,20.5,5.1,9.499999999999998,4.0,45.4,-2.536666666666669,0,0
2023-07-14,28.5,14.1,0.0,11.5,4.98,14.4,4.0,45.4,0.9199999999999982,0,0
2023-07-15,32.0,17.4,5.5,20.1,4.66,14.600000000000001,9.4,50.9,4.216666666666665,0,0
2023-07-16,25.6,17.8,0.2,25.0,6.0,7.800000000000001,9.6,51.1,-2.163333333333334,0,0
2023-07-17,25.8,15.5,0.2,19.2,5.31,10.3,9.600000000000001,51.3,-1.8766666666666687,0,0
2023-07-18,27.5,12.9,0.0,7.7,5.13,14.6,8.700000000000001,51.3,-0.060000000000002274,0,0
2023-07-19,29.6,16.3,0.1,17.9,5.65,13.3,6.0,51.4,2.0100000000000016,0,0
2023-07-20,24.8,14.8,0.0,12.6,4.72,10.0,6.0,45.3,-2.583333333333332,0,0
2023-07-21,22.1,15.6,4.0,14.2,3.14,6.500000000000002,10.0,48.599999999999994,-5.049999999999997,0,0
2023-07-22,25.2,11.6,0.3,20.0,4.63,13.6,4.8,43.699999999999996,-1.730000000000004,0,0
