date,suhu_max,suhu_min,hujan,angin,suhu_range,hujan_7d,suhu_anomali,ekstrem_dingin,ekstrem_panas
2023-03-27,9.4,0.2,0.3,18.2,9.200000000000001,,,0,0
2023-03-28,9.6,-2.7,0.0,20.4,12.3,,,0,0
2023-03-29,7.7,3.1,2.8,29.1,4.6,,,0,0
2023-03-30,5.4,-1.2,0.0,17.1,6.6000000000000005,,,0,0
2023-03-31,5.3,-3.8,3.5,17.4,9.1,,,0,0
2023-04-01,8.6,-0.3,0.8,18.6,8.9,,,0,0
2023-04-02,9.9,3.5,0.6,25.2,6.4,8.0,,0,0
2023-04-03,13.3,4.1,0.6,11.4,9.200000000000001,8.3,,0,0
2023-04-04,13.4,3.3,0.1,11.0,10.100000000000001,8.4,,0,0
2023-04-05,13.9,2.0,0.0,16.4,11.9,5.6,,0,0
2023-04-06,13.6,1.4,0.0,21.6,12.2,5.6,,0,0
2023-04-07,10.4,-0.3,0.0,18.7,10.700000000000001,2.1,,0,0
2023-04-08,12.1,-1.0,0.0,13.3,13.1,1.3,,0,0
2023-04-09,13.7,1.5,0.1,10.9,12.2,0.8,,0,0
2023-04-10,13.1,1.4,0.3,10.6,11.7,0.5,,0,0
2023-04-11,14.9,2.6,2.8,14.0,12.3,3.1999999999999997,,0,0
2023-04-12,16.8,1.2,0.0,12.1,15.600000000000001,3.1999999999999997,,0,0
2023-04-13,16.4,3.4,0.0,29.2,12.999999999999998,3.1999999999999997,,0,0
2023-04-14,7.4,0.1,0.0,29.0,7.300000000000001,3.1999999999999997,,0,0
2023-04-15,7.8,-1.7,0.0,19.3,9.5,3.1999999999999997,,0,0
2023-04-16,12.2,-0.8,0.1,14.3,13.0,3.1999999999999997,,0,0
2023-04-17,13.6,1.9,0.3,12.0,11.7,3.1999999999999997,,0,0
2023-04-18,14.6,5.3,0.1,15.1,9.3,0.5,,0,0
2023-04-19,15.9,4.7,0.0,20.1,11.2,0.5,,0,0
2023-04-20,16.7,2.9,0.0,18.1,13.799999999999999,0.5,,0,0
2023-04-21,15.6,2.8,0.0,19.5,12.8,0.5,,0,0
2023-04-22,14.9,3.8,0.0,15.3,11.100000000000001,0.5,,0,0
2023-04-23,18.1,4.0,0.0,14.0,14.100000000000001,0.4,,0,0
2023-04-24,20.5,4.0,0.0,19.0,16.5,0.1,,0,0
2023-04-25,17.8,5.9,2.9,14.9,11.9,2.9,5.046666666666667,0,0
2023-04-26,15.9,5.5,6.4,23.0,10.4,9.3,2.9299999999999997,0,0
2023-04-27,19.9,4.3,0.7,15.5,15.599999999999998,10.0,6.586666666666666,0,0
2023-04-28,15.4,5.5,9.5,20.4,9.9,19.5,1.83,0,0
2023-04-29,12.4,2.4,10.5,22.2,10.0,30.0,-1.4033333333333324,0,0
2023-04-30,11.6,0.6,6.0,19.8,11.0,36.0,-2.413333333333334,0,0
2023-05-01,10.8,2.2,0.8,23.6,8.600000000000001,36.8,-3.286666666666667,0,0
